symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_001_rsi2_snap,2025-01-02T00:20:00+00:00,2025-01-02T00:30:00+00:00,193.881719,195.558667,20.0,0.173,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-02T01:35:00+00:00,2025-01-02T01:40:00+00:00,196.565203,197.193062,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-02T13:55:00+00:00,2025-01-02T14:00:00+00:00,207.959997,206.82078,20.0,-0.1096,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-03T04:40:00+00:00,2025-01-03T04:50:00+00:00,207.439321,208.101913,20.0,0.0639,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-03T16:10:00+00:00,2025-01-03T16:15:00+00:00,216.901606,217.594422,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-03T17:15:00+00:00,2025-01-03T17:45:00+00:00,217.2821,217.976132,20.0,0.0639,,stop,6
SOLUSDT,F_001_rsi2_snap,2025-01-03T19:30:00+00:00,2025-01-03T20:05:00+00:00,217.051801,215.693891,20.0,-0.1251,,stop,7
SOLUSDT,F_001_rsi2_snap,2025-01-04T07:25:00+00:00,2025-01-04T07:40:00+00:00,217.522412,216.571931,20.0,-0.0874,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-04T21:50:00+00:00,2025-01-04T22:55:00+00:00,216.170657,216.861139,20.0,0.0639,,stop,13
SOLUSDT,F_001_rsi2_snap,2025-01-05T05:05:00+00:00,2025-01-05T05:15:00+00:00,217.862854,216.79922,20.0,-0.0976,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-05T05:20:00+00:00,2025-01-05T05:35:00+00:00,217.352191,216.361983,20.0,-0.0911,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-06T00:00:00+00:00,2025-01-06T00:15:00+00:00,213.687433,212.743364,20.0,-0.0884,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-06T13:20:00+00:00,2025-01-06T13:25:00+00:00,216.370917,217.062038,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-06T15:50:00+00:00,2025-01-06T15:55:00+00:00,220.456221,221.160391,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-06T16:50:00+00:00,2025-01-06T17:25:00+00:00,220.836715,218.881798,20.0,-0.177,,stop,7
SOLUSDT,F_001_rsi2_snap,2025-01-09T00:10:00+00:00,2025-01-09T01:00:00+00:00,197.306165,197.93639,20.0,0.0639,,stop,10
SOLUSDT,F_001_rsi2_snap,2025-01-09T02:00:00+00:00,2025-01-09T02:05:00+00:00,198.047127,196.903676,20.0,-0.1155,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-09T16:35:00+00:00,2025-01-09T16:55:00+00:00,191.368456,191.979716,20.0,0.0639,,stop,4
SOLUSDT,F_001_rsi2_snap,2025-01-09T17:20:00+00:00,2025-01-09T17:30:00+00:00,190.957923,189.364286,20.0,-0.1669,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-10T04:40:00+00:00,2025-01-10T05:35:00+00:00,189.055453,189.659324,20.0,0.0639,,stop,11
SOLUSDT,F_001_rsi2_snap,2025-01-10T11:35:00+00:00,2025-01-10T12:00:00+00:00,191.54869,192.160525,20.0,0.0639,,stop,5
SOLUSDT,F_001_rsi2_snap,2025-01-10T18:45:00+00:00,2025-01-10T18:50:00+00:00,190.056753,190.663823,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-10T20:20:00+00:00,2025-01-10T20:30:00+00:00,189.14557,187.577117,20.0,-0.1658,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-11T13:40:00+00:00,2025-01-11T14:40:00+00:00,186.662346,187.258574,20.0,0.0639,,stop,12
SOLUSDT,F_001_rsi2_snap,2025-01-11T22:10:00+00:00,2025-01-11T22:15:00+00:00,190.677559,189.403871,20.0,-0.1336,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-11T22:20:00+00:00,2025-01-11T22:30:00+00:00,189.796415,188.518165,20.0,-0.1347,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-11T22:30:00+00:00,2025-01-11T22:50:00+00:00,189.225674,187.9553,20.0,-0.1343,,stop,4
SOLUSDT,F_001_rsi2_snap,2025-01-11T22:55:00+00:00,2025-01-12T00:35:00+00:00,188.324504,187.055301,20.0,-0.1348,,stop,20
SOLUSDT,F_001_rsi2_snap,2025-01-12T16:20:00+00:00,2025-01-12T16:30:00+00:00,189.435947,190.041034,20.0,0.0639,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-12T18:45:00+00:00,2025-01-12T19:25:00+00:00,189.54609,188.4836,20.0,-0.1121,,stop,8
SOLUSDT,F_001_rsi2_snap,2025-01-12T19:30:00+00:00,2025-01-12T20:10:00+00:00,189.095505,189.699504,20.0,0.0639,,stop,8
SOLUSDT,F_001_rsi2_snap,2025-01-13T01:15:00+00:00,2025-01-13T01:40:00+00:00,189.956623,188.081798,20.0,-0.1974,,stop,5
SOLUSDT,F_001_rsi2_snap,2025-01-14T00:05:00+00:00,2025-01-14T00:35:00+00:00,182.567029,183.150175,20.0,0.0639,,stop,6
SOLUSDT,F_001_rsi2_snap,2025-01-14T00:15:00+00:00,2025-01-14T00:25:00+00:00,182.186535,182.768466,20.0,0.0639,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-14T05:35:00+00:00,2025-01-14T05:50:00+00:00,185.620994,184.509391,20.0,-0.1198,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-14T10:10:00+00:00,2025-01-14T11:40:00+00:00,188.364556,186.838493,20.0,-0.162,,stop,18
SOLUSDT,F_001_rsi2_snap,2025-01-14T11:50:00+00:00,2025-01-14T12:05:00+00:00,187.062866,186.076366,20.0,-0.1055,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-15T02:20:00+00:00,2025-01-15T03:15:00+00:00,187.693685,188.293207,20.0,0.0639,,stop,11
SOLUSDT,F_001_rsi2_snap,2025-01-15T06:25:00+00:00,2025-01-15T06:45:00+00:00,188.775089,189.378065,20.0,0.0639,,stop,4
SOLUSDT,F_001_rsi2_snap,2025-01-15T08:55:00+00:00,2025-01-15T09:00:00+00:00,189.886532,188.787931,20.0,-0.1157,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-15T18:00:00+00:00,2025-01-15T18:20:00+00:00,197.977036,198.609404,20.0,0.0639,,stop,4
SOLUSDT,F_001_rsi2_snap,2025-01-16T00:40:00+00:00,2025-01-16T00:45:00+00:00,203.404082,204.053785,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-16T13:05:00+00:00,2025-01-16T13:10:00+00:00,214.648681,210.905575,20.0,-0.3488,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-16T13:15:00+00:00,2025-01-16T13:20:00+00:00,211.07404,211.759434,20.0,0.0649,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-16T14:05:00+00:00,2025-01-16T14:15:00+00:00,209.021375,210.045106,20.0,0.098,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-16T14:45:00+00:00,2025-01-16T14:55:00+00:00,207.559477,208.569986,20.0,0.0974,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-16T18:20:00+00:00,2025-01-16T18:45:00+00:00,213.587303,211.549074,20.0,-0.1909,,stop,5
SOLUSDT,F_001_rsi2_snap,2025-01-16T18:50:00+00:00,2025-01-16T19:00:00+00:00,212.245561,212.923505,20.0,0.0639,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-17T02:40:00+00:00,2025-01-17T02:50:00+00:00,213.57729,211.557621,20.0,-0.1891,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-17T14:40:00+00:00,2025-01-17T15:10:00+00:00,219.454921,220.155893,20.0,0.0639,,stop,6
SOLUSDT,F_001_rsi2_snap,2025-01-17T14:50:00+00:00,2025-01-17T14:55:00+00:00,218.954271,219.653644,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-17T17:20:00+00:00,2025-01-17T17:35:00+00:00,219.535025,217.626029,20.0,-0.1739,,stop,3
SOLUSDT,F_001_rsi2_snap,2025-01-18T01:05:00+00:00,2025-01-18T01:30:00+00:00,219.615129,218.131189,20.0,-0.1351,,stop,5
SOLUSDT,F_001_rsi2_snap,2025-01-18T01:15:00+00:00,2025-01-18T01:35:00+00:00,219.244648,217.726949,20.0,-0.1384,,stop,4
SOLUSDT,F_001_rsi2_snap,2025-01-18T01:25:00+00:00,2025-01-18T01:35:00+00:00,219.204596,217.792526,20.0,-0.1288,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-18T07:10:00+00:00,2025-01-18T07:45:00+00:00,234.334239,235.082738,20.0,0.0639,,stop,7
SOLUSDT,F_001_rsi2_snap,2025-01-18T07:20:00+00:00,2025-01-18T07:25:00+00:00,232.431769,233.174191,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-18T13:10:00+00:00,2025-01-18T13:15:00+00:00,241.21317,241.983641,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-18T20:00:00+00:00,2025-01-18T20:05:00+00:00,255.681955,256.498642,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-18T20:30:00+00:00,2025-01-18T20:35:00+00:00,253.158679,253.967306,20.0,0.0639,,stop,1
SOLUSDT,F_001_rsi2_snap,2025-01-19T00:55:00+00:00,2025-01-19T01:20:00+00:00,258.765959,253.583015,20.0,-0.4006,,stop,5
SOLUSDT,F_001_rsi2_snap,2025-01-19T05:55:00+00:00,2025-01-19T06:05:00+00:00,266.3458,268.854498,20.0,0.1884,,stop,2
SOLUSDT,F_001_rsi2_snap,2025-01-19T07:45:00+00:00,2025-01-19T07:50:00+00:00,272.183379,273.052774,20.0,0.0639,,stop,1
