symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
BTCUSDT,5,100,3,-62.49363261737126,1744,31.48,0.36449920431391486
BTCUSDT,5,100,5,-62.52238799378246,1745,31.46,0.36439265050111297
BTCUSDT,5,100,10,-62.52238799378246,1745,31.46,0.36439265050111297
BTCUSDT,5,200,3,-82.78328892401565,2275,30.24,0.35463243387393517
BTCUSDT,5,200,5,-82.84261682235277,2277,30.22,0.3544684877870255
BTCUSDT,5,200,10,-82.84261682235277,2277,30.22,0.3544684877870255
BTCUSDT,10,100,3,-144.47369963002626,3903,30.16,0.3487904393042623
BTCUSDT,10,100,5,-144.37468900643748,3906,30.18,0.3493210627529652
BTCUSDT,10,100,10,-144.34223102860562,3904,30.17,0.3491847648908575
BTCUSDT,10,200,3,-175.21870841660828,4750,29.62,0.3460936192362812
BTCUSDT,10,200,5,-175.22709753910237,4756,29.63,0.34639442370599344
BTCUSDT,10,200,10,-175.19463956127052,4754,29.62,0.3462805751993737
BTCUSDT,15,100,3,-232.24038887866783,6090,29.2,0.3352476604482872
BTCUSDT,15,100,5,-232.6183213041026,6102,29.17,0.33512422444270135
BTCUSDT,15,100,10,-230.12196623394482,6023,29.09,0.3340094966221005
BTCUSDT,15,200,3,-264.8011675116835,7052,29.23,0.33986247079944293
BTCUSDT,15,200,5,-265.3067615005215,7069,29.2,0.33974618673017565
BTCUSDT,15,200,10,-263.1912405860502,6997,29.11,0.3385653234007965
ETHUSDT,5,100,3,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,100,5,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,100,10,-58.90951997391099,1702,37.78,0.4207463529027238
ETHUSDT,5,200,3,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,5,200,5,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,5,200,10,-72.5684208295041,2126,37.58,0.42655335201124545
ETHUSDT,10,100,3,-130.6779399097253,3751,37.35,0.4199811856219894
ETHUSDT,10,100,5,-130.673629209825,3751,37.35,0.4199892213593913
ETHUSDT,10,100,10,-130.3828381860475,3742,37.33,0.41987317084995907
ETHUSDT,10,200,3,-155.69140739622384,4400,36.68,0.41261755423408025
ETHUSDT,10,200,5,-155.68709669632358,4400,36.68,0.41262426479574754
ETHUSDT,10,200,10,-155.13263443135205,4394,36.71,0.4133475419380904
ETHUSDT,15,100,3,-207.38780942509894,5759,36.43,0.4075383607230029
ETHUSDT,15,100,5,-207.73878271347402,5762,36.41,0.40713015006306363
ETHUSDT,15,100,10,-204.95182232603716,5685,36.48,0.4069199139760199
ETHUSDT,15,200,3,-233.74408766594954,6516,36.31,0.4085106404755726
ETHUSDT,15,200,5,-233.9175851299366,6519,36.31,0.40842695790910993
ETHUSDT,15,200,10,-232.3350130515168,6455,36.3,0.40656314698697615
SOLUSDT,5,100,3,-28.051217154453763,1621,61.26,0.7133783966459518
SOLUSDT,5,100,5,-28.36869326332243,1625,61.17,0.711259610728343
SOLUSDT,5,100,10,-28.489338998423843,1626,61.13,0.7103872916645974
SOLUSDT,5,200,3,-36.51224269062315,2059,60.76,0.7096864443498793
SOLUSDT,5,200,5,-36.90796947150873,2064,60.66,0.7076084900426137
SOLUSDT,5,200,10,-37.02861520661015,2065,60.63,0.7069328199066983
SOLUSDT,10,100,3,-76.64497388242916,3658,59.76,0.6685587095810497
SOLUSDT,10,100,5,-76.58125195384952,3664,59.77,0.6691087272049479
SOLUSDT,10,100,10,-76.89494175654252,3659,59.72,0.6675647198891685
SOLUSDT,10,200,3,-87.51487304455176,4324,60.11,0.6776573444206296
SOLUSDT,10,200,5,-87.58903878488547,4331,60.1,0.6777762099524561
SOLUSDT,10,200,10,-88.21621252678361,4326,60.03,0.6756101115851342
SOLUSDT,15,100,3,-123.62836161410593,5658,59.42,0.6584264235391467
SOLUSDT,15,100,5,-123.45645415210535,5672,59.45,0.6593408595699493
SOLUSDT,15,100,10,-120.19548112200083,5585,59.5,0.6619475732973523
SOLUSDT,15,200,3,-140.16690843053567,6413,59.41,0.6598525008473034
SOLUSDT,15,200,5,-140.19362639721476,6428,59.43,0.6603367695658477
SOLUSDT,15,200,10,-137.80477014710996,6349,59.41,0.6612694902039138
XLMUSDT,5,100,3,-55.918355139931066,1868,47.27,0.5378842132629957
XLMUSDT,5,100,5,-61.305081494357054,1992,46.44,0.5252084099363751
XLMUSDT,5,100,10,-62.44412665057004,2012,46.17,0.521554322190472
XLMUSDT,5,200,3,-63.46504864074122,2361,48.79,0.5710949148254789
XLMUSDT,5,200,5,-69.20142482964296,2509,48.11,0.5599691818691568
XLMUSDT,5,200,10,-70.61165759275855,2532,47.83,0.5557079229269302
XLMUSDT,10,100,3,-113.97045732557353,3534,47.59,0.5180229033452108
XLMUSDT,10,100,5,-124.82093926086509,3758,46.67,0.5048984605866697
XLMUSDT,10,100,10,-125.18321929714448,3765,46.53,0.5039229290879828
XLMUSDT,10,200,3,-125.82708572508622,4220,48.63,0.5414135422682204
XLMUSDT,10,200,5,-136.79556216023647,4482,47.84,0.5306067272144552
XLMUSDT,10,200,10,-137.30257988540492,4493,47.72,0.529685204939322
XLMUSDT,15,100,3,-159.62284267628522,5178,48.53,0.5338333426524933
XLMUSDT,15,100,5,-173.45925841863166,5497,47.7,0.5233360263539364
XLMUSDT,15,100,10,-170.94450520068386,5415,47.7,0.521925390561315
XLMUSDT,15,200,3,-175.91105861080933,5970,49.13,0.5469963432671824
XLMUSDT,15,200,5,-189.8666640690646,6331,48.41,0.5385143157632244
XLMUSDT,15,200,10,-187.2540143982334,6272,48.44,0.5392516234053962
LINKUSDT,5,100,3,-38.17820110809903,1737,58.95,0.6485146611301373
LINKUSDT,5,100,5,-38.17063386508139,1758,58.99,0.6518175466648178
LINKUSDT,5,100,10,-38.10675086508139,1759,59.01,0.6524002705395388
LINKUSDT,5,200,3,-47.379735188793056,2208,59.19,0.6570499933895161
LINKUSDT,5,200,5,-47.305992425872304,2227,59.27,0.659449136384777
LINKUSDT,5,200,10,-47.2421094258723,2228,59.29,0.6599090233822736
LINKUSDT,10,100,3,-82.22079123319695,3669,58.6,0.6463182493319174
LINKUSDT,10,100,5,-83.31020023120942,3717,58.54,0.6461531851791965
LINKUSDT,10,100,10,-82.52350237656269,3707,58.62,0.6480107286484726
LINKUSDT,10,200,3,-97.97332729316803,4380,58.61,0.6476243044625567
LINKUSDT,10,200,5,-98.19945324778507,4428,58.67,0.6497204028849625
LINKUSDT,10,200,10,-97.62299803883995,4421,58.72,0.650865693587201
LINKUSDT,15,100,3,-131.30775341668482,5610,57.95,0.6356614140120362
LINKUSDT,15,100,5,-132.66900651871913,5675,57.9,0.6357602822821588
LINKUSDT,15,100,10,-130.3303253889528,5581,57.98,0.6361864556925858
LINKUSDT,15,200,3,-145.4738963390114,6485,58.46,0.6489004211943897
LINKUSDT,15,200,5,-145.6256851797056,6544,58.51,0.6508096847867164
LINKUSDT,15,200,10,-144.02060925379257,6466,58.55,0.6508119091951593
GRAMUSDT,5,100,3,-9.724619982115698,491,53.97,0.6585525338896749
GRAMUSDT,5,100,5,-9.782736891435734,492,53.86,0.6572114409361937
GRAMUSDT,5,100,10,-9.782736891435734,492,53.86,0.6572114409361937
GRAMUSDT,5,200,3,-10.832291473913081,631,54.99,0.6913804832721879
GRAMUSDT,5,200,5,-10.83892822616463,631,54.99,0.6912497778332246
GRAMUSDT,5,200,10,-10.83892822616463,631,54.99,0.6912497778332246
GRAMUSDT,10,100,3,-24.99127566028335,1093,53.61,0.6179872653244546
GRAMUSDT,10,100,5,-25.17188893459182,1095,53.52,0.6162858072662476
GRAMUSDT,10,100,10,-24.99732204549767,1094,53.56,0.6179301536863877
