symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_008_turtle_soup,2025-01-04T04:35:00+00:00,2025-01-04T05:00:00+00:00,216.320852,217.011813,20.0,0.0639,,stop,5
SOLUSDT,F_008_turtle_soup,2025-01-04T08:30:00+00:00,2025-01-04T08:45:00+00:00,216.270787,215.252024,20.0,-0.0942,,stop,3
SOLUSDT,F_008_turtle_soup,2025-01-06T09:35:00+00:00,2025-01-06T10:05:00+00:00,213.927745,214.611062,20.0,0.0639,,stop,6
SOLUSDT,F_008_turtle_soup,2025-01-07T03:05:00+00:00,2025-01-07T04:00:00+00:00,216.971697,217.664737,20.0,0.0639,,stop,11
SOLUSDT,F_008_turtle_soup,2025-01-07T10:20:00+00:00,2025-01-07T11:35:00+00:00,214.929045,213.967668,20.0,-0.0895,,stop,15
SOLUSDT,F_008_turtle_soup,2025-01-07T15:20:00+00:00,2025-01-07T15:35:00+00:00,209.011362,206.064558,20.0,-0.282,,stop,3
SOLUSDT,F_008_turtle_soup,2025-01-07T18:40:00+00:00,2025-01-07T18:40:00+00:00,205.697059,203.893082,20.0,-0.1754,,stop,0
SOLUSDT,F_008_turtle_soup,2025-01-08T05:10:00+00:00,2025-01-08T05:20:00+00:00,197.336204,197.966525,20.0,0.0639,,stop,2
SOLUSDT,F_008_turtle_soup,2025-01-11T01:40:00+00:00,2025-01-11T01:45:00+00:00,187.122944,185.968014,20.0,-0.1234,,stop,1
SOLUSDT,F_008_turtle_soup,2025-01-11T05:05:00+00:00,2025-01-11T06:05:00+00:00,186.071579,186.66592,20.0,0.0639,,stop,12
SOLUSDT,F_008_turtle_soup,2025-01-12T09:40:00+00:00,2025-01-12T10:20:00+00:00,185.731137,186.32439,20.0,0.0639,,stop,8
SOLUSDT,F_008_turtle_soup,2025-01-13T02:55:00+00:00,2025-01-13T03:05:00+00:00,185.450773,186.043131,20.0,0.0639,,stop,2
SOLUSDT,F_008_turtle_soup,2025-01-13T07:10:00+00:00,2025-01-13T07:40:00+00:00,182.547003,183.130086,20.0,0.0639,,stop,6
SOLUSDT,F_008_turtle_soup,2025-01-17T18:15:00+00:00,2025-01-17T18:25:00+00:00,216.651281,217.343298,20.0,0.0639,,stop,2
