symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_015_zscore_regime,2025-01-06T14:25:00+00:00,2025-01-06T14:35:00+00:00,5.972755,5.994169,20.0,0.0717,,stop,2
FILUSDT,F_015_zscore_regime,2025-01-31T18:40:00+00:00,2025-01-31T18:45:00+00:00,4.827267,4.77762,20.0,-0.2057,,stop,1
FILUSDT,F_015_zscore_regime,2025-02-15T14:10:00+00:00,2025-02-15T14:35:00+00:00,3.465499,3.439023,20.0,-0.1528,,stop,5
FILUSDT,F_015_zscore_regime,2025-02-23T14:40:00+00:00,2025-02-23T14:50:00+00:00,3.426449,3.403162,20.0,-0.1359,,stop,2
FILUSDT,F_015_zscore_regime,2025-03-16T11:10:00+00:00,2025-03-16T11:15:00+00:00,2.879739,2.860872,20.0,-0.131,,stop,1
FILUSDT,F_015_zscore_regime,2025-03-18T10:40:00+00:00,2025-03-18T11:15:00+00:00,2.875734,2.884919,20.0,0.0639,,stop,7
FILUSDT,F_015_zscore_regime,2025-03-20T10:25:00+00:00,2025-03-20T11:35:00+00:00,3.017918,3.027558,20.0,0.0639,,stop,14
FILUSDT,F_015_zscore_regime,2025-03-21T07:25:00+00:00,2025-03-21T08:05:00+00:00,2.982873,2.9924,20.0,0.0639,,stop,8
FILUSDT,F_015_zscore_regime,2025-03-22T11:40:00+00:00,2025-03-22T11:45:00+00:00,3.021923,3.007152,20.0,-0.0978,,stop,1
FILUSDT,F_015_zscore_regime,2025-04-13T11:25:00+00:00,2025-04-13T12:20:00+00:00,2.513263,2.521291,20.0,0.0639,,stop,11
FILUSDT,F_015_zscore_regime,2025-04-13T14:00:00+00:00,2025-04-13T14:05:00+00:00,2.476215,2.484124,20.0,0.0639,,stop,1
FILUSDT,F_015_zscore_regime,2025-04-21T17:10:00+00:00,2025-04-21T17:15:00+00:00,2.628412,2.636808,20.0,0.0639,,stop,1
FILUSDT,F_015_zscore_regime,2025-04-23T15:25:00+00:00,2025-04-23T15:40:00+00:00,2.691494,2.71928,20.0,0.2065,,stop,3
FILUSDT,F_015_zscore_regime,2025-04-27T01:30:00+00:00,2025-04-27T01:30:00+00:00,2.82667,2.79546,20.0,-0.2208,,stop,0
FILUSDT,F_015_zscore_regime,2025-04-27T01:40:00+00:00,2025-04-27T01:55:00+00:00,2.79563,2.754473,20.0,-0.2944,,stop,3
FILUSDT,F_015_zscore_regime,2025-04-28T23:25:00+00:00,2025-04-28T23:40:00+00:00,2.760584,2.769402,20.0,0.0639,,stop,3
FILUSDT,F_015_zscore_regime,2025-04-29T17:10:00+00:00,2025-04-29T17:15:00+00:00,2.771598,2.780451,20.0,0.0639,,stop,1
FILUSDT,F_015_zscore_regime,2025-04-30T12:45:00+00:00,2025-04-30T12:45:00+00:00,2.74957,2.727305,20.0,-0.1619,,stop,0
FILUSDT,F_015_zscore_regime,2025-05-12T14:35:00+00:00,2025-05-12T14:40:00+00:00,3.17312,3.183255,20.0,0.0639,,stop,1
FILUSDT,F_015_zscore_regime,2025-05-14T21:20:00+00:00,2025-05-14T21:35:00+00:00,3.056969,3.066733,20.0,0.0639,,stop,3
FILUSDT,F_015_zscore_regime,2025-06-12T15:30:00+00:00,2025-06-12T15:45:00+00:00,2.622405,2.605727,20.0,-0.1272,,stop,3
FILUSDT,F_015_zscore_regime,2025-06-30T06:55:00+00:00,2025-06-30T07:05:00+00:00,2.307996,2.315369,20.0,0.0639,,stop,2
