symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
GRAMUSDT,20,-1.5,0.5,-10.061311403119829,299,51.51,0.5134884415345414
GRAMUSDT,20,-1.5,0.6,-9.157905347766903,260,51.15,0.49797269296141156
GRAMUSDT,20,-2.0,0.5,-2.2830348665079083,45,46.67,0.37945303252827084
GRAMUSDT,20,-2.0,0.6,-2.061281080488298,39,46.15,0.36880220016889576
GRAMUSDT,20,-2.5,0.5,0.1277660000000011,2,100.0,inf
GRAMUSDT,20,-2.5,0.6,0.1277660000000011,2,100.0,inf
GRAMUSDT,30,-1.5,0.5,-13.68599770078038,367,50.95,0.4891716339418519
GRAMUSDT,30,-1.5,0.6,-13.157873819235963,339,50.74,0.47615949970367333
GRAMUSDT,30,-2.0,0.5,-4.171360936163161,99,52.53,0.44797479409220203
GRAMUSDT,30,-2.0,0.6,-3.6752195615266716,82,51.22,0.42689282661237543
GRAMUSDT,30,-2.5,0.5,-1.2588680684660596,18,38.89,0.2685012060047675
GRAMUSDT,30,-2.5,0.6,-1.0197082474361732,16,43.75,0.31183728997229127
GRAMUSDT,50,-1.5,0.5,-13.642154739217327,409,53.79,0.5278572381097058
GRAMUSDT,50,-1.5,0.6,-12.150676802101453,370,54.59,0.5341231131986479
GRAMUSDT,50,-2.0,0.5,-5.907107127382108,168,55.95,0.5351692064286991
GRAMUSDT,50,-2.0,0.6,-5.607248982994304,154,55.84,0.5232046289472089
GRAMUSDT,50,-2.5,0.5,-2.62523392318649,55,54.55,0.42990613426760393
GRAMUSDT,50,-2.5,0.6,-2.3275926926389716,50,56.0,0.4419323522906197
