symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
RENDERUSDT,20,-1.5,0.5,-2.6915215142402937,291,69.76,0.8525524452895437
RENDERUSDT,20,-1.5,0.6,-1.8326806344267745,240,71.25,0.8748191068162946
RENDERUSDT,20,-2.0,0.5,0.07121180007748446,31,67.74,1.0414538262045898
RENDERUSDT,20,-2.0,0.6,-0.20627783484527407,24,66.67,0.8506775374743885
RENDERUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
RENDERUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
RENDERUSDT,30,-1.5,0.5,-3.3487355078774166,380,71.05,0.8614315856082323
RENDERUSDT,30,-1.5,0.6,-2.164218880018601,320,72.5,0.8914349705363279
RENDERUSDT,30,-2.0,0.5,-1.6148880296667487,99,67.68,0.7645321431425038
RENDERUSDT,30,-2.0,0.6,-1.9977387538375748,77,66.23,0.6498561102985891
RENDERUSDT,30,-2.5,0.5,-0.2775320034440915,8,62.5,0.5350810007540521
RENDERUSDT,30,-2.5,0.6,-0.10929979301818088,7,71.43,0.7450524339300152
RENDERUSDT,50,-1.5,0.5,-1.3452904581369443,435,73.33,0.9496570827335611
RENDERUSDT,50,-1.5,0.6,-2.6899104896690234,389,73.26,0.8925343974621722
RENDERUSDT,50,-2.0,0.5,0.29268312219682563,161,73.91,1.029207442122788
RENDERUSDT,50,-2.0,0.6,-0.8881126176773457,143,72.73,0.9085240611001131
RENDERUSDT,50,-2.5,0.5,0.08886265167819794,35,74.29,1.045876077729227
RENDERUSDT,50,-2.5,0.6,-0.4223868223899926,28,71.43,0.7611991592174046
