symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
SOLUSDT,20,-1.5,0.5,-19.483754203645038,1185,62.11,0.734949698421859
SOLUSDT,20,-1.5,0.6,-17.626740172300373,1009,61.35,0.7206034412346364
SOLUSDT,20,-2.0,0.5,-3.457175246230879,148,56.08,0.6578327808154009
SOLUSDT,20,-2.0,0.6,-3.273885418502562,124,54.84,0.6310130977788934
SOLUSDT,20,-2.5,0.5,-0.23592126071982505,3,33.33,0.21308236196048977
SOLUSDT,20,-2.5,0.6,-0.10469687580360666,2,50.0,0.3789479598052493
SOLUSDT,30,-1.5,0.5,-29.4463856419505,1485,61.48,0.6961424937339526
SOLUSDT,30,-1.5,0.6,-24.982044671888126,1311,61.48,0.7051844784523038
SOLUSDT,30,-2.0,0.5,-11.267726983918523,412,58.74,0.6183399340643894
SOLUSDT,30,-2.0,0.6,-7.850194294405726,356,60.11,0.6720931228572282
SOLUSDT,30,-2.5,0.5,-0.14579529073856937,43,62.79,0.9424479737499419
SOLUSDT,30,-2.5,0.6,-0.3316285011078378,35,60.0,0.8523616517212959
SOLUSDT,50,-1.5,0.5,-23.13843180378866,1647,64.06,0.7730784262134608
SOLUSDT,50,-1.5,0.6,-18.06897133029747,1457,64.45,0.7965630670983541
SOLUSDT,50,-2.0,0.5,-14.091994647328137,637,62.01,0.678069512198062
SOLUSDT,50,-2.0,0.6,-10.832462450136106,578,62.63,0.7138277954117573
SOLUSDT,50,-2.5,0.5,-4.763779495424852,167,59.88,0.6160648005911497
SOLUSDT,50,-2.5,0.6,-3.317787216351435,145,60.69,0.6726600413835886
