symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
FILUSDT,70,2.5,2.0,-50.18754394021522,2223,55.51,0.6654636390591523
FILUSDT,70,2.5,2.5,-42.98393279249276,2014,55.96,0.6793973947244175
FILUSDT,70,2.5,3.0,-36.175750712287496,1772,55.98,0.6905954321116141
FILUSDT,70,3.0,2.0,-46.08918841039153,2139,55.96,0.6779231950756148
FILUSDT,70,3.0,2.5,-40.23436612580897,1946,56.27,0.6876333655050207
FILUSDT,70,3.0,3.0,-34.68326931846388,1725,56.17,0.6948955892438855
FILUSDT,70,4.0,2.0,-42.43002316331843,1755,55.67,0.648124497952403
FILUSDT,70,4.0,2.5,-39.34710480060203,1627,55.62,0.648700814225887
FILUSDT,70,4.0,3.0,-33.22910626378992,1470,55.99,0.6655752999310516
FILUSDT,72,2.5,2.0,-50.18754394021522,2223,55.51,0.6654636390591523
FILUSDT,72,2.5,2.5,-42.98393279249276,2014,55.96,0.6793973947244175
FILUSDT,72,2.5,3.0,-36.175750712287496,1772,55.98,0.6905954321116141
FILUSDT,72,3.0,2.0,-46.08918841039153,2139,55.96,0.6779231950756148
FILUSDT,72,3.0,2.5,-40.23436612580897,1946,56.27,0.6876333655050207
FILUSDT,72,3.0,3.0,-34.68326931846388,1725,56.17,0.6948955892438855
FILUSDT,72,4.0,2.0,-42.43002316331843,1755,55.67,0.648124497952403
FILUSDT,72,4.0,2.5,-39.34710480060203,1627,55.62,0.648700814225887
FILUSDT,72,4.0,3.0,-33.22910626378992,1470,55.99,0.6655752999310516
FILUSDT,75,2.5,2.0,-50.18754394021522,2223,55.51,0.6654636390591523
FILUSDT,75,2.5,2.5,-42.98393279249276,2014,55.96,0.6793973947244175
FILUSDT,75,2.5,3.0,-36.175750712287496,1772,55.98,0.6905954321116141
FILUSDT,75,3.0,2.0,-46.08918841039153,2139,55.96,0.6779231950756148
FILUSDT,75,3.0,2.5,-40.23436612580897,1946,56.27,0.6876333655050207
FILUSDT,75,3.0,3.0,-34.68326931846388,1725,56.17,0.6948955892438855
FILUSDT,75,4.0,2.0,-42.43002316331843,1755,55.67,0.648124497952403
FILUSDT,75,4.0,2.5,-39.34710480060203,1627,55.62,0.648700814225887
FILUSDT,75,4.0,3.0,-33.22910626378992,1470,55.99,0.6655752999310516
