symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_165_score_entry,2025-01-01T11:20:00+00:00,2025-01-01T11:45:00+00:00,4.92139,4.937109,20.0,0.0639,,stop,5
FILUSDT,F_165_score_entry,2025-01-01T12:25:00+00:00,2025-01-01T13:00:00+00:00,4.976461,4.992357,20.0,0.0639,,stop,7
FILUSDT,F_165_score_entry,2025-01-01T15:50:00+00:00,2025-01-01T16:00:00+00:00,5.042547,5.058653,20.0,0.0639,,stop,2
FILUSDT,F_165_score_entry,2025-01-01T16:25:00+00:00,2025-01-01T16:40:00+00:00,5.116643,5.052067,20.0,-0.2524,,stop,3
FILUSDT,F_165_score_entry,2025-01-01T18:35:00+00:00,2025-01-01T18:50:00+00:00,5.12966,5.146045,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-01T19:05:00+00:00,2025-01-01T19:20:00+00:00,5.187735,5.13819,20.0,-0.191,,stop,3
FILUSDT,F_165_score_entry,2025-01-02T04:35:00+00:00,2025-01-02T04:40:00+00:00,5.21477,5.231427,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-02T09:00:00+00:00,2025-01-02T09:15:00+00:00,5.241806,5.258549,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-02T10:35:00+00:00,2025-01-02T11:00:00+00:00,5.303886,5.259754,20.0,-0.1664,,stop,5
FILUSDT,F_165_score_entry,2025-01-02T22:10:00+00:00,2025-01-02T22:20:00+00:00,5.296877,5.261457,20.0,-0.1337,,stop,2
FILUSDT,F_165_score_entry,2025-01-02T22:55:00+00:00,2025-01-03T00:40:00+00:00,5.326916,5.283324,20.0,-0.1637,,stop,21
FILUSDT,F_165_score_entry,2025-01-03T02:30:00+00:00,2025-01-03T02:35:00+00:00,5.402014,5.353473,20.0,-0.1797,,stop,1
FILUSDT,F_165_score_entry,2025-01-03T03:55:00+00:00,2025-01-03T04:00:00+00:00,5.417033,5.434336,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-03T10:40:00+00:00,2025-01-03T11:05:00+00:00,5.387995,5.405205,20.0,0.0639,,stop,5
FILUSDT,F_165_score_entry,2025-01-03T12:10:00+00:00,2025-01-03T12:25:00+00:00,5.472104,5.489583,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-03T16:20:00+00:00,2025-01-03T16:25:00+00:00,5.697397,5.715595,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-04T03:45:00+00:00,2025-01-04T03:55:00+00:00,5.682378,5.64988,20.0,-0.1144,,stop,2
FILUSDT,F_165_score_entry,2025-01-04T12:25:00+00:00,2025-01-04T12:45:00+00:00,5.672365,5.640736,20.0,-0.1115,,stop,4
FILUSDT,F_165_score_entry,2025-01-04T14:50:00+00:00,2025-01-04T15:00:00+00:00,5.736448,5.699172,20.0,-0.13,,stop,2
FILUSDT,F_165_score_entry,2025-01-04T20:45:00+00:00,2025-01-04T21:30:00+00:00,5.660349,5.63159,20.0,-0.1016,,stop,9
FILUSDT,F_165_score_entry,2025-01-04T21:05:00+00:00,2025-01-04T21:10:00+00:00,5.669361,5.639448,20.0,-0.1055,,stop,1
FILUSDT,F_165_score_entry,2025-01-05T07:05:00+00:00,2025-01-05T07:15:00+00:00,5.677371,5.64702,20.0,-0.1069,,stop,2
FILUSDT,F_165_score_entry,2025-01-05T18:40:00+00:00,2025-01-05T18:55:00+00:00,5.70741,5.72564,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-05T22:10:00+00:00,2025-01-05T22:10:00+00:00,5.897657,5.844335,20.0,-0.1808,,stop,0
FILUSDT,F_165_score_entry,2025-01-06T02:10:00+00:00,2025-01-06T02:15:00+00:00,6.213067,6.232912,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-07T06:10:00+00:00,2025-01-07T06:20:00+00:00,5.990778,6.009913,20.0,0.0639,,stop,2
FILUSDT,F_165_score_entry,2025-01-07T06:35:00+00:00,2025-01-07T06:55:00+00:00,6.047852,6.06717,20.0,0.0639,,stop,4
FILUSDT,F_165_score_entry,2025-01-08T08:20:00+00:00,2025-01-08T08:55:00+00:00,5.340934,5.282344,20.0,-0.2194,,stop,7
FILUSDT,F_165_score_entry,2025-01-09T01:25:00+00:00,2025-01-09T01:30:00+00:00,5.192742,5.151179,20.0,-0.1601,,stop,1
FILUSDT,F_165_score_entry,2025-01-09T05:00:00+00:00,2025-01-09T05:45:00+00:00,5.143678,5.096473,20.0,-0.1835,,stop,9
FILUSDT,F_165_score_entry,2025-01-09T08:40:00+00:00,2025-01-09T10:25:00+00:00,5.111637,5.043072,20.0,-0.2683,,stop,21
FILUSDT,F_165_score_entry,2025-01-09T15:55:00+00:00,2025-01-09T16:25:00+00:00,5.192742,5.115226,20.0,-0.2986,,stop,6
FILUSDT,F_165_score_entry,2025-01-10T07:00:00+00:00,2025-01-10T07:15:00+00:00,5.155694,5.172162,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-10T07:40:00+00:00,2025-01-10T07:45:00+00:00,5.200752,5.217364,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-10T11:00:00+00:00,2025-01-10T11:10:00+00:00,5.209764,5.170605,20.0,-0.1503,,stop,2
FILUSDT,F_165_score_entry,2025-01-10T17:50:00+00:00,2025-01-10T17:55:00+00:00,5.197748,5.214351,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-10T22:30:00+00:00,2025-01-10T23:20:00+00:00,5.226786,5.243481,20.0,0.0639,,stop,10
FILUSDT,F_165_score_entry,2025-01-11T20:20:00+00:00,2025-01-11T20:30:00+00:00,5.172716,5.189238,20.0,0.0639,,stop,2
FILUSDT,F_165_score_entry,2025-01-11T20:50:00+00:00,2025-01-11T20:55:00+00:00,5.236799,5.253526,20.0,0.0639,,stop,1
FILUSDT,F_165_score_entry,2025-01-11T21:20:00+00:00,2025-01-11T21:30:00+00:00,5.303886,5.257614,20.0,-0.1745,,stop,2
FILUSDT,F_165_score_entry,2025-01-14T01:15:00+00:00,2025-01-14T01:30:00+00:00,4.979465,4.935184,20.0,-0.1779,,stop,3
FILUSDT,F_165_score_entry,2025-01-14T02:25:00+00:00,2025-01-14T03:05:00+00:00,4.993483,4.953321,20.0,-0.1609,,stop,8
FILUSDT,F_165_score_entry,2025-01-14T09:25:00+00:00,2025-01-14T09:40:00+00:00,5.087605,5.103856,20.0,0.0639,,stop,3
FILUSDT,F_165_score_entry,2025-01-14T09:50:00+00:00,2025-01-14T10:00:00+00:00,5.139673,5.098322,20.0,-0.1609,,stop,2
FILUSDT,F_165_score_entry,2025-01-14T22:25:00+00:00,2025-01-14T23:10:00+00:00,5.241806,5.21516,20.0,-0.1017,,stop,9
FILUSDT,F_165_score_entry,2025-01-15T01:35:00+00:00,2025-01-15T02:05:00+00:00,5.231792,5.248504,20.0,0.0639,,stop,6
FILUSDT,F_165_score_entry,2025-01-15T07:10:00+00:00,2025-01-15T07:20:00+00:00,5.235798,5.252522,20.0,0.0639,,stop,2
FILUSDT,F_165_score_entry,2025-01-15T07:45:00+00:00,2025-01-15T08:05:00+00:00,5.267839,5.284666,20.0,0.0639,,stop,4
FILUSDT,F_165_score_entry,2025-01-15T14:05:00+00:00,2025-01-15T14:10:00+00:00,5.398008,5.41525,20.0,0.0639,,stop,1
