symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_165_score_entry,2025-01-01T11:45:00+00:00,2025-01-01T12:10:00+00:00,191.919171,190.67383,20.0,-0.1298,,stop,5
SOLUSDT,F_165_score_entry,2025-01-01T15:50:00+00:00,2025-01-01T16:10:00+00:00,192.199535,190.859666,20.0,-0.1394,,stop,4
SOLUSDT,F_165_score_entry,2025-01-01T18:35:00+00:00,2025-01-01T19:15:00+00:00,191.999275,192.612549,20.0,0.0639,,stop,8
SOLUSDT,F_165_score_entry,2025-01-02T00:40:00+00:00,2025-01-02T00:50:00+00:00,196.665333,197.293512,20.0,0.0639,,stop,2
SOLUSDT,F_165_score_entry,2025-01-02T04:15:00+00:00,2025-01-02T04:40:00+00:00,200.149857,203.282421,20.0,0.313,,stop,5
SOLUSDT,F_165_score_entry,2025-01-02T04:45:00+00:00,2025-01-02T05:30:00+00:00,204.475473,205.128598,20.0,0.0639,,stop,9
SOLUSDT,F_165_score_entry,2025-01-02T07:15:00+00:00,2025-01-02T07:30:00+00:00,206.2678,206.92665,20.0,0.0639,,stop,3
SOLUSDT,F_165_score_entry,2025-01-02T09:30:00+00:00,2025-01-02T09:40:00+00:00,208.110192,206.732518,20.0,-0.1324,,stop,2
SOLUSDT,F_165_score_entry,2025-01-02T11:30:00+00:00,2025-01-02T11:50:00+00:00,208.190296,208.855287,20.0,0.0639,,stop,4
SOLUSDT,F_165_score_entry,2025-01-02T23:35:00+00:00,2025-01-03T00:15:00+00:00,208.460647,207.347887,20.0,-0.1068,,stop,8
SOLUSDT,F_165_score_entry,2025-01-03T05:15:00+00:00,2025-01-03T05:45:00+00:00,208.781063,209.447941,20.0,0.0639,,stop,6
SOLUSDT,F_165_score_entry,2025-01-03T06:20:00+00:00,2025-01-03T06:20:00+00:00,210.102779,208.762463,20.0,-0.1276,,stop,0
SOLUSDT,F_165_score_entry,2025-01-03T14:25:00+00:00,2025-01-03T14:40:00+00:00,215.760124,217.751986,20.0,0.1846,,stop,3
SOLUSDT,F_165_score_entry,2025-01-03T16:25:00+00:00,2025-01-03T16:50:00+00:00,219.304726,217.483059,20.0,-0.1661,,stop,5
SOLUSDT,F_165_score_entry,2025-01-03T23:10:00+00:00,2025-01-04T00:35:00+00:00,217.652581,216.656276,20.0,-0.0916,,stop,17
SOLUSDT,F_165_score_entry,2025-01-04T06:30:00+00:00,2025-01-04T07:15:00+00:00,218.113179,217.046366,20.0,-0.0978,,stop,9
SOLUSDT,F_165_score_entry,2025-01-04T11:40:00+00:00,2025-01-04T11:45:00+00:00,216.601216,215.746095,20.0,-0.079,,stop,1
SOLUSDT,F_165_score_entry,2025-01-04T11:55:00+00:00,2025-01-04T12:05:00+00:00,216.791463,215.927535,20.0,-0.0797,,stop,2
SOLUSDT,F_165_score_entry,2025-01-04T12:35:00+00:00,2025-01-04T12:45:00+00:00,217.2821,216.371879,20.0,-0.0838,,stop,2
SOLUSDT,F_165_score_entry,2025-01-04T20:45:00+00:00,2025-01-04T23:00:00+00:00,216.360904,217.051993,20.0,0.0639,,stop,27
SOLUSDT,F_165_score_entry,2025-01-04T23:00:00+00:00,2025-01-04T23:00:00+00:00,217.48236,216.670322,20.0,-0.0747,,stop,0
SOLUSDT,F_165_score_entry,2025-01-05T03:40:00+00:00,2025-01-05T03:50:00+00:00,218.954271,217.706598,20.0,-0.114,,stop,2
SOLUSDT,F_165_score_entry,2025-01-05T16:05:00+00:00,2025-01-05T16:15:00+00:00,214.348291,213.110886,20.0,-0.1155,,stop,2
SOLUSDT,F_165_score_entry,2025-01-05T20:20:00+00:00,2025-01-05T20:30:00+00:00,214.07794,213.180445,20.0,-0.0838,,stop,2
SOLUSDT,F_165_score_entry,2025-01-06T02:05:00+00:00,2025-01-06T02:40:00+00:00,215.700046,216.389024,20.0,0.0639,,stop,7
SOLUSDT,F_165_score_entry,2025-01-06T12:25:00+00:00,2025-01-06T13:05:00+00:00,217.512399,216.412126,20.0,-0.1012,,stop,8
SOLUSDT,F_165_score_entry,2025-01-06T16:15:00+00:00,2025-01-06T16:35:00+00:00,223.049588,221.034726,20.0,-0.1807,,stop,4
SOLUSDT,F_165_score_entry,2025-01-08T14:35:00+00:00,2025-01-08T14:35:00+00:00,199.35883,197.561666,20.0,-0.1803,,stop,0
SOLUSDT,F_165_score_entry,2025-01-08T22:10:00+00:00,2025-01-08T22:45:00+00:00,197.005775,197.635041,20.0,0.0639,,stop,7
SOLUSDT,F_165_score_entry,2025-01-09T15:55:00+00:00,2025-01-09T16:20:00+00:00,193.190822,191.183389,20.0,-0.2078,,stop,5
SOLUSDT,F_165_score_entry,2025-01-10T01:45:00+00:00,2025-01-10T02:10:00+00:00,188.054153,188.654826,20.0,0.0639,,stop,5
SOLUSDT,F_165_score_entry,2025-01-10T02:30:00+00:00,2025-01-10T04:05:00+00:00,189.155583,189.759774,20.0,0.0639,,stop,19
SOLUSDT,F_165_score_entry,2025-01-10T05:40:00+00:00,2025-01-10T05:50:00+00:00,191.258313,189.849758,20.0,-0.1473,,stop,2
SOLUSDT,F_165_score_entry,2025-01-10T07:15:00+00:00,2025-01-10T07:40:00+00:00,191.839067,192.45183,20.0,0.0639,,stop,5
SOLUSDT,F_165_score_entry,2025-01-10T17:50:00+00:00,2025-01-10T17:55:00+00:00,189.676259,190.282113,20.0,0.0639,,stop,1
SOLUSDT,F_165_score_entry,2025-01-11T15:00:00+00:00,2025-01-11T15:15:00+00:00,188.14427,187.096442,20.0,-0.1114,,stop,3
SOLUSDT,F_165_score_entry,2025-01-11T20:20:00+00:00,2025-01-11T20:45:00+00:00,188.374569,188.976266,20.0,0.0639,,stop,5
SOLUSDT,F_165_score_entry,2025-01-11T20:50:00+00:00,2025-01-11T20:55:00+00:00,189.776389,190.382563,20.0,0.0639,,stop,1
SOLUSDT,F_165_score_entry,2025-01-12T12:25:00+00:00,2025-01-12T12:30:00+00:00,187.563516,186.706196,20.0,-0.0914,,stop,1
SOLUSDT,F_165_score_entry,2025-01-12T13:15:00+00:00,2025-01-12T13:30:00+00:00,188.014101,188.614646,20.0,0.0639,,stop,3
