symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_192_ext_entry,2025-01-02T00:20:00+00:00,2025-01-02T00:25:00+00:00,5.159699,5.203056,20.0,0.1681,,stop,1
FILUSDT,F_192_ext_entry,2025-01-03T21:20:00+00:00,2025-01-03T22:20:00+00:00,5.671363,5.635599,20.0,-0.1261,,stop,12
FILUSDT,F_192_ext_entry,2025-01-04T14:50:00+00:00,2025-01-04T15:00:00+00:00,5.736448,5.699172,20.0,-0.13,,stop,2
FILUSDT,F_192_ext_entry,2025-01-04T20:50:00+00:00,2025-01-04T21:30:00+00:00,5.664354,5.635019,20.0,-0.1036,,stop,8
FILUSDT,F_192_ext_entry,2025-01-05T22:05:00+00:00,2025-01-05T22:10:00+00:00,5.843587,5.870578,20.0,0.0924,,stop,1
FILUSDT,F_192_ext_entry,2025-01-06T02:10:00+00:00,2025-01-06T02:15:00+00:00,6.213067,6.232912,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-10T11:00:00+00:00,2025-01-10T11:10:00+00:00,5.209764,5.170605,20.0,-0.1503,,stop,2
FILUSDT,F_192_ext_entry,2025-01-10T17:45:00+00:00,2025-01-10T17:55:00+00:00,5.159699,5.203056,20.0,0.1681,,stop,2
FILUSDT,F_192_ext_entry,2025-01-10T23:10:00+00:00,2025-01-10T23:45:00+00:00,5.241806,5.205173,20.0,-0.1398,,stop,7
FILUSDT,F_192_ext_entry,2025-01-13T04:30:00+00:00,2025-01-13T05:00:00+00:00,5.080596,5.02534,20.0,-0.2175,,stop,6
FILUSDT,F_192_ext_entry,2025-01-13T20:45:00+00:00,2025-01-13T20:50:00+00:00,4.859309,4.87483,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-15T04:05:00+00:00,2025-01-15T04:10:00+00:00,5.243808,5.201894,20.0,-0.1599,,stop,1
FILUSDT,F_192_ext_entry,2025-01-15T06:55:00+00:00,2025-01-15T07:25:00+00:00,5.219777,5.239666,20.0,0.0762,,stop,6
FILUSDT,F_192_ext_entry,2025-01-17T01:00:00+00:00,2025-01-17T01:10:00+00:00,5.698398,5.651613,20.0,-0.1642,,stop,2
FILUSDT,F_192_ext_entry,2025-01-17T01:35:00+00:00,2025-01-17T01:45:00+00:00,5.703405,5.736023,20.0,0.1144,,stop,2
FILUSDT,F_192_ext_entry,2025-01-17T11:40:00+00:00,2025-01-17T11:45:00+00:00,5.849595,5.815168,20.0,-0.1177,,stop,1
FILUSDT,F_192_ext_entry,2025-01-19T00:30:00+00:00,2025-01-19T01:15:00+00:00,5.505147,5.551323,20.0,0.1678,,stop,9
FILUSDT,F_192_ext_entry,2025-01-19T14:30:00+00:00,2025-01-19T14:40:00+00:00,5.37598,5.393151,20.0,0.0639,,stop,2
FILUSDT,F_192_ext_entry,2025-01-20T23:45:00+00:00,2025-01-20T23:45:00+00:00,5.167709,5.114766,20.0,-0.2049,,stop,0
FILUSDT,F_192_ext_entry,2025-01-21T21:55:00+00:00,2025-01-21T22:10:00+00:00,5.293873,5.251609,20.0,-0.1597,,stop,3
FILUSDT,F_192_ext_entry,2025-01-22T01:00:00+00:00,2025-01-22T01:10:00+00:00,5.303886,5.25205,20.0,-0.1955,,stop,2
FILUSDT,F_192_ext_entry,2025-01-24T04:40:00+00:00,2025-01-24T04:50:00+00:00,5.005499,5.028365,20.0,0.0914,,stop,2
FILUSDT,F_192_ext_entry,2025-01-29T00:55:00+00:00,2025-01-29T01:10:00+00:00,4.429751,4.4439,20.0,0.0639,,stop,3
FILUSDT,F_192_ext_entry,2025-01-30T04:25:00+00:00,2025-01-30T05:00:00+00:00,4.673067,4.687994,20.0,0.0639,,stop,7
FILUSDT,F_192_ext_entry,2025-01-30T14:10:00+00:00,2025-01-30T14:35:00+00:00,4.766188,4.781412,20.0,0.0639,,stop,5
FILUSDT,F_192_ext_entry,2025-01-30T15:50:00+00:00,2025-01-30T16:15:00+00:00,4.849296,4.795768,20.0,-0.2208,,stop,5
FILUSDT,F_192_ext_entry,2025-02-01T05:40:00+00:00,2025-02-01T06:00:00+00:00,4.862313,4.832166,20.0,-0.124,,stop,4
FILUSDT,F_192_ext_entry,2025-02-02T06:25:00+00:00,2025-02-02T06:45:00+00:00,4.345642,4.301329,20.0,-0.2039,,stop,4
FILUSDT,F_192_ext_entry,2025-02-03T10:50:00+00:00,2025-02-03T11:00:00+00:00,3.220181,3.230467,20.0,0.0639,,stop,2
FILUSDT,F_192_ext_entry,2025-02-03T16:55:00+00:00,2025-02-03T17:00:00+00:00,3.421442,3.344232,20.0,-0.4513,,stop,1
