symbol,NOVA_EXT_MAX,NOVA_EMA_X,NOVA_EMA_PCT,net,trades,win_pct,pf
LINKUSDT,-0.15,4,0.05,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,4,0.08,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,4,0.1,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,6,0.05,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,6,0.08,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,6,0.1,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,8,0.05,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,8,0.08,-0.10073448188121652,1,0.0,0.0
LINKUSDT,-0.15,8,0.1,-0.10073448188121652,1,0.0,0.0
LINKUSDT,0.1,4,0.05,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,4,0.08,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,4,0.1,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,6,0.05,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,6,0.08,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,6,0.1,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,8,0.05,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,8,0.08,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.1,8,0.1,-12.063544733217359,510,55.49,0.6315217176579898
LINKUSDT,0.5,4,0.05,-55.430827945473325,2281,55.5,0.6322897600865763
LINKUSDT,0.5,4,0.08,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,4,0.1,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,6,0.05,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,6,0.08,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,6,0.1,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,8,0.05,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,8,0.08,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,0.5,8,0.1,-55.34377371051266,2282,55.52,0.6328672498122278
LINKUSDT,1.0,4,0.05,-82.98862177028278,3477,55.34,0.6391502614118907
LINKUSDT,1.0,4,0.08,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,4,0.1,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,6,0.05,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,6,0.08,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,6,0.1,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,8,0.05,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,8,0.08,-82.90156753532212,3478,55.35,0.6395287891818241
LINKUSDT,1.0,8,0.1,-82.90156753532212,3478,55.35,0.6395287891818241
