symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_192_ext_entry,2025-01-01T11:20:00+00:00,2025-01-01T11:50:00+00:00,6.753769,6.790535,20.0,0.1089,,stop,6
RENDERUSDT,F_192_ext_entry,2025-01-01T18:55:00+00:00,2025-01-01T19:05:00+00:00,7.061168,7.083722,20.0,0.0639,,stop,2
RENDERUSDT,F_192_ext_entry,2025-01-02T03:55:00+00:00,2025-01-02T04:15:00+00:00,7.373573,7.397125,20.0,0.0639,,stop,4
RENDERUSDT,F_192_ext_entry,2025-01-03T09:30:00+00:00,2025-01-03T10:00:00+00:00,7.68698,7.614782,20.0,-0.1878,,stop,6
RENDERUSDT,F_192_ext_entry,2025-01-03T12:15:00+00:00,2025-01-03T12:55:00+00:00,7.886239,7.791097,20.0,-0.2413,,stop,8
RENDERUSDT,F_192_ext_entry,2025-01-04T11:40:00+00:00,2025-01-04T12:00:00+00:00,8.045446,8.071144,20.0,0.0639,,stop,4
RENDERUSDT,F_192_ext_entry,2025-01-04T12:25:00+00:00,2025-01-04T12:30:00+00:00,8.091505,8.117351,20.0,0.0639,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-06T14:50:00+00:00,2025-01-06T14:55:00+00:00,8.806434,8.843742,20.0,0.0847,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-10T04:05:00+00:00,2025-01-10T04:10:00+00:00,7.302481,7.325806,20.0,0.0639,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-10T10:10:00+00:00,2025-01-10T10:15:00+00:00,7.625901,7.650259,20.0,0.0639,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-10T22:40:00+00:00,2025-01-10T23:00:00+00:00,7.36356,7.305337,20.0,-0.1581,,stop,4
RENDERUSDT,F_192_ext_entry,2025-01-11T05:40:00+00:00,2025-01-11T06:10:00+00:00,7.171311,7.194217,20.0,0.0639,,stop,6
RENDERUSDT,F_192_ext_entry,2025-01-11T11:20:00+00:00,2025-01-11T11:40:00+00:00,7.234392,7.2575,20.0,0.0639,,stop,4
RENDERUSDT,F_192_ext_entry,2025-01-11T21:05:00+00:00,2025-01-11T21:10:00+00:00,7.425641,7.449359,20.0,0.0639,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-14T05:10:00+00:00,2025-01-14T05:15:00+00:00,7.0862,7.031904,20.0,-0.1532,,stop,1
RENDERUSDT,F_192_ext_entry,2025-01-14T08:50:00+00:00,2025-01-14T09:30:00+00:00,7.085199,7.184887,20.0,0.2814,,stop,8
RENDERUSDT,F_192_ext_entry,2025-01-15T23:40:00+00:00,2025-01-15T23:45:00+00:00,7.639919,7.664322,20.0,0.0639,,stop,1
