symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_192_ext_entry,2025-01-01T15:45:00+00:00,2025-01-01T16:05:00+00:00,191.758963,192.37147,20.0,0.0639,,stop,4
SOLUSDT,F_192_ext_entry,2025-01-01T20:05:00+00:00,2025-01-01T21:20:00+00:00,194.172096,194.792311,20.0,0.0639,,stop,15
SOLUSDT,F_192_ext_entry,2025-01-02T07:15:00+00:00,2025-01-02T07:30:00+00:00,206.2678,206.92665,20.0,0.0639,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-04T13:10:00+00:00,2025-01-04T13:30:00+00:00,217.502386,216.410686,20.0,-0.1004,,stop,4
SOLUSDT,F_192_ext_entry,2025-01-06T13:35:00+00:00,2025-01-06T13:45:00+00:00,218.163244,218.86009,20.0,0.0639,,stop,2
SOLUSDT,F_192_ext_entry,2025-01-08T15:10:00+00:00,2025-01-08T15:10:00+00:00,199.599142,197.326569,20.0,-0.2277,,stop,0
SOLUSDT,F_192_ext_entry,2025-01-09T15:50:00+00:00,2025-01-09T15:55:00+00:00,192.129444,192.743134,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-13T04:30:00+00:00,2025-01-13T04:45:00+00:00,186.812541,185.418326,20.0,-0.1493,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-13T22:05:00+00:00,2025-01-13T22:20:00+00:00,182.747263,183.330985,20.0,0.0639,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-14T03:15:00+00:00,2025-01-14T04:15:00+00:00,184.399408,184.988407,20.0,0.0639,,stop,12
SOLUSDT,F_192_ext_entry,2025-01-14T21:20:00+00:00,2025-01-14T21:35:00+00:00,187.94401,186.643914,20.0,-0.1383,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-16T06:30:00+00:00,2025-01-16T06:45:00+00:00,203.484186,202.507726,20.0,-0.096,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-16T11:40:00+00:00,2025-01-16T11:45:00+00:00,207.409282,209.808694,20.0,0.2314,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-17T10:15:00+00:00,2025-01-17T10:20:00+00:00,217.171957,217.865637,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-17T13:00:00+00:00,2025-01-17T13:05:00+00:00,220.616429,221.321111,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-17T13:35:00+00:00,2025-01-17T13:35:00+00:00,222.068314,220.054728,20.0,-0.1813,,stop,0
SOLUSDT,F_192_ext_entry,2025-01-17T23:25:00+00:00,2025-01-17T23:30:00+00:00,220.926832,219.402666,20.0,-0.138,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-18T15:15:00+00:00,2025-01-18T15:20:00+00:00,244.367265,245.147811,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-18T22:15:00+00:00,2025-01-18T22:25:00+00:00,254.961019,255.775403,20.0,0.0639,,stop,2
SOLUSDT,F_192_ext_entry,2025-01-18T23:20:00+00:00,2025-01-18T23:25:00+00:00,257.153866,258.634358,20.0,0.1151,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-19T04:40:00+00:00,2025-01-19T04:45:00+00:00,270.05061,270.913192,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-21T18:30:00+00:00,2025-01-21T18:35:00+00:00,252.177405,255.312981,20.0,0.2487,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-23T14:45:00+00:00,2025-01-23T14:50:00+00:00,252.607964,253.414832,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-23T16:15:00+00:00,2025-01-23T16:20:00+00:00,255.161279,255.976302,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-24T07:05:00+00:00,2025-01-24T07:10:00+00:00,264.563486,261.377539,20.0,-0.2408,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-24T14:30:00+00:00,2025-01-24T14:30:00+00:00,269.720181,267.372145,20.0,-0.1741,,stop,0
SOLUSDT,F_192_ext_entry,2025-01-24T14:45:00+00:00,2025-01-24T15:00:00+00:00,270.210818,267.3471,20.0,-0.212,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-25T18:30:00+00:00,2025-01-25T18:40:00+00:00,259.777272,260.60704,20.0,0.0639,,stop,2
SOLUSDT,F_192_ext_entry,2025-01-27T20:05:00+00:00,2025-01-27T20:25:00+00:00,228.476634,229.819686,20.0,0.1176,,stop,4
SOLUSDT,F_192_ext_entry,2025-01-27T21:20:00+00:00,2025-01-27T21:30:00+00:00,237.848802,234.656209,20.0,-0.2685,,stop,2
SOLUSDT,F_192_ext_entry,2025-01-28T15:05:00+00:00,2025-01-28T15:15:00+00:00,239.130466,235.864871,20.0,-0.2731,,stop,2
