symbol,NOVA_EXT_MAX,NOVA_EMA_X,NOVA_EMA_PCT,net,trades,win_pct,pf
XLMUSDT,-0.15,4,0.05,0.0,0,0.0,0.0
XLMUSDT,-0.15,4,0.08,0.0,0,0.0,0.0
XLMUSDT,-0.15,4,0.1,0.0,0,0.0,0.0
XLMUSDT,-0.15,6,0.05,0.0,0,0.0,0.0
XLMUSDT,-0.15,6,0.08,0.0,0,0.0,0.0
XLMUSDT,-0.15,6,0.1,0.0,0,0.0,0.0
XLMUSDT,-0.15,8,0.05,0.0,0,0.0,0.0
XLMUSDT,-0.15,8,0.08,0.0,0,0.0,0.0
XLMUSDT,-0.15,8,0.1,0.0,0,0.0,0.0
XLMUSDT,0.1,4,0.05,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,4,0.08,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,4,0.1,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,6,0.05,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,6,0.08,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,6,0.1,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,8,0.05,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,8,0.08,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.1,8,0.1,-15.442063667139871,511,46.38,0.516921099840126
XLMUSDT,0.5,4,0.05,-43.81580164064065,1479,49.76,0.5753972479789744
XLMUSDT,0.5,4,0.08,-43.81580164064065,1479,49.76,0.5753972479789744
XLMUSDT,0.5,4,0.1,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,6,0.05,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,6,0.08,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,6,0.1,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,8,0.05,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,8,0.08,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,0.5,8,0.1,-44.47852743084214,1480,49.73,0.5717254948507164
XLMUSDT,1.0,4,0.05,-69.53489893945684,2402,48.71,0.5881623467595535
XLMUSDT,1.0,4,0.08,-70.07570167516829,2403,48.69,0.5862844553205039
XLMUSDT,1.0,4,0.1,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,6,0.05,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,6,0.08,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,6,0.1,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,8,0.05,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,8,0.08,-70.7384274653698,2404,48.67,0.5839994841803735
XLMUSDT,1.0,8,0.1,-70.7384274653698,2404,48.67,0.5839994841803735
