symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_192_ext_entry,2025-01-01T15:35:00+00:00,2025-01-01T15:45:00+00:00,0.37769,0.379345,20.0,0.0876,,stop,2
XLMUSDT,F_192_ext_entry,2025-01-01T16:00:00+00:00,2025-01-01T16:05:00+00:00,0.386001,0.390578,20.0,0.2372,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-03T16:25:00+00:00,2025-01-03T16:40:00+00:00,0.448382,0.450011,20.0,0.0727,,stop,3
XLMUSDT,F_192_ext_entry,2025-01-04T20:25:00+00:00,2025-01-04T21:05:00+00:00,0.452087,0.453531,20.0,0.0639,,stop,8
XLMUSDT,F_192_ext_entry,2025-01-06T01:55:00+00:00,2025-01-06T02:00:00+00:00,0.443976,0.448157,20.0,0.1883,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-07T05:50:00+00:00,2025-01-07T06:00:00+00:00,0.445679,0.448616,20.0,0.1318,,stop,2
XLMUSDT,F_192_ext_entry,2025-01-07T08:35:00+00:00,2025-01-07T08:45:00+00:00,0.4624,0.457476,20.0,-0.213,,stop,2
XLMUSDT,F_192_ext_entry,2025-01-08T00:40:00+00:00,2025-01-08T00:45:00+00:00,0.428256,0.431991,20.0,0.1744,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-10T05:40:00+00:00,2025-01-10T05:45:00+00:00,0.40082,0.402101,20.0,0.0639,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-10T20:55:00+00:00,2025-01-10T21:00:00+00:00,0.425953,0.420548,20.0,-0.2538,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-11T10:25:00+00:00,2025-01-11T10:40:00+00:00,0.411334,0.416225,20.0,0.2378,,stop,3
XLMUSDT,F_192_ext_entry,2025-01-13T14:55:00+00:00,2025-01-13T15:15:00+00:00,0.412836,0.414155,20.0,0.0639,,stop,4
XLMUSDT,F_192_ext_entry,2025-01-15T21:50:00+00:00,2025-01-15T21:55:00+00:00,0.482426,0.483999,20.0,0.0652,,stop,1
XLMUSDT,F_192_ext_entry,2025-01-17T23:40:00+00:00,2025-01-18T00:05:00+00:00,0.489836,0.485789,20.0,-0.1652,,stop,5
XLMUSDT,F_192_ext_entry,2025-01-18T11:40:00+00:00,2025-01-18T12:35:00+00:00,0.463201,0.457805,20.0,-0.233,,stop,11
XLMUSDT,F_192_ext_entry,2025-01-21T10:30:00+00:00,2025-01-21T10:45:00+00:00,0.440572,0.435919,20.0,-0.2112,,stop,3
XLMUSDT,F_192_ext_entry,2025-01-23T15:05:00+00:00,2025-01-23T15:05:00+00:00,0.430859,0.425292,20.0,-0.2585,,stop,0
XLMUSDT,F_192_ext_entry,2025-01-24T14:05:00+00:00,2025-01-24T14:30:00+00:00,0.447681,0.443532,20.0,-0.1853,,stop,5
XLMUSDT,F_192_ext_entry,2025-01-25T01:25:00+00:00,2025-01-25T01:50:00+00:00,0.437368,0.432705,20.0,-0.2132,,stop,5
XLMUSDT,F_192_ext_entry,2025-01-28T11:15:00+00:00,2025-01-28T11:30:00+00:00,0.411234,0.40806,20.0,-0.1544,,stop,3
