exp,symbol,slip_per_side,net,trades,win_pct,pf,survives
F_001_rsi2_snap,ETHUSDT,0.0003,8.8625,137,92.7,2.124,True
F_001_rsi2_snap,ETHUSDT,0.001,4.6416,135,91.11,1.5033,True
F_001_rsi2_snap,ETHUSDT,0.003,-5.4103,132,87.88,0.5872,False
F_001_rsi2_snap,SOLUSDT,0.0003,9.0987,151,88.74,1.6731,True
F_001_rsi2_snap,SOLUSDT,0.001,3.9989,150,86.67,1.252,False
F_001_rsi2_snap,SOLUSDT,0.003,-7.8295,148,82.43,0.6455,False
F_001_rsi2_snap,XLMUSDT,0.0003,20.2912,121,95.04,3.1724,True
F_001_rsi2_snap,XLMUSDT,0.001,17.5845,121,95.04,2.8684,True
F_001_rsi2_snap,XLMUSDT,0.003,4.8452,121,90.91,1.3349,True
F_001_rsi2_snap,LINKUSDT,0.0003,11.5324,135,88.89,1.7939,True
F_001_rsi2_snap,LINKUSDT,0.001,7.5222,135,88.15,1.47,True
F_001_rsi2_snap,LINKUSDT,0.003,-3.1737,133,85.71,0.8353,False
F_001_rsi2_snap,RENDERUSDT,0.0003,27.4855,124,94.35,4.15,True
F_001_rsi2_snap,RENDERUSDT,0.001,23.2252,124,93.55,3.2676,True
F_001_rsi2_snap,RENDERUSDT,0.003,11.2288,123,90.24,1.6936,True
F_001_rsi2_snap,FILUSDT,0.0003,13.5151,95,91.58,2.5135,True
F_001_rsi2_snap,FILUSDT,0.001,8.0751,95,88.42,1.663,True
F_001_rsi2_snap,FILUSDT,0.003,-3.5265,95,83.16,0.8059,False
F_008_turtle_soup,SOLUSDT,0.0003,4.2608,53,88.68,1.8061,True
F_008_turtle_soup,SOLUSDT,0.001,0.1606,52,82.69,1.0199,False
F_008_turtle_soup,SOLUSDT,0.003,-5.5493,52,76.92,0.5174,False
F_008_turtle_soup,XLMUSDT,0.0003,3.0763,58,82.76,1.3163,True
F_008_turtle_soup,XLMUSDT,0.001,2.4026,58,82.76,1.2438,False
F_008_turtle_soup,XLMUSDT,0.003,-0.6007,57,82.46,0.9414,False
F_008_turtle_soup,LINKUSDT,0.0003,7.294,58,94.83,3.7134,True
F_008_turtle_soup,LINKUSDT,0.001,5.0397,58,93.1,2.3872,True
F_008_turtle_soup,LINKUSDT,0.003,-3.7235,57,84.21,0.598,False
F_008_turtle_soup,FILUSDT,0.0003,7.1179,48,87.5,2.1373,True
F_008_turtle_soup,FILUSDT,0.001,5.9357,48,87.5,1.9371,True
F_008_turtle_soup,FILUSDT,0.003,0.8799,48,83.33,1.1027,False
F_165_score_entry,BTCUSDT,0.0003,2.371,74,78.38,1.3523,True
F_165_score_entry,BTCUSDT,0.001,-1.0096,74,72.97,0.8804,False
F_165_score_entry,BTCUSDT,0.003,-6.9988,74,68.92,0.3674,False
F_165_score_entry,ETHUSDT,0.0003,9.2449,75,82.67,2.0207,True
F_165_score_entry,ETHUSDT,0.001,7.6179,75,82.67,1.8256,True
F_165_score_entry,ETHUSDT,0.003,0.5196,74,78.38,1.042,False
F_165_score_entry,SOLUSDT,0.0003,11.991,87,87.36,2.4829,True
F_165_score_entry,SOLUSDT,0.001,10.0128,87,87.36,2.2167,True
F_165_score_entry,SOLUSDT,0.003,1.8051,84,79.76,1.1431,False
F_165_score_entry,XLMUSDT,0.0003,16.6518,55,85.45,3.1563,True
F_165_score_entry,XLMUSDT,0.001,15.4112,55,85.45,2.9698,True
F_165_score_entry,XLMUSDT,0.003,10.7058,54,77.78,1.973,True
F_165_score_entry,LINKUSDT,0.0003,14.3348,79,89.87,3.3189,True
F_165_score_entry,LINKUSDT,0.001,12.19,78,89.74,2.9394,True
F_165_score_entry,LINKUSDT,0.003,4.7642,76,84.21,1.4432,True
F_165_score_entry,FILUSDT,0.0003,19.3363,46,93.48,6.6541,True
F_165_score_entry,FILUSDT,0.001,16.724,45,88.89,4.0884,True
F_165_score_entry,FILUSDT,0.003,11.9224,45,84.44,2.5995,True
F_192_ext_entry,ETHUSDT,0.0003,7.5895,85,83.53,1.756,True
F_192_ext_entry,ETHUSDT,0.001,5.1249,85,82.35,1.4758,True
F_192_ext_entry,ETHUSDT,0.003,-2.7215,83,78.31,0.808,False
F_192_ext_entry,SOLUSDT,0.0003,13.374,96,85.42,2.1404,True
F_192_ext_entry,SOLUSDT,0.001,11.2209,96,85.42,1.9423,True
F_192_ext_entry,SOLUSDT,0.003,-0.3809,94,74.47,0.9802,False
F_192_ext_entry,XLMUSDT,0.0003,21.425,80,87.5,4.0756,True
F_192_ext_entry,XLMUSDT,0.001,19.5724,80,87.5,3.758,True
F_192_ext_entry,XLMUSDT,0.003,13.0812,78,82.05,2.2246,True
F_192_ext_entry,LINKUSDT,0.0003,21.4213,98,92.86,4.8198,True
F_192_ext_entry,LINKUSDT,0.001,17.6027,98,91.84,3.5061,True
F_192_ext_entry,LINKUSDT,0.003,6.7799,96,86.46,1.5192,True
F_192_ext_entry,FILUSDT,0.0003,26.8652,69,94.2,8.5202,True
F_192_ext_entry,FILUSDT,0.001,24.031,69,92.75,5.9545,True
F_192_ext_entry,FILUSDT,0.003,16.4368,68,88.24,3.0387,True
