symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_002_marsdx,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,4.993483,5.009433,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,5.065577,5.10626,20.0,0.1606,,stop,1
FILUSDT,F_002_marsdx,2025-01-01T18:00:00+00:00,2025-01-01T19:00:00+00:00,5.076591,5.14418,20.0,0.2663,,stop,1
FILUSDT,F_002_marsdx,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,5.172716,5.189238,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-01T22:00:00+00:00,2025-01-02T01:00:00+00:00,5.150687,5.245966,20.0,0.37,,stop,3
FILUSDT,F_002_marsdx,2025-01-02T00:00:00+00:00,2025-01-02T01:00:00+00:00,5.128659,5.245966,20.0,0.4575,,stop,1
FILUSDT,F_002_marsdx,2025-01-02T02:00:00+00:00,2025-01-02T03:00:00+00:00,5.187735,5.204306,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-02T04:00:00+00:00,2025-01-02T05:00:00+00:00,5.197748,5.244968,20.0,0.1817,,stop,1
FILUSDT,F_002_marsdx,2025-01-02T06:00:00+00:00,2025-01-02T08:00:00+00:00,5.194744,5.211337,20.0,0.0639,,stop,2
FILUSDT,F_002_marsdx,2025-01-02T09:00:00+00:00,2025-01-02T10:00:00+00:00,5.241806,5.272557,20.0,0.1173,,stop,1
FILUSDT,F_002_marsdx,2025-01-02T11:00:00+00:00,2025-01-02T13:00:00+00:00,5.287865,5.304756,20.0,0.0639,,stop,2
FILUSDT,F_002_marsdx,2025-01-02T13:00:00+00:00,2025-01-02T14:00:00+00:00,5.278854,5.295715,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-02T15:00:00+00:00,2025-01-02T23:00:00+00:00,5.302885,5.319823,20.0,0.0639,,stop,8
FILUSDT,F_002_marsdx,2025-01-02T19:00:00+00:00,2025-01-02T23:00:00+00:00,5.291871,5.311428,20.0,0.0739,,stop,4
FILUSDT,F_002_marsdx,2025-01-02T23:00:00+00:00,2025-01-03T03:00:00+00:00,5.32992,5.38667,20.0,0.2129,,stop,4
FILUSDT,F_002_marsdx,2025-01-03T02:00:00+00:00,2025-01-03T03:00:00+00:00,5.320908,5.38667,20.0,0.2472,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T04:00:00+00:00,2025-01-03T07:00:00+00:00,5.429049,5.270046,20.0,-0.5857,,stop,3
FILUSDT,F_002_marsdx,2025-01-03T10:00:00+00:00,2025-01-03T11:00:00+00:00,5.361962,5.379088,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T12:00:00+00:00,2025-01-03T13:00:00+00:00,5.43005,5.506418,20.0,0.2813,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T14:00:00+00:00,2025-01-03T15:00:00+00:00,5.49914,5.640137,20.0,0.5128,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T16:00:00+00:00,2025-01-03T17:00:00+00:00,5.644328,5.740925,20.0,0.3423,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T18:00:00+00:00,2025-01-03T19:00:00+00:00,5.668359,5.686465,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-03T20:00:00+00:00,2025-01-04T00:00:00+00:00,5.65334,5.671397,20.0,0.0639,,stop,4
FILUSDT,F_002_marsdx,2025-01-03T22:00:00+00:00,2025-01-04T01:00:00+00:00,5.660349,5.678429,20.0,0.0639,,stop,3
FILUSDT,F_002_marsdx,2025-01-04T00:00:00+00:00,2025-01-04T13:00:00+00:00,5.671363,5.689478,20.0,0.0639,,stop,13
FILUSDT,F_002_marsdx,2025-01-04T04:00:00+00:00,2025-01-04T13:00:00+00:00,5.670362,5.688474,20.0,0.0639,,stop,9
FILUSDT,F_002_marsdx,2025-01-04T06:00:00+00:00,2025-01-04T07:00:00+00:00,5.650336,5.668384,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-04T08:00:00+00:00,2025-01-04T13:00:00+00:00,5.663353,5.681442,20.0,0.0639,,stop,5
FILUSDT,F_002_marsdx,2025-01-04T14:00:00+00:00,2025-01-04T15:00:00+00:00,5.712417,5.730663,20.0,0.0639,,stop,1
FILUSDT,F_002_marsdx,2025-01-04T21:00:00+00:00,2025-01-05T08:00:00+00:00,5.654341,5.672402,20.0,0.0639,,stop,11
FILUSDT,F_002_marsdx,2025-01-05T05:00:00+00:00,2025-01-05T08:00:00+00:00,5.651337,5.669388,20.0,0.0639,,stop,3
FILUSDT,F_002_marsdx,2025-01-05T08:00:00+00:00,2025-01-05T10:00:00+00:00,5.660349,5.56753,20.0,-0.328,,stop,2
