symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
RENDERUSDT,20,5,2,37.382613720946416,582,86.94,1.6713431218700947
RENDERUSDT,20,5,7,54.21566217601952,770,87.4,1.7839180636373657
RENDERUSDT,20,5,14,56.43485100788334,775,87.48,1.8333606088643823
RENDERUSDT,20,7,2,36.101630783872594,587,86.88,1.6400841956326313
RENDERUSDT,20,7,7,53.04282712363011,805,87.33,1.731984371220499
RENDERUSDT,20,7,14,55.126691102491485,811,87.42,1.7762402430022322
RENDERUSDT,20,9,2,36.26421887747661,588,86.73,1.6375354544828264
RENDERUSDT,20,9,7,58.49659243536403,825,87.52,1.8038072338982725
RENDERUSDT,20,9,14,60.175054493440705,833,87.64,1.8436440199407438
RENDERUSDT,50,5,2,32.05247094121576,483,86.75,1.7000181159133565
RENDERUSDT,50,5,7,66.2546985029767,635,89.61,2.4753055049304984
RENDERUSDT,50,5,14,66.34938493496882,641,89.55,2.4587593634552003
RENDERUSDT,50,7,2,32.233459293780136,477,87.21,1.7441168761755688
RENDERUSDT,50,7,7,63.210129970127774,654,89.6,2.3544323963853144
RENDERUSDT,50,7,14,63.23547160187814,662,89.58,2.33869142479929
RENDERUSDT,50,9,2,33.03603623672539,476,87.61,1.7764801523284768
RENDERUSDT,50,9,7,64.86263156804662,669,89.54,2.3269428062346167
RENDERUSDT,50,9,14,64.16064940551777,678,89.53,2.2975130352112054
RENDERUSDT,100,5,2,35.140618937918155,457,87.96,1.8774066161937073
RENDERUSDT,100,5,7,62.009004604211185,593,90.22,2.5076165259689365
RENDERUSDT,100,5,14,62.03512105410865,603,90.05,2.465004562458263
RENDERUSDT,100,7,2,34.5337280058683,443,88.71,1.9329710413918377
RENDERUSDT,100,7,7,59.070358937038336,599,90.65,2.441861971271161
RENDERUSDT,100,7,14,59.588761955205804,609,90.64,2.434408087418344
RENDERUSDT,100,9,2,35.24890349571528,440,88.86,1.9787888435535679
RENDERUSDT,100,9,7,59.96042877821701,609,90.31,2.4445840130128857
RENDERUSDT,100,9,14,59.49968524127411,620,90.32,2.4139204997007955
