symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_002_marsdx,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,6.835875,6.915454,20.0,0.2328,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-01T17:00:00+00:00,2025-01-01T18:00:00+00:00,6.915979,6.93807,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,7.05516,7.112041,20.0,0.1612,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-01T21:00:00+00:00,2025-01-01T22:00:00+00:00,7.153287,7.253743,20.0,0.2809,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-01T23:00:00+00:00,2025-01-02T01:00:00+00:00,7.218372,7.317608,20.0,0.275,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,7.296473,7.322774,20.0,0.0721,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-02T03:00:00+00:00,2025-01-02T04:00:00+00:00,7.344536,7.367995,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-02T05:00:00+00:00,2025-01-02T09:00:00+00:00,7.43265,7.593029,20.0,0.4316,,stop,4
RENDERUSDT,F_002_marsdx,2025-01-02T07:00:00+00:00,2025-01-02T09:00:00+00:00,7.416629,7.593029,20.0,0.4757,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-02T09:00:00+00:00,2025-01-02T10:00:00+00:00,7.612884,7.731737,20.0,0.3122,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-02T11:00:00+00:00,2025-01-02T13:00:00+00:00,7.861206,7.620287,20.0,-0.6129,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-02T13:00:00+00:00,2025-01-02T15:00:00+00:00,7.72503,7.749704,20.0,0.0639,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-02T18:00:00+00:00,2025-01-02T19:00:00+00:00,7.659945,7.684412,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-02T20:00:00+00:00,2025-01-02T21:00:00+00:00,7.719022,7.75634,20.0,0.0967,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-02T22:00:00+00:00,2025-01-03T12:00:00+00:00,7.704002,7.859469,20.0,0.4036,,stop,14
RENDERUSDT,F_002_marsdx,2025-01-03T04:00:00+00:00,2025-01-03T12:00:00+00:00,7.695992,7.859469,20.0,0.4248,,stop,8
RENDERUSDT,F_002_marsdx,2025-01-03T11:00:00+00:00,2025-01-03T12:00:00+00:00,7.688983,7.859469,20.0,0.4435,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-03T13:00:00+00:00,2025-01-03T14:00:00+00:00,7.791115,7.821125,20.0,0.077,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-03T15:00:00+00:00,2025-01-03T16:00:00+00:00,7.911271,8.058051,20.0,0.3711,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-03T17:00:00+00:00,2025-01-03T18:00:00+00:00,8.060465,8.086211,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-03T19:00:00+00:00,2025-01-04T09:00:00+00:00,8.078488,8.104292,20.0,0.0639,,stop,14
RENDERUSDT,F_002_marsdx,2025-01-03T21:00:00+00:00,2025-01-03T22:00:00+00:00,8.030426,8.056076,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-03T23:00:00+00:00,2025-01-04T00:00:00+00:00,8.059464,8.085207,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-04T03:00:00+00:00,2025-01-04T07:00:00+00:00,8.032429,8.062327,20.0,0.0744,,stop,4
RENDERUSDT,F_002_marsdx,2025-01-04T05:00:00+00:00,2025-01-04T07:00:00+00:00,8.039438,8.065117,20.0,0.0639,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-04T08:00:00+00:00,2025-01-04T10:00:00+00:00,8.099516,7.926484,20.0,-0.4273,,stop,2
RENDERUSDT,F_002_marsdx,2025-01-04T12:00:00+00:00,2025-01-04T13:00:00+00:00,8.083495,8.177799,20.0,0.2333,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-04T14:00:00+00:00,2025-01-04T15:00:00+00:00,8.213664,8.2399,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-04T18:00:00+00:00,2025-01-04T19:00:00+00:00,8.091505,8.117351,20.0,0.0639,,stop,1
RENDERUSDT,F_002_marsdx,2025-01-04T20:00:00+00:00,2025-01-05T08:00:00+00:00,8.123547,8.149495,20.0,0.0639,,stop,12
RENDERUSDT,F_002_marsdx,2025-01-05T05:00:00+00:00,2025-01-05T08:00:00+00:00,8.100517,8.135087,20.0,0.0854,,stop,3
RENDERUSDT,F_002_marsdx,2025-01-05T08:00:00+00:00,2025-01-05T14:00:00+00:00,8.104522,7.952314,20.0,-0.3756,,stop,6
