symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
BTCUSDT,20,5,2,10.390289293114748,1913,72.66,1.079103960220732
BTCUSDT,20,5,7,20.804693060380735,2513,73.46,1.1236386629557649
BTCUSDT,20,5,14,26.633474167280454,2542,73.96,1.159467044221677
BTCUSDT,20,7,2,11.260264925277903,1936,72.73,1.0852545090753398
BTCUSDT,20,7,7,18.011363367323572,2657,73.5,1.100855356417197
BTCUSDT,20,7,14,24.94981992862434,2701,74.12,1.1404837164010164
BTCUSDT,20,9,2,12.109097231722023,1957,72.92,1.0910973817975984
BTCUSDT,20,9,7,23.04579944132261,2779,73.44,1.1233022702387156
BTCUSDT,20,9,14,29.690941200539992,2839,74.25,1.160545275053993
BTCUSDT,50,5,2,19.4399053383626,1688,73.93,1.1776626582063543
BTCUSDT,50,5,7,25.59035292394993,2226,74.26,1.175595888935899
BTCUSDT,50,5,14,31.40321325967188,2274,74.76,1.2151921329875466
BTCUSDT,50,7,2,18.056539441203036,1686,73.49,1.163039575278093
BTCUSDT,50,7,7,19.564023600684674,2313,73.76,1.1272812896378772
BTCUSDT,50,7,14,24.178612499050065,2377,74.17,1.15487633761586
BTCUSDT,50,9,2,16.80372616460732,1682,73.54,1.1518684618420718
BTCUSDT,50,9,7,24.478011236680313,2392,74.21,1.1553514036254189
BTCUSDT,50,9,14,27.053540447811873,2466,74.61,1.1685313173740017
BTCUSDT,100,5,2,6.401849413910063,1642,72.84,1.0558840296129226
BTCUSDT,100,5,7,15.859790556548676,2113,73.78,1.1118515655468184
BTCUSDT,100,5,14,21.02097850586691,2184,74.22,1.1457260483899356
BTCUSDT,100,7,2,4.667076861908335,1619,72.27,1.040414947640384
BTCUSDT,100,7,7,13.49590060484734,2178,73.92,1.092352062960439
BTCUSDT,100,7,14,15.779545689009778,2254,74.09,1.1042469604455896
BTCUSDT,100,9,2,5.734153247405619,1600,72.56,1.0506673196348433
BTCUSDT,100,9,7,16.78758676078681,2231,73.91,1.1115273374091346
BTCUSDT,100,9,14,17.533203139805103,2314,74.24,1.1127766705099373
ETHUSDT,20,5,2,24.67064941482035,1778,76.32,1.1889397943850903
ETHUSDT,20,5,7,33.581100176127165,2417,76.46,1.191591942118763
ETHUSDT,20,5,14,32.33828032381943,2409,76.3,1.1845821752751968
ETHUSDT,20,7,2,24.23631112666875,1802,76.3,1.1834179469795196
ETHUSDT,20,7,7,32.384730420109264,2562,76.35,1.1729252856792423
ETHUSDT,20,7,14,30.962765563070224,2571,76.27,1.164795369209779
ETHUSDT,20,9,2,25.836872699725667,1813,76.5,1.1955796549751265
ETHUSDT,20,9,7,30.610423199235132,2670,76.29,1.1554339712147843
ETHUSDT,20,9,14,24.454791843785685,2697,75.86,1.1207300209919673
ETHUSDT,50,5,2,22.76763332597186,1576,76.52,1.195270689738649
ETHUSDT,50,5,7,39.68843514242231,2114,77.34,1.2668673598678455
ETHUSDT,50,5,14,38.763861650104076,2148,77.19,1.2534486422564488
ETHUSDT,50,7,2,27.305288301375985,1568,77.3,1.243757490313009
ETHUSDT,50,7,7,39.03628822642965,2198,77.25,1.249683958237674
ETHUSDT,50,7,14,37.3230693349456,2250,77.16,1.2306694392303663
ETHUSDT,50,9,2,24.16849879395013,1559,76.91,1.2137395730835059
ETHUSDT,50,9,7,37.807165786983106,2272,77.16,1.2331319121475481
ETHUSDT,50,9,14,33.488311258309494,2338,76.86,1.1961443248418178
ETHUSDT,100,5,2,24.598707564105247,1527,77.41,1.2233808974232379
ETHUSDT,100,5,7,26.635195952266088,2019,76.47,1.178364070381954
ETHUSDT,100,5,14,27.381887981788232,2070,76.52,1.1783655007445848
ETHUSDT,100,7,2,28.122741617546417,1503,77.98,1.2643255305192502
ETHUSDT,100,7,7,29.91958229877499,2082,76.85,1.1954091495467112
ETHUSDT,100,7,14,25.8363436276163,2149,76.41,1.1600602423044888
ETHUSDT,100,9,2,27.17268341702079,1473,78.07,1.260618536193103
ETHUSDT,100,9,7,29.881297934246557,2135,77.1,1.1912508133622917
ETHUSDT,100,9,14,26.176129315194363,2204,76.72,1.1589993017091524
SOLUSDT,20,5,2,110.80578646617103,1905,85.04,1.7478483117799937
SOLUSDT,20,5,7,143.47502980808733,2502,85.57,1.7603329787919448
SOLUSDT,20,5,14,141.469678100096,2511,85.54,1.7438319723089706
SOLUSDT,20,7,2,113.75358829980128,1924,85.14,1.7613352369089617
SOLUSDT,20,7,7,155.8460261704059,2628,85.39,1.7844768523078591
SOLUSDT,20,7,14,153.88220760252855,2648,85.31,1.760766813700897
SOLUSDT,20,9,2,115.59991479863956,1938,85.19,1.7698341979358847
SOLUSDT,20,9,7,166.2957001122846,2738,85.28,1.8085108119666353
SOLUSDT,20,9,14,165.4655256635134,2768,85.4,1.7956007670427552
