symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_003_vwap_bounce,2025-01-29T22:00:00+00:00,2025-01-29T23:00:00+00:00,3144.68278,3154.727369,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-02-07T14:00:00+00:00,2025-02-07T15:00:00+00:00,2779.6088,2788.487287,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-03-25T15:00:00+00:00,2025-03-26T03:00:00+00:00,2079.089307,2043.165449,20.0,-0.3456,,stop,12
ETHUSDT,F_003_vwap_bounce,2025-03-31T14:00:00+00:00,2025-03-31T15:00:00+00:00,1820.894089,1842.873746,20.0,0.2414,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-04-09T18:00:00+00:00,2025-04-09T19:00:00+00:00,1634.952679,1669.777831,20.0,0.426,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-04-11T14:00:00+00:00,2025-04-11T18:00:00+00:00,1572.651793,1588.129568,20.0,0.1968,,stop,4
ETHUSDT,F_003_vwap_bounce,2025-04-25T10:00:00+00:00,2025-04-25T13:00:00+00:00,1790.42453,1796.755777,20.0,0.0707,,stop,3
ETHUSDT,F_003_vwap_bounce,2025-04-28T11:00:00+00:00,2025-04-28T12:00:00+00:00,1817.76002,1823.566218,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-05-02T15:00:00+00:00,2025-05-02T17:00:00+00:00,1851.313583,1867.072846,20.0,0.1702,,stop,2
ETHUSDT,F_003_vwap_bounce,2025-06-01T19:00:00+00:00,2025-06-01T21:00:00+00:00,2523.486273,2531.546667,20.0,0.0639,,stop,2
ETHUSDT,F_003_vwap_bounce,2025-06-09T14:00:00+00:00,2025-06-09T15:00:00+00:00,2520.57249,2531.325593,20.0,0.0853,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-07-15T16:00:00+00:00,2025-07-15T17:00:00+00:00,3043.891922,3056.717435,20.0,0.0843,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-07-24T15:00:00+00:00,2025-07-24T16:00:00+00:00,3739.304785,3758.565505,20.0,0.103,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-08-06T15:00:00+00:00,2025-08-06T16:00:00+00:00,3641.888308,3657.280586,20.0,0.0845,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-08-20T15:00:00+00:00,2025-08-20T16:00:00+00:00,4218.867407,4299.446652,20.0,0.382,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-08-28T14:00:00+00:00,2025-08-28T15:00:00+00:00,4581.157773,4595.790678,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-09-20T18:00:00+00:00,2025-09-21T02:00:00+00:00,4491.93193,4453.566186,20.0,-0.1708,,stop,8
ETHUSDT,F_003_vwap_bounce,2025-11-09T11:00:00+00:00,2025-11-09T12:00:00+00:00,3406.012067,3421.500619,20.0,0.0909,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-11-12T15:00:00+00:00,2025-11-12T15:00:00+00:00,3506.822951,3426.452764,20.0,-0.4584,,stop,0
ETHUSDT,F_003_vwap_bounce,2025-11-22T23:00:00+00:00,2025-11-23T02:00:00+00:00,2792.886038,2806.445412,20.0,0.0971,,stop,3
ETHUSDT,F_003_vwap_bounce,2025-11-24T01:00:00+00:00,2025-11-24T02:00:00+00:00,2791.974855,2800.892841,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-11-25T20:00:00+00:00,2025-11-25T21:00:00+00:00,2926.759848,2936.108358,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-12-09T13:00:00+00:00,2025-12-09T16:00:00+00:00,3141.648841,3250.043939,20.0,0.6901,,stop,3
ETHUSDT,F_003_vwap_bounce,2026-01-15T15:00:00+00:00,2026-01-15T15:00:00+00:00,3346.64499,3287.284529,20.0,-0.3547,,stop,0
ETHUSDT,F_003_vwap_bounce,2026-01-17T12:00:00+00:00,2026-01-17T16:00:00+00:00,3307.013536,3319.089427,20.0,0.073,,stop,4
ETHUSDT,F_003_vwap_bounce,2026-01-26T15:00:00+00:00,2026-01-26T16:00:00+00:00,2926.549575,2941.47868,20.0,0.102,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-02-15T04:00:00+00:00,2026-02-15T05:00:00+00:00,2061.616622,2082.749198,20.0,0.205,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-03-09T23:00:00+00:00,2026-03-10T01:00:00+00:00,2005.123276,2015.831008,20.0,0.1068,,stop,2
ETHUSDT,F_003_vwap_bounce,2026-03-12T16:00:00+00:00,2026-03-13T00:00:00+00:00,2075.024029,2086.547058,20.0,0.1111,,stop,8
ETHUSDT,F_003_vwap_bounce,2026-04-04T16:00:00+00:00,2026-04-04T20:00:00+00:00,2058.963177,2079.625767,20.0,0.2007,,stop,4
ETHUSDT,F_003_vwap_bounce,2026-04-05T23:00:00+00:00,2026-04-06T00:00:00+00:00,2088.491514,2119.032879,20.0,0.2925,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-04-15T15:00:00+00:00,2026-04-15T16:00:00+00:00,2341.449933,2348.928875,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-04-20T16:00:00+00:00,2026-04-20T19:00:00+00:00,2316.928096,2339.269639,20.0,0.1929,,stop,3
ETHUSDT,F_003_vwap_bounce,2026-04-23T01:00:00+00:00,2026-04-23T03:00:00+00:00,2376.044848,2333.223424,20.0,-0.3604,,stop,2
ETHUSDT,F_003_vwap_bounce,2026-05-03T22:00:00+00:00,2026-05-03T23:00:00+00:00,2327.291551,2351.972919,20.0,0.2121,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-05-04T01:00:00+00:00,2026-05-04T02:00:00+00:00,2322.0147,2349.079006,20.0,0.2331,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-05-06T09:00:00+00:00,2026-05-06T10:00:00+00:00,2397.432616,2410.415601,20.0,0.1083,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-05-14T15:00:00+00:00,2026-05-14T16:00:00+00:00,2289.9731,2297.287618,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-05-17T15:00:00+00:00,2026-05-17T23:00:00+00:00,2189.482632,2170.059311,20.0,-0.1774,,stop,8
ETHUSDT,F_003_vwap_bounce,2026-05-21T18:00:00+00:00,2026-05-22T08:00:00+00:00,2149.39058,2117.95223,20.0,-0.2925,,stop,14
ETHUSDT,F_003_vwap_bounce,2026-06-10T17:00:00+00:00,2026-06-10T21:00:00+00:00,1644.124587,1602.865293,20.0,-0.5019,,stop,4
ETHUSDT,F_003_vwap_bounce,2026-06-29T16:00:00+00:00,2026-06-29T17:00:00+00:00,1582.314338,1587.368487,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-07-09T14:00:00+00:00,2026-07-09T19:00:00+00:00,1749.261087,1754.848489,20.0,0.0639,,stop,5
ETHUSDT,F_003_vwap_bounce,2026-07-18T18:00:00+00:00,2026-07-18T19:00:00+00:00,1855.238679,1861.421842,20.0,0.0667,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-08-04T15:00:00+00:00,2026-08-04T19:00:00+00:00,1875.454926,1881.44541,20.0,0.0639,,stop,4
ETHUSDT,F_003_vwap_bounce,2026-08-05T08:00:00+00:00,2026-08-05T13:00:00+00:00,1874.63386,1880.621722,20.0,0.0639,,stop,5
ETHUSDT,F_003_vwap_bounce,2026-08-05T14:00:00+00:00,2026-08-05T17:00:00+00:00,1880.962076,1891.063777,20.0,0.1074,,stop,3
ETHUSDT,F_003_vwap_bounce,2026-08-05T17:00:00+00:00,2026-08-05T18:00:00+00:00,1898.014215,1913.694782,20.0,0.1652,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-08-09T10:00:00+00:00,2026-08-09T22:00:00+00:00,1923.947885,1912.802291,20.0,-0.1159,,stop,12
ETHUSDT,F_003_vwap_bounce,2026-08-18T15:00:00+00:00,2026-08-18T16:00:00+00:00,1913.514339,1919.626391,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-08-23T15:00:00+00:00,2026-08-23T16:00:00+00:00,2442.120635,2449.921135,20.0,0.0639,,stop,1
ETHUSDT,F_003_vwap_bounce,2026-08-28T14:00:00+00:00,2026-08-28T14:00:00+00:00,2512.431921,2476.177272,20.0,-0.2886,,stop,0
ETHUSDT,F_003_vwap_bounce,2026-08-28T15:00:00+00:00,2026-08-28T15:00:00+00:00,2516.2669,2473.622719,20.0,-0.3389,,stop,0
