symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_003_vwap_bounce,2025-01-10T17:00:00+00:00,2025-01-10T18:00:00+00:00,5.257826,5.303844,20.0,0.175,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-02-05T17:00:00+00:00,2025-02-05T22:00:00+00:00,3.844992,3.750253,20.0,-0.4928,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-02-07T14:00:00+00:00,2025-02-07T15:00:00+00:00,3.833978,3.850262,20.0,0.0849,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-02-07T16:00:00+00:00,2025-02-07T17:00:00+00:00,3.818958,3.831157,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-02-08T19:00:00+00:00,2025-02-09T04:00:00+00:00,3.764888,3.81298,20.0,0.2555,,stop,9
GRAMUSDT,F_003_vwap_bounce,2025-02-14T23:00:00+00:00,2025-02-15T00:00:00+00:00,3.83598,3.848233,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-02-16T10:00:00+00:00,2025-02-16T12:00:00+00:00,3.813952,3.826134,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-02-17T09:00:00+00:00,2025-02-17T10:00:00+00:00,3.802937,3.815085,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-01T05:00:00+00:00,2025-03-01T13:00:00+00:00,3.330324,3.254516,20.0,-0.4553,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-03-11T16:00:00+00:00,2025-03-11T17:00:00+00:00,2.630415,2.667389,20.0,0.2811,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-18T08:00:00+00:00,2025-03-18T09:00:00+00:00,3.506553,3.51836,20.0,0.0673,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-18T22:00:00+00:00,2025-03-19T01:00:00+00:00,3.588659,3.605073,20.0,0.0915,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-03-22T16:00:00+00:00,2025-03-22T17:00:00+00:00,3.648737,3.660392,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-24T22:00:00+00:00,2025-03-24T23:00:00+00:00,3.711819,3.633233,20.0,-0.4234,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-26T12:00:00+00:00,2025-03-26T13:00:00+00:00,3.641728,3.589912,20.0,-0.2846,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-04-02T16:00:00+00:00,2025-04-02T20:00:00+00:00,4.064277,3.973533,20.0,-0.4465,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-04-06T13:00:00+00:00,2025-04-06T14:00:00+00:00,3.291273,3.302076,20.0,0.0656,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-01T15:00:00+00:00,2025-05-01T17:00:00+00:00,3.213172,3.241183,20.0,0.1744,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-05-01T19:00:00+00:00,2025-05-01T21:00:00+00:00,3.214173,3.22444,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-05-06T23:00:00+00:00,2025-05-07T01:00:00+00:00,3.029934,3.039612,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-05-16T10:00:00+00:00,2025-05-16T12:00:00+00:00,3.15009,3.160152,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-06-08T01:00:00+00:00,2025-06-08T07:00:00+00:00,3.185135,3.146753,20.0,-0.241,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-06-09T00:00:00+00:00,2025-06-09T01:00:00+00:00,3.175122,3.185264,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-15T15:00:00+00:00,2025-06-15T20:00:00+00:00,2.977866,2.942465,20.0,-0.2378,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-06-15T23:00:00+00:00,2025-06-16T02:00:00+00:00,2.974862,2.984364,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-06-30T22:00:00+00:00,2025-07-01T03:00:00+00:00,2.927801,2.882763,20.0,-0.3077,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-07-20T23:00:00+00:00,2025-07-21T00:00:00+00:00,3.264238,3.274664,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-07-21T01:00:00+00:00,2025-07-21T04:00:00+00:00,3.268243,3.322013,20.0,0.329,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-08-01T01:00:00+00:00,2025-08-01T02:00:00+00:00,3.547606,3.558937,20.0,0.0639,,stop,1
