symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_004_orb_retest,2025-01-01T20:00:00+00:00,2025-01-01T22:00:00+00:00,94750.095204,95052.741221,20.0,0.0639,,stop,2
BTCUSDT,F_004_orb_retest,2025-01-02T09:00:00+00:00,2025-01-02T10:00:00+00:00,96274.995,96582.511775,20.0,0.0639,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-02T15:00:00+00:00,2025-01-02T15:00:00+00:00,97382.913424,96099.298859,20.0,-0.2636,,stop,0
BTCUSDT,F_004_orb_retest,2025-01-03T16:00:00+00:00,2025-01-03T17:00:00+00:00,97648.137768,98119.809369,20.0,0.0966,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-04T21:00:00+00:00,2025-01-05T08:00:00+00:00,98727.198726,97908.531954,20.0,-0.1658,,stop,11
BTCUSDT,F_004_orb_retest,2025-01-05T23:00:00+00:00,2025-01-06T01:00:00+00:00,98823.513773,97917.336968,20.0,-0.1834,,stop,2
BTCUSDT,F_004_orb_retest,2025-01-06T15:00:00+00:00,2025-01-06T16:00:00+00:00,100867.988139,102253.841836,20.0,0.2748,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-10T07:00:00+00:00,2025-01-10T08:00:00+00:00,94375.358679,94686.747,20.0,0.066,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-10T18:00:00+00:00,2025-01-11T04:00:00+00:00,95917.570952,93753.093282,20.0,-0.4513,,stop,10
BTCUSDT,F_004_orb_retest,2025-01-11T22:00:00+00:00,2025-01-12T00:00:00+00:00,95064.172975,94305.91998,20.0,-0.1595,,stop,2
BTCUSDT,F_004_orb_retest,2025-01-12T15:00:00+00:00,2025-01-12T16:00:00+00:00,94934.2543,95237.488548,20.0,0.0639,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-14T09:00:00+00:00,2025-01-14T10:00:00+00:00,95612.645063,97166.622166,20.0,0.3251,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,99092.643187,99409.159953,20.0,0.0639,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-17T11:00:00+00:00,2025-01-17T13:00:00+00:00,102454.558002,102781.813228,20.0,0.0639,,stop,2
BTCUSDT,F_004_orb_retest,2025-01-19T07:00:00+00:00,2025-01-19T08:00:00+00:00,105705.528777,104305.15985,20.0,-0.265,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-19T20:00:00+00:00,2025-01-19T21:00:00+00:00,106338.06,104520.821776,20.0,-0.3418,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-20T07:00:00+00:00,2025-01-20T08:00:00+00:00,107622.087068,109270.153901,20.0,0.3063,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-21T12:00:00+00:00,2025-01-21T13:00:00+00:00,103893.135725,104363.144489,20.0,0.0905,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-21T15:00:00+00:00,2025-01-21T16:00:00+00:00,103395.13917,103766.687752,20.0,0.0719,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-23T15:00:00+00:00,2025-01-23T15:00:00+00:00,105350.37768,103098.759115,20.0,-0.4275,,stop,0
BTCUSDT,F_004_orb_retest,2025-01-23T16:00:00+00:00,2025-01-23T17:00:00+00:00,105400.362576,106625.726124,20.0,0.2325,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-23T23:00:00+00:00,2025-01-24T00:00:00+00:00,104113.992466,104446.548175,20.0,0.0639,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-24T09:00:00+00:00,2025-01-24T15:00:00+00:00,105637.910988,105975.334321,20.0,0.0639,,stop,6
BTCUSDT,F_004_orb_retest,2025-01-24T12:00:00+00:00,2025-01-24T15:00:00+00:00,105557.156143,105971.074958,20.0,0.0784,,stop,3
BTCUSDT,F_004_orb_retest,2025-01-24T15:00:00+00:00,2025-01-24T17:00:00+00:00,105895.4854,106233.731465,20.0,0.0639,,stop,2
BTCUSDT,F_004_orb_retest,2025-01-29T07:00:00+00:00,2025-01-29T19:00:00+00:00,102935.282132,101315.958511,20.0,-0.3146,,stop,12
BTCUSDT,F_004_orb_retest,2025-01-29T18:00:00+00:00,2025-01-29T19:00:00+00:00,102540.099061,102867.627518,20.0,0.0639,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-29T20:00:00+00:00,2025-01-29T21:00:00+00:00,103718.6592,104562.745346,20.0,0.1628,,stop,1
BTCUSDT,F_004_orb_retest,2025-01-30T15:00:00+00:00,2025-01-30T16:00:00+00:00,106058.266741,106397.032754,20.0,0.0639,,stop,1
