symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_004_orb_retest,2025-01-02T05:00:00+00:00,2025-01-02T09:00:00+00:00,3422.132997,3433.063803,20.0,0.0639,,stop,4
ETHUSDT,F_004_orb_retest,2025-01-02T07:00:00+00:00,2025-01-02T09:00:00+00:00,3414.803481,3431.268305,20.0,0.0964,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-03T14:00:00+00:00,2025-01-03T15:00:00+00:00,3486.386418,3529.216734,20.0,0.2457,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,3640.256189,3651.883713,20.0,0.0639,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-04T17:00:00+00:00,2025-01-04T19:00:00+00:00,3626.798717,3638.383256,20.0,0.0639,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-04T19:00:00+00:00,2025-01-04T21:00:00+00:00,3631.444749,3660.301015,20.0,0.1589,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-06T15:00:00+00:00,2025-01-06T16:00:00+00:00,3690.271124,3702.241841,20.0,0.0649,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-06T20:00:00+00:00,2025-01-06T21:00:00+00:00,3692.233672,3704.02722,20.0,0.0639,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-07T00:00:00+00:00,2025-01-07T11:00:00+00:00,3692.233672,3622.053159,20.0,-0.3802,,stop,11
ETHUSDT,F_004_orb_retest,2025-01-10T06:00:00+00:00,2025-01-10T07:00:00+00:00,3268.433447,3278.873314,20.0,0.0639,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-10T18:00:00+00:00,2025-01-11T01:00:00+00:00,3319.369578,3235.162678,20.0,-0.5074,,stop,7
ETHUSDT,F_004_orb_retest,2025-01-11T12:00:00+00:00,2025-01-11T22:00:00+00:00,3278.065953,3313.211075,20.0,0.2144,,stop,10
ETHUSDT,F_004_orb_retest,2025-01-11T15:00:00+00:00,2025-01-11T22:00:00+00:00,3282.782076,3313.211075,20.0,0.1854,,stop,7
ETHUSDT,F_004_orb_retest,2025-01-11T17:00:00+00:00,2025-01-11T22:00:00+00:00,3279.2575,3313.211075,20.0,0.2071,,stop,5
ETHUSDT,F_004_orb_retest,2025-01-11T19:00:00+00:00,2025-01-11T22:00:00+00:00,3282.631881,3313.211075,20.0,0.1863,,stop,3
ETHUSDT,F_004_orb_retest,2025-01-14T05:00:00+00:00,2025-01-14T07:00:00+00:00,3177.084848,3187.232934,20.0,0.0639,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,3303.218609,3320.793789,20.0,0.1064,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-17T09:00:00+00:00,2025-01-17T11:00:00+00:00,3411.759529,3427.660241,20.0,0.0932,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-17T14:00:00+00:00,2025-01-17T15:00:00+00:00,3406.4226,3421.769729,20.0,0.0901,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-19T15:00:00+00:00,2025-01-19T16:00:00+00:00,3385.545495,3418.858858,20.0,0.1968,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-19T17:00:00+00:00,2025-01-19T18:00:00+00:00,3415.173962,3436.331554,20.0,0.1239,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-20T06:00:00+00:00,2025-01-20T07:00:00+00:00,3295.608729,3446.440843,20.0,0.9154,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-20T13:00:00+00:00,2025-01-20T14:00:00+00:00,3308.315226,3347.957989,20.0,0.2397,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-20T23:00:00+00:00,2025-01-21T15:00:00+00:00,3322.81405,3333.427616,20.0,0.0639,,stop,16
ETHUSDT,F_004_orb_retest,2025-01-21T16:00:00+00:00,2025-01-21T17:00:00+00:00,3299.38363,3342.140226,20.0,0.2592,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-23T15:00:00+00:00,2025-01-23T17:00:00+00:00,3279.808215,3290.284414,20.0,0.0639,,stop,2
ETHUSDT,F_004_orb_retest,2025-01-23T18:00:00+00:00,2025-01-23T19:00:00+00:00,3270.095605,3193.998003,20.0,-0.4654,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-23T23:00:00+00:00,2025-01-24T00:00:00+00:00,3326.679068,3337.30498,20.0,0.0639,,stop,1
ETHUSDT,F_004_orb_retest,2025-01-24T06:00:00+00:00,2025-01-24T14:00:00+00:00,3414.402961,3425.309076,20.0,0.0639,,stop,8
ETHUSDT,F_004_orb_retest,2025-01-25T04:00:00+00:00,2025-01-25T16:00:00+00:00,3323.745259,3334.3618,20.0,0.0639,,stop,12
ETHUSDT,F_004_orb_retest,2025-01-25T16:00:00+00:00,2025-01-25T17:00:00+00:00,3338.955006,3349.620129,20.0,0.0639,,stop,1
