symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
LINKUSDT,F_004_orb_retest,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,20.296351,20.361181,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,20.586728,20.661645,20.0,0.0728,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,22.469172,22.762123,20.0,0.2608,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-02T15:00:00+00:00,2025-01-02T22:00:00+00:00,22.52925,21.816566,20.0,-0.6327,,stop,7
LINKUSDT,F_004_orb_retest,2025-01-03T04:00:00+00:00,2025-01-03T08:00:00+00:00,22.268912,21.647876,20.0,-0.5578,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-03T11:00:00+00:00,2025-01-03T12:00:00+00:00,22.32899,22.632396,20.0,0.2718,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-04T14:00:00+00:00,2025-01-04T15:00:00+00:00,23.760849,23.279118,20.0,-0.4055,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-04T20:00:00+00:00,2025-01-04T21:00:00+00:00,23.670732,23.751423,20.0,0.0682,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-06T03:00:00+00:00,2025-01-06T04:00:00+00:00,23.710784,24.019478,20.0,0.2604,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-06T12:00:00+00:00,2025-01-06T13:00:00+00:00,23.860979,23.937195,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-06T14:00:00+00:00,2025-01-06T15:00:00+00:00,24.011174,24.258974,20.0,0.2064,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-10T02:00:00+00:00,2025-01-10T03:00:00+00:00,19.905844,19.97392,20.0,0.0684,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-10T04:00:00+00:00,2025-01-10T05:00:00+00:00,19.975935,20.039741,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-10T18:00:00+00:00,2025-01-11T22:00:00+00:00,20.476585,20.646573,20.0,0.166,,stop,28
LINKUSDT,F_004_orb_retest,2025-01-12T02:00:00+00:00,2025-01-12T09:00:00+00:00,20.296351,19.826258,20.0,-0.4632,,stop,7
LINKUSDT,F_004_orb_retest,2025-01-12T04:00:00+00:00,2025-01-12T09:00:00+00:00,20.286338,19.810551,20.0,-0.4691,,stop,5
LINKUSDT,F_004_orb_retest,2025-01-14T04:00:00+00:00,2025-01-14T05:00:00+00:00,19.52535,19.635041,20.0,0.1124,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-14T07:00:00+00:00,2025-01-14T09:00:00+00:00,19.605454,19.684876,20.0,0.081,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-15T07:00:00+00:00,2025-01-15T08:00:00+00:00,20.556689,20.786279,20.0,0.2234,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,21.297651,21.57462,20.0,0.2601,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-16T12:00:00+00:00,2025-01-16T13:00:00+00:00,22.509224,22.981661,20.0,0.4198,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-17T02:00:00+00:00,2025-01-17T03:00:00+00:00,23.820927,23.910895,20.0,0.0755,,stop,1
