symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_004_orb_retest,2025-01-01T16:00:00+00:00,2025-01-01T19:00:00+00:00,6.934002,7.044183,20.0,0.3178,,stop,3
RENDERUSDT,F_004_orb_retest,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,7.05516,7.112041,20.0,0.1612,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-02T03:00:00+00:00,2025-01-02T04:00:00+00:00,7.344536,7.367995,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-03T12:00:00+00:00,2025-01-03T15:00:00+00:00,7.882234,7.922789,20.0,0.1029,,stop,3
RENDERUSDT,F_004_orb_retest,2025-01-04T08:00:00+00:00,2025-01-04T10:00:00+00:00,8.099516,7.926484,20.0,-0.4273,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,8.195641,8.222796,20.0,0.0663,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T19:00:00+00:00,2025-01-04T20:00:00+00:00,8.104522,8.130409,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T21:00:00+00:00,2025-01-04T22:00:00+00:00,8.100517,8.126391,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-05T05:00:00+00:00,2025-01-05T08:00:00+00:00,8.100517,8.135087,20.0,0.0854,,stop,3
RENDERUSDT,F_004_orb_retest,2025-01-05T08:00:00+00:00,2025-01-05T14:00:00+00:00,8.104522,7.952314,20.0,-0.3756,,stop,6
RENDERUSDT,F_004_orb_retest,2025-01-05T20:00:00+00:00,2025-01-05T21:00:00+00:00,8.132559,8.158535,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-06T07:00:00+00:00,2025-01-06T08:00:00+00:00,8.443963,8.492903,20.0,0.1159,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-10T02:00:00+00:00,2025-01-10T03:00:00+00:00,7.184328,7.274699,20.0,0.2516,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-11T21:00:00+00:00,2025-01-11T22:00:00+00:00,7.403612,7.512199,20.0,0.2933,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-14T03:00:00+00:00,2025-01-14T04:00:00+00:00,7.015108,7.051671,20.0,0.1042,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-14T05:00:00+00:00,2025-01-14T06:00:00+00:00,7.052156,7.074682,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-14T07:00:00+00:00,2025-01-14T09:00:00+00:00,7.021116,7.083102,20.0,0.1766,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,7.291467,7.351537,20.0,0.1648,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-17T02:00:00+00:00,2025-01-17T07:00:00+00:00,7.66395,7.68843,20.0,0.0639,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-19T02:00:00+00:00,2025-01-19T03:00:00+00:00,7.608879,7.633183,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-20T04:00:00+00:00,2025-01-20T05:00:00+00:00,6.760778,6.815664,20.0,0.1624,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-21T11:00:00+00:00,2025-01-21T12:00:00+00:00,6.790817,6.863563,20.0,0.2143,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-21T14:00:00+00:00,2025-01-21T15:00:00+00:00,6.853899,6.875791,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-21T16:00:00+00:00,2025-01-21T17:00:00+00:00,6.820856,6.968343,20.0,0.4325,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-24T06:00:00+00:00,2025-01-24T11:00:00+00:00,7.216369,7.239419,20.0,0.0639,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-24T09:00:00+00:00,2025-01-24T11:00:00+00:00,7.189334,7.219117,20.0,0.0829,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-24T16:00:00+00:00,2025-01-24T18:00:00+00:00,7.133261,7.156046,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-25T02:00:00+00:00,2025-01-25T03:00:00+00:00,6.906967,6.929029,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-25T04:00:00+00:00,2025-01-25T09:00:00+00:00,6.957032,6.749675,20.0,-0.5961,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-25T14:00:00+00:00,2025-01-25T16:00:00+00:00,6.897956,6.976326,20.0,0.2272,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-26T04:00:00+00:00,2025-01-26T05:00:00+00:00,7.056161,7.115034,20.0,0.1669,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-26T06:00:00+00:00,2025-01-26T08:00:00+00:00,7.056161,7.131999,20.0,0.215,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-26T08:00:00+00:00,2025-01-26T09:00:00+00:00,7.143274,7.166091,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-26T12:00:00+00:00,2025-01-26T14:00:00+00:00,7.069178,7.091758,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-29T02:00:00+00:00,2025-01-29T03:00:00+00:00,5.705407,5.741007,20.0,0.1248,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-29T21:00:00+00:00,2025-01-29T22:00:00+00:00,5.705407,5.776849,20.0,0.2504,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-30T02:00:00+00:00,2025-01-30T03:00:00+00:00,5.601272,5.63735,20.0,0.1288,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-31T07:00:00+00:00,2025-01-31T08:00:00+00:00,5.982768,6.074224,20.0,0.3057,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-31T10:00:00+00:00,2025-01-31T12:00:00+00:00,5.996786,6.096177,20.0,0.3315,,stop,2
RENDERUSDT,F_004_orb_retest,2025-02-01T02:00:00+00:00,2025-02-01T03:00:00+00:00,5.996786,6.01594,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-03T17:00:00+00:00,2025-02-03T18:00:00+00:00,4.772196,4.787439,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-03T19:00:00+00:00,2025-02-03T20:00:00+00:00,4.848295,5.012457,20.0,0.6772,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-05T03:00:00+00:00,2025-02-05T06:00:00+00:00,4.656045,4.670917,20.0,0.0639,,stop,3
RENDERUSDT,F_004_orb_retest,2025-02-05T08:00:00+00:00,2025-02-05T09:00:00+00:00,4.653041,4.679519,20.0,0.1138,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-05T11:00:00+00:00,2025-02-05T12:00:00+00:00,4.658048,4.748013,20.0,0.3863,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-06T05:00:00+00:00,2025-02-06T06:00:00+00:00,4.533886,4.614294,20.0,0.3547,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-06T14:00:00+00:00,2025-02-06T15:00:00+00:00,4.588958,4.421488,20.0,-0.7299,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-07T02:00:00+00:00,2025-02-07T03:00:00+00:00,4.29758,4.313729,20.0,0.0752,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-07T10:00:00+00:00,2025-02-07T11:00:00+00:00,4.35165,4.36555,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-08T18:00:00+00:00,2025-02-08T19:00:00+00:00,4.217476,4.235986,20.0,0.0878,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-09T02:00:00+00:00,2025-02-09T04:00:00+00:00,4.309595,4.39775,20.0,0.4091,,stop,2
RENDERUSDT,F_004_orb_retest,2025-02-09T16:00:00+00:00,2025-02-09T17:00:00+00:00,4.322612,4.336419,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-10T06:00:00+00:00,2025-02-10T09:00:00+00:00,4.389699,4.428685,20.0,0.1776,,stop,3
RENDERUSDT,F_004_orb_retest,2025-02-10T09:00:00+00:00,2025-02-10T11:00:00+00:00,4.425746,4.439882,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-02-11T05:00:00+00:00,2025-02-11T06:00:00+00:00,4.615993,4.688139,20.0,0.3126,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-12T17:00:00+00:00,2025-02-12T18:00:00+00:00,4.524875,4.579368,20.0,0.2409,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-12T19:00:00+00:00,2025-02-12T20:00:00+00:00,4.516864,4.54297,20.0,0.1156,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-13T02:00:00+00:00,2025-02-13T08:00:00+00:00,4.720128,4.477443,20.0,-1.0283,,stop,6
RENDERUSDT,F_004_orb_retest,2025-02-14T03:00:00+00:00,2025-02-14T04:00:00+00:00,4.592963,4.620713,20.0,0.1208,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-15T02:00:00+00:00,2025-02-15T03:00:00+00:00,4.766188,4.813875,20.0,0.2001,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-17T02:00:00+00:00,2025-02-17T05:00:00+00:00,4.539894,4.41372,20.0,-0.5558,,stop,3
RENDERUSDT,F_004_orb_retest,2025-02-17T12:00:00+00:00,2025-02-17T13:00:00+00:00,4.535889,4.585355,20.0,0.2181,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-19T11:00:00+00:00,2025-02-19T12:00:00+00:00,4.242508,4.277004,20.0,0.1626,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-19T17:00:00+00:00,2025-02-19T18:00:00+00:00,4.25953,4.273136,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-19T20:00:00+00:00,2025-02-19T21:00:00+00:00,4.227489,4.240992,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-19T23:00:00+00:00,2025-02-20T00:00:00+00:00,4.242508,4.267881,20.0,0.1196,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-20T03:00:00+00:00,2025-02-20T04:00:00+00:00,4.296578,4.310302,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-20T05:00:00+00:00,2025-02-20T11:00:00+00:00,4.321611,4.338646,20.0,0.0788,,stop,6
RENDERUSDT,F_004_orb_retest,2025-02-20T18:00:00+00:00,2025-02-20T19:00:00+00:00,4.323613,4.358832,20.0,0.1629,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-21T09:00:00+00:00,2025-02-21T10:00:00+00:00,4.495837,4.57837,20.0,0.3672,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-22T02:00:00+00:00,2025-02-22T05:00:00+00:00,4.246513,4.260077,20.0,0.0639,,stop,3
RENDERUSDT,F_004_orb_retest,2025-02-22T05:00:00+00:00,2025-02-22T11:00:00+00:00,4.261533,4.275145,20.0,0.0639,,stop,6
RENDERUSDT,F_004_orb_retest,2025-02-22T10:00:00+00:00,2025-02-22T11:00:00+00:00,4.261533,4.275145,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-25T03:00:00+00:00,2025-02-25T04:00:00+00:00,3.686787,3.698563,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-25T06:00:00+00:00,2025-02-25T07:00:00+00:00,3.678776,3.455849,20.0,-1.212,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-25T22:00:00+00:00,2025-02-25T23:00:00+00:00,3.717827,3.734645,20.0,0.0905,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-26T03:00:00+00:00,2025-02-26T04:00:00+00:00,3.702807,3.737139,20.0,0.1854,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-26T07:00:00+00:00,2025-02-26T08:00:00+00:00,3.711819,3.723675,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-26T09:00:00+00:00,2025-02-26T10:00:00+00:00,3.690792,3.761089,20.0,0.3809,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-26T15:00:00+00:00,2025-02-26T16:00:00+00:00,3.746865,3.843915,20.0,0.518,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-26T21:00:00+00:00,2025-02-26T22:00:00+00:00,3.754875,3.79402,20.0,0.2085,,stop,1
RENDERUSDT,F_004_orb_retest,2025-02-27T02:00:00+00:00,2025-02-27T03:00:00+00:00,3.81996,3.832161,20.0,0.0639,,stop,1
