symbol,NOVA_ORB_MIN,NOVA_RETEST_WINDOW,net,trades,win_pct,pf
BTCUSDT,5,3,-0.03511873378251171,748,71.93,0.9993548328530494
BTCUSDT,5,6,-0.03511873378251171,748,71.93,0.9993548328530494
BTCUSDT,5,12,-0.03511873378251171,748,71.93,0.9993548328530494
BTCUSDT,15,3,-1.3748397472136662,643,70.14,0.9717904779347674
BTCUSDT,15,6,-1.3748397472136662,643,70.14,0.9717904779347674
BTCUSDT,15,12,-1.3748397472136662,643,70.14,0.9717904779347674
BTCUSDT,30,3,4.363956971559755,541,71.53,1.1105758163211554
BTCUSDT,30,6,4.363956971559755,541,71.53,1.1105758163211554
BTCUSDT,30,12,4.363956971559755,541,71.53,1.1105758163211554
ETHUSDT,5,3,1.0689450458222305,706,74.93,1.0188786812894903
ETHUSDT,5,6,1.0689450458222305,706,74.93,1.0188786812894903
ETHUSDT,5,12,1.0689450458222305,706,74.93,1.0188786812894903
ETHUSDT,15,3,5.915613166081028,627,76.56,1.1273846247542731
ETHUSDT,15,6,5.915613166081028,627,76.56,1.1273846247542731
ETHUSDT,15,12,5.915613166081028,627,76.56,1.1273846247542731
ETHUSDT,30,3,5.4699247027906095,512,74.61,1.1296377043105381
ETHUSDT,30,6,5.4699247027906095,512,74.61,1.1296377043105381
ETHUSDT,30,12,5.4699247027906095,512,74.61,1.1296377043105381
SOLUSDT,5,3,32.66259968305555,783,83.14,1.4948373562931965
SOLUSDT,5,6,32.66259968305555,783,83.14,1.4948373562931965
SOLUSDT,5,12,32.66259968305555,783,83.14,1.4948373562931965
SOLUSDT,15,3,31.162881502954736,627,84.05,1.578563569544246
SOLUSDT,15,6,31.162881502954736,627,84.05,1.578563569544246
SOLUSDT,15,12,31.162881502954736,627,84.05,1.578563569544246
SOLUSDT,30,3,30.918225592994844,542,85.61,1.7337824564798945
SOLUSDT,30,6,30.918225592994844,542,85.61,1.7337824564798945
SOLUSDT,30,12,30.918225592994844,542,85.61,1.7337824564798945
XLMUSDT,5,3,-0.25484150288083174,718,74.79,0.9961379424079848
XLMUSDT,5,6,-0.25484150288083174,718,74.79,0.9961379424079848
XLMUSDT,5,12,-0.25484150288083174,718,74.79,0.9961379424079848
XLMUSDT,15,3,19.12229424729185,629,79.17,1.4168497243873328
XLMUSDT,15,6,19.12229424729185,629,79.17,1.4168497243873328
XLMUSDT,15,12,19.12229424729185,629,79.17,1.4168497243873328
XLMUSDT,30,3,19.1496756651572,503,79.13,1.542273156559354
XLMUSDT,30,6,19.1496756651572,503,79.13,1.542273156559354
XLMUSDT,30,12,19.1496756651572,503,79.13,1.542273156559354
LINKUSDT,5,3,46.53924818637179,746,87.0,1.9684059437929253
LINKUSDT,5,6,46.53924818637179,746,87.0,1.9684059437929253
LINKUSDT,5,12,46.53924818637179,746,87.0,1.9684059437929253
LINKUSDT,15,3,43.7477165891083,665,87.22,2.0589833531781703
LINKUSDT,15,6,43.7477165891083,665,87.22,2.0589833531781703
LINKUSDT,15,12,43.7477165891083,665,87.22,2.0589833531781703
LINKUSDT,30,3,36.997889515881496,541,87.25,2.172818372041664
LINKUSDT,30,6,36.997889515881496,541,87.25,2.172818372041664
LINKUSDT,30,12,36.997889515881496,541,87.25,2.172818372041664
GRAMUSDT,5,3,7.028126512157067,231,81.82,1.3738571485183702
GRAMUSDT,5,6,7.028126512157067,231,81.82,1.3738571485183702
GRAMUSDT,5,12,7.028126512157067,231,81.82,1.3738571485183702
GRAMUSDT,15,3,6.160072837438545,201,83.58,1.4066283786036704
GRAMUSDT,15,6,6.160072837438545,201,83.58,1.4066283786036704
GRAMUSDT,15,12,6.160072837438545,201,83.58,1.4066283786036704
GRAMUSDT,30,3,4.108309261032858,165,81.82,1.3078131249996847
GRAMUSDT,30,6,4.108309261032858,165,81.82,1.3078131249996847
GRAMUSDT,30,12,4.108309261032858,165,81.82,1.3078131249996847
RENDERUSDT,5,3,16.823916768369653,231,88.31,1.821840522228391
RENDERUSDT,5,6,16.823916768369653,231,88.31,1.821840522228391
RENDERUSDT,5,12,16.823916768369653,231,88.31,1.821840522228391
RENDERUSDT,15,3,7.53034121594927,202,84.16,1.3085608955198906
RENDERUSDT,15,6,7.53034121594927,202,84.16,1.3085608955198906
RENDERUSDT,15,12,7.53034121594927,202,84.16,1.3085608955198906
RENDERUSDT,30,3,13.034191474659803,162,87.65,1.9948762612846191
RENDERUSDT,30,6,13.034191474659803,162,87.65,1.9948762612846191
RENDERUSDT,30,12,13.034191474659803,162,87.65,1.9948762612846191
FILUSDT,5,3,34.94549342882418,734,85.15,1.6417367443051751
FILUSDT,5,6,34.94549342882418,734,85.15,1.6417367443051751
FILUSDT,5,12,34.94549342882418,734,85.15,1.6417367443051751
FILUSDT,15,3,26.355208129295917,590,83.73,1.5947948412539128
FILUSDT,15,6,26.355208129295917,590,83.73,1.5947948412539128
FILUSDT,15,12,26.355208129295917,590,83.73,1.5947948412539128
FILUSDT,30,3,36.05808724203423,460,85.43,2.138886369553992
FILUSDT,30,6,36.05808724203423,460,85.43,2.138886369553992
FILUSDT,30,12,36.05808724203423,460,85.43,2.138886369553992
