symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_006_bb_squeeze,2025-01-03T17:00:00+00:00,2025-01-03T18:00:00+00:00,97995.438673,98308.450803,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-01-03T19:00:00+00:00,2025-01-03T20:00:00+00:00,98656.056361,98971.178603,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,99092.643187,99409.159953,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-01-17T02:00:00+00:00,2025-01-17T03:00:00+00:00,101791.95774,102117.096522,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-01-19T07:00:00+00:00,2025-01-19T08:00:00+00:00,105705.528777,104305.15985,20.0,-0.265,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-02-14T17:00:00+00:00,2025-02-14T18:00:00+00:00,97785.65631,98618.568179,20.0,0.1704,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-03-02T16:00:00+00:00,2025-03-02T17:00:00+00:00,87541.6564,91766.969659,20.0,0.9653,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-04-12T21:00:00+00:00,2025-04-13T02:00:00+00:00,85628.452464,85901.962585,20.0,0.0639,,stop,5
BTCUSDT,F_006_bb_squeeze,2025-04-14T15:00:00+00:00,2025-04-14T15:00:00+00:00,85534.65068,83920.439242,20.0,-0.3774,,stop,0
BTCUSDT,F_006_bb_squeeze,2025-04-19T08:00:00+00:00,2025-04-19T16:00:00+00:00,85328.162594,85600.713545,20.0,0.0639,,stop,8
BTCUSDT,F_006_bb_squeeze,2025-05-10T07:00:00+00:00,2025-05-10T15:00:00+00:00,104065.829936,103192.617768,20.0,-0.1678,,stop,8
BTCUSDT,F_006_bb_squeeze,2025-05-18T08:00:00+00:00,2025-05-18T14:00:00+00:00,104054.485207,104454.43248,20.0,0.0769,,stop,6
BTCUSDT,F_006_bb_squeeze,2025-05-21T06:00:00+00:00,2025-05-21T07:00:00+00:00,107681.814613,108025.766481,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-06-08T17:00:00+00:00,2025-06-08T22:00:00+00:00,106328.047,105612.129657,20.0,-0.1347,,stop,5
BTCUSDT,F_006_bb_squeeze,2025-06-20T08:00:00+00:00,2025-06-20T09:00:00+00:00,105949.295262,106287.713203,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-06-25T11:00:00+00:00,2025-06-25T14:00:00+00:00,107265.76445,107773.691347,20.0,0.0947,,stop,3
BTCUSDT,F_006_bb_squeeze,2025-06-29T09:00:00+00:00,2025-06-29T11:00:00+00:00,107833.852005,108178.289503,20.0,0.0639,,stop,2
BTCUSDT,F_006_bb_squeeze,2025-07-09T19:00:00+00:00,2025-07-09T20:00:00+00:00,109678.89745,111764.706921,20.0,0.3803,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-07-27T16:00:00+00:00,2025-07-27T17:00:00+00:00,118739.911475,119145.838771,20.0,0.0684,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-08-04T17:00:00+00:00,2025-08-04T20:00:00+00:00,115450.8913,114476.570898,20.0,-0.1688,,stop,3
BTCUSDT,F_006_bb_squeeze,2025-08-09T10:00:00+00:00,2025-08-09T12:00:00+00:00,117663.644144,116908.351169,20.0,-0.1284,,stop,2
BTCUSDT,F_006_bb_squeeze,2025-08-17T05:00:00+00:00,2025-08-17T14:00:00+00:00,118229.618956,118607.262093,20.0,0.0639,,stop,9
BTCUSDT,F_006_bb_squeeze,2025-08-28T05:00:00+00:00,2025-08-28T14:00:00+00:00,113112.745657,113474.044734,20.0,0.0639,,stop,9
BTCUSDT,F_006_bb_squeeze,2025-08-31T01:00:00+00:00,2025-08-31T04:00:00+00:00,109531.295817,108794.145041,20.0,-0.1346,,stop,3
BTCUSDT,F_006_bb_squeeze,2025-09-11T23:00:00+00:00,2025-09-12T01:00:00+00:00,115233.619213,115948.21749,20.0,0.124,,stop,2
BTCUSDT,F_006_bb_squeeze,2025-10-05T03:00:00+00:00,2025-10-05T05:00:00+00:00,124192.680872,125444.563055,20.0,0.2016,,stop,2
BTCUSDT,F_006_bb_squeeze,2025-10-12T16:00:00+00:00,2025-10-12T17:00:00+00:00,113345.35766,114459.249288,20.0,0.1965,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-10-19T10:00:00+00:00,2025-10-19T11:00:00+00:00,107541.091911,107884.59429,20.0,0.0639,,stop,1
BTCUSDT,F_006_bb_squeeze,2025-10-23T07:00:00+00:00,2025-10-23T12:00:00+00:00,110390.251009,108854.975337,20.0,-0.2782,,stop,5
