symbol,NOVA_BB_P,NOVA_BB_STD,NOVA_PCT,NOVA_LOOKBACK,NOVA_DURATION,net,trades,win_pct,pf
GRAMUSDT,20,2.0,5,50,3,0.3554378707173032,3,100.0,inf
GRAMUSDT,20,2.0,5,50,6,0.0,0,0.0,0.0
GRAMUSDT,20,2.0,5,120,3,0.3924611964483941,3,100.0,inf
GRAMUSDT,20,2.0,5,120,6,0.1669992323111266,1,100.0,inf
GRAMUSDT,20,2.0,12,50,3,0.777969103028427,8,100.0,inf
GRAMUSDT,20,2.0,12,50,6,0.3586482323111245,4,100.0,inf
GRAMUSDT,20,2.0,12,120,3,0.2988580909847792,8,87.5,1.7145952907909412
GRAMUSDT,20,2.0,12,120,6,0.4259369031769411,4,100.0,inf
GRAMUSDT,20,2.0,15,50,3,1.2468117934209195,13,100.0,inf
GRAMUSDT,20,2.0,15,50,6,1.4400496818442434,10,100.0,inf
GRAMUSDT,20,2.0,15,120,3,0.3758640474517459,9,88.89,1.8987231277613956
GRAMUSDT,20,2.0,15,120,6,0.4259369031769411,4,100.0,inf
GRAMUSDT,20,2.0,20,50,3,0.8285917255920486,14,92.86,2.981233779367793
GRAMUSDT,20,2.0,20,50,6,1.5039326818442438,11,100.0,inf
GRAMUSDT,20,2.0,20,120,3,1.1410958568018819,20,85.0,2.1031990329075874
GRAMUSDT,20,2.0,20,120,6,0.6743801437732717,13,92.31,2.612500680022886
GRAMUSDT,20,2.5,5,50,3,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,5,50,6,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,5,120,3,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,5,120,6,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,12,50,3,0.06388299999999815,1,100.0,inf
GRAMUSDT,20,2.5,12,50,6,0.06388299999999815,1,100.0,inf
GRAMUSDT,20,2.5,12,120,3,0.19685096236525573,2,100.0,inf
GRAMUSDT,20,2.5,12,120,6,0.13117167086581483,1,100.0,inf
GRAMUSDT,20,2.5,15,50,3,0.2540128874569802,2,100.0,inf
GRAMUSDT,20,2.5,15,50,6,0.2540128874569802,2,100.0,inf
GRAMUSDT,20,2.5,15,120,3,0.19685096236525573,2,100.0,inf
GRAMUSDT,20,2.5,15,120,6,0.13117167086581483,1,100.0,inf
GRAMUSDT,20,2.5,20,50,3,-0.013899160957209666,3,66.67,0.9481204334053627
GRAMUSDT,20,2.5,20,50,6,-0.013899160957209666,3,66.67,0.9481204334053627
GRAMUSDT,20,2.5,20,120,3,0.875959999319497,8,87.5,3.952546398976234
GRAMUSDT,20,2.5,20,120,6,0.5830051763555048,6,100.0,inf
GRAMUSDT,35,2.0,5,50,3,-0.20402904841419045,2,50.0,0.23844765615481694
GRAMUSDT,35,2.0,5,50,6,0.0,0,0.0,0.0
GRAMUSDT,35,2.0,5,120,3,0.06388299999999941,1,100.0,inf
GRAMUSDT,35,2.0,5,120,6,0.0,0,0.0,0.0
GRAMUSDT,35,2.0,12,50,3,0.1793565595027552,7,85.71,1.6694605956111066
GRAMUSDT,35,2.0,12,50,6,0.3833856079169456,5,100.0,inf
GRAMUSDT,35,2.0,12,120,3,-0.14956508573107408,7,71.43,0.7179621004149417
GRAMUSDT,35,2.0,12,120,6,-0.2134480857310735,6,66.67,0.5974966384983257
GRAMUSDT,35,2.0,15,50,3,0.5704740506296246,12,83.33,2.1440483202273177
GRAMUSDT,35,2.0,15,50,6,0.8383860990438147,11,90.91,4.633576617178237
GRAMUSDT,35,2.0,15,120,3,0.04645924080219346,10,80.0,1.0876091276792195
GRAMUSDT,35,2.0,15,120,6,-0.017423759197806005,9,77.78,0.9671436657626034
GRAMUSDT,35,2.0,20,50,3,0.8504946128901559,16,75.0,1.8265683997726043
GRAMUSDT,35,2.0,20,50,6,1.118406661304346,15,80.0,2.469587541288051
GRAMUSDT,35,2.0,20,120,3,0.08390438329547391,18,77.78,1.0710230744482019
GRAMUSDT,35,2.0,20,120,6,-0.02317422765664845,17,76.47,0.9803835648211418
GRAMUSDT,35,2.5,5,50,3,0.06388299999999941,1,100.0,inf
GRAMUSDT,35,2.5,5,50,6,0.0,0,0.0,0.0
GRAMUSDT,35,2.5,5,120,3,0.06388299999999941,1,100.0,inf
GRAMUSDT,35,2.5,5,120,6,0.0,0,0.0,0.0
GRAMUSDT,35,2.5,12,50,3,0.21309908328132698,3,100.0,inf
GRAMUSDT,35,2.5,12,50,6,0.1492160832813276,2,100.0,inf
GRAMUSDT,35,2.5,12,120,3,0.045273618555937034,4,75.0,1.2474719652961588
GRAMUSDT,35,2.5,12,120,6,-0.01860938144406238,3,66.67,0.8982785042194499
GRAMUSDT,35,2.5,15,50,3,0.5403335744081961,7,85.71,3.3418129709988826
GRAMUSDT,35,2.5,15,50,6,0.5403335744081961,7,85.71,3.3418129709988826
GRAMUSDT,35,2.5,15,120,3,0.1091566185559379,5,80.0,1.5966654263728757
GRAMUSDT,35,2.5,15,120,6,0.04527361855593849,4,75.0,1.2474719652961668
GRAMUSDT,35,2.5,20,50,3,0.5551523180113821,9,77.78,2.341993177716453
GRAMUSDT,35,2.5,20,50,6,0.5551523180113821,9,77.78,2.341993177716453
GRAMUSDT,35,2.5,20,120,3,0.5030523108263113,11,81.82,2.216049626851356
GRAMUSDT,35,2.5,20,120,6,0.39597369987418896,10,80.0,1.9572039718573397
