symbol,NOVA_BB_P,NOVA_BB_STD,NOVA_PCT,NOVA_LOOKBACK,NOVA_DURATION,net,trades,win_pct,pf
LINKUSDT,20,2.0,5,50,3,-0.6908421028058076,3,66.67,0.156077125992374
LINKUSDT,20,2.0,5,50,6,0.0,0,0.0,0.0
LINKUSDT,20,2.0,5,120,3,-0.7242348850234522,7,71.43,0.30605570372177165
LINKUSDT,20,2.0,5,120,6,0.1277659999999996,2,100.0,inf
LINKUSDT,20,2.0,12,50,3,0.6078769751865291,19,84.21,1.4168485161532844
LINKUSDT,20,2.0,12,50,6,0.31019308610871044,9,88.89,1.7481411297084288
LINKUSDT,20,2.0,12,120,3,-0.16530835235077057,34,79.41,0.9433595877540619
LINKUSDT,20,2.0,12,120,6,0.9539155576125964,23,86.96,1.8888724132786643
LINKUSDT,20,2.0,15,50,3,1.0016778952182126,28,85.71,1.562835842831923
LINKUSDT,20,2.0,15,50,6,1.3866073141062565,19,94.74,4.344297500150807
LINKUSDT,20,2.0,15,120,3,0.4691449768918361,42,80.95,1.1457690885312788
LINKUSDT,20,2.0,15,120,6,0.04245408706968323,32,81.25,1.0158888604071417
LINKUSDT,20,2.0,20,50,3,1.9600863663585792,39,87.18,1.9425523822840074
LINKUSDT,20,2.0,20,50,6,1.3839552620596378,29,89.66,1.9027286408333148
LINKUSDT,20,2.0,20,120,3,2.368869251237495,61,81.97,1.570984985440262
LINKUSDT,20,2.0,20,120,6,0.9670977629921593,48,81.25,1.2478758786896358
LINKUSDT,20,2.5,5,50,3,0.0,0,0.0,0.0
LINKUSDT,20,2.5,5,50,6,0.0,0,0.0,0.0
LINKUSDT,20,2.5,5,120,3,0.191649,3,100.0,inf
LINKUSDT,20,2.5,5,120,6,0.06388299999999866,1,100.0,inf
LINKUSDT,20,2.5,12,50,3,0.4611007774762687,7,85.71,2.1121087864918837
LINKUSDT,20,2.5,12,50,6,-0.1422302283572194,3,66.67,0.6569611365078397
LINKUSDT,20,2.5,12,120,3,0.6807550313367222,13,92.31,3.117896241081515
LINKUSDT,20,2.5,12,120,6,0.8744188625682503,10,100.0,inf
LINKUSDT,20,2.5,15,50,3,0.5305729881349981,11,81.82,1.720839963981722
LINKUSDT,20,2.5,15,50,6,0.24867181353303947,6,83.33,1.599760664678553
LINKUSDT,20,2.5,15,120,3,0.6619591346714574,20,85.0,1.6833078417458551
LINKUSDT,20,2.5,15,120,6,0.6725030839016907,17,88.24,2.03889238558181
LINKUSDT,20,2.5,20,50,3,0.6835125853447586,17,82.35,1.6598237451233064
LINKUSDT,20,2.5,20,50,6,0.4016114107428,12,83.33,1.5621094252271188
LINKUSDT,20,2.5,20,120,3,2.2789973395722503,30,86.67,2.648524712285196
LINKUSDT,20,2.5,20,120,6,2.0609791649702918,26,88.46,2.9424567805274306
LINKUSDT,35,2.0,5,50,3,1.473760435115077,16,87.5,3.065411422406599
LINKUSDT,35,2.0,5,50,6,-0.03387280067806721,5,80.0,0.8870355106188267
LINKUSDT,35,2.0,5,120,3,3.2924880055537913,19,94.74,12.541742736088441
LINKUSDT,35,2.0,5,120,6,1.9629356480077358,12,100.0,inf
LINKUSDT,35,2.0,12,50,3,4.543627063851926,32,90.62,5.549035339469849
LINKUSDT,35,2.0,12,50,6,3.5416193781650875,25,92.0,5.963426173744143
LINKUSDT,35,2.0,12,120,3,4.554911440667084,41,87.8,3.8888197227189627
LINKUSDT,35,2.0,12,120,6,3.2140302479941503,35,85.71,3.0384049373440796
LINKUSDT,35,2.0,15,50,3,6.665065822904474,47,91.49,6.099960062774246
LINKUSDT,35,2.0,15,50,6,5.082144967740152,39,89.74,4.888744246100954
LINKUSDT,35,2.0,15,120,3,4.653153093098499,50,86.0,2.792416907101958
LINKUSDT,35,2.0,15,120,6,3.5205630890319832,45,84.44,2.35613780098046
LINKUSDT,35,2.0,20,50,3,6.796246830022755,57,89.47,4.4117659448884705
LINKUSDT,35,2.0,20,50,6,5.7947590883785685,47,89.36,4.546930229926812
LINKUSDT,35,2.0,20,120,3,5.746413936881199,70,85.71,2.617540546173021
LINKUSDT,35,2.0,20,120,6,4.861138430443283,61,85.25,2.4944891860225615
LINKUSDT,35,2.5,5,50,3,0.6936356811608315,5,80.0,3.3132483576898832
LINKUSDT,35,2.5,5,50,6,-0.22552180067806815,2,50.0,0.24789345587191047
LINKUSDT,35,2.5,5,120,3,2.25247373871238,11,100.0,inf
LINKUSDT,35,2.5,5,120,6,1.0794285327706952,7,100.0,inf
LINKUSDT,35,2.5,12,50,3,3.2350839957196644,17,94.12,11.788880882775906
LINKUSDT,35,2.5,12,50,6,2.4534664616371944,14,92.86,9.182216424523137
LINKUSDT,35,2.5,12,120,3,3.588768728067869,27,88.89,4.845631511695259
LINKUSDT,35,2.5,12,120,6,2.6896625257338274,23,86.96,3.8821726192304955
LINKUSDT,35,2.5,15,50,3,4.819338040864087,28,92.86,8.927477730356735
LINKUSDT,35,2.5,15,50,6,3.9738375067816247,24,91.67,7.536687833879233
LINKUSDT,35,2.5,15,120,3,3.0709303102595356,34,85.29,2.5728273634607466
LINKUSDT,35,2.5,15,120,6,2.316232296531912,30,83.33,2.186296388409098
LINKUSDT,35,2.5,20,50,3,5.074082517410681,35,91.43,6.4280938455288625
LINKUSDT,35,2.5,20,50,6,4.324554964129878,31,90.32,5.626272849307854
LINKUSDT,35,2.5,20,120,3,3.7662071773593353,43,86.05,2.6721279327900227
LINKUSDT,35,2.5,20,120,6,3.6183519920032854,38,86.84,2.8531983629333793
