symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_006_bb_squeeze,2025-01-06T15:00:00+00:00,2025-01-06T16:00:00+00:00,0.459597,0.462171,20.0,0.112,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-01-06T17:00:00+00:00,2025-01-06T21:00:00+00:00,0.459597,0.446458,20.0,-0.5717,,stop,4
XLMUSDT,F_006_bb_squeeze,2025-01-24T05:00:00+00:00,2025-01-24T06:00:00+00:00,0.438569,0.440642,20.0,0.0945,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-02-09T04:00:00+00:00,2025-02-09T09:00:00+00:00,0.33874,0.329753,20.0,-0.5306,,stop,5
XLMUSDT,F_006_bb_squeeze,2025-03-06T11:00:00+00:00,2025-03-06T14:00:00+00:00,0.309001,0.299897,20.0,-0.5893,,stop,3
XLMUSDT,F_006_bb_squeeze,2025-03-23T12:00:00+00:00,2025-03-23T14:00:00+00:00,0.280264,0.281269,20.0,0.0718,,stop,2
XLMUSDT,F_006_bb_squeeze,2025-03-23T15:00:00+00:00,2025-03-23T16:00:00+00:00,0.281666,0.282565,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-04-12T14:00:00+00:00,2025-04-12T15:00:00+00:00,0.244918,0.247978,20.0,0.2499,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-04-19T05:00:00+00:00,2025-04-19T09:00:00+00:00,0.245018,0.246584,20.0,0.1278,,stop,4
XLMUSDT,F_006_bb_squeeze,2025-05-18T15:00:00+00:00,2025-05-18T16:00:00+00:00,0.295484,0.296718,20.0,0.0836,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-05-21T06:00:00+00:00,2025-05-21T07:00:00+00:00,0.290778,0.291706,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-06-02T21:00:00+00:00,2025-06-02T22:00:00+00:00,0.268849,0.269708,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-06-08T12:00:00+00:00,2025-06-08T13:00:00+00:00,0.268749,0.270306,20.0,0.1159,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-06-16T08:00:00+00:00,2025-06-16T12:00:00+00:00,0.262341,0.263728,20.0,0.1057,,stop,4
