symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
ETHUSDT,12,2.0,1.0,8,0.06388299999999889,1,100.0,inf
ETHUSDT,12,2.0,1.0,12,0.06388299999999889,1,100.0,inf
ETHUSDT,12,2.0,1.5,8,-0.3503928408163476,4,50.0,0.3211870143450735
ETHUSDT,12,2.0,1.5,12,0.06388299999999841,1,100.0,inf
ETHUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.5,8,-0.29354224409556273,1,0.0,0.0
ETHUSDT,12,2.5,1.5,12,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.5,8,-0.1587594020751112,2,50.0,0.28693096824588193
ETHUSDT,20,2.0,1.5,12,0.12776599999999927,2,100.0,inf
ETHUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
