symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_002_marsdx,2025-01-03T08:00:00+00:00,2025-01-03T12:00:00+00:00,0.451286,0.452727,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-03T16:00:00+00:00,2025-01-03T20:00:00+00:00,0.444477,0.455242,20.0,0.4844,,stop,1
XLMUSDT,F_002_marsdx,2025-01-04T00:00:00+00:00,2025-01-04T04:00:00+00:00,0.448683,0.48498,20.0,1.618,,stop,1
XLMUSDT,F_002_marsdx,2025-01-04T08:00:00+00:00,2025-01-04T12:00:00+00:00,0.459997,0.461467,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-06T12:00:00+00:00,2025-01-06T16:00:00+00:00,0.452487,0.462727,20.0,0.4526,,stop,1
XLMUSDT,F_002_marsdx,2025-01-06T20:00:00+00:00,2025-01-07T08:00:00+00:00,0.451787,0.460631,20.0,0.3915,,stop,3
XLMUSDT,F_002_marsdx,2025-01-07T12:00:00+00:00,2025-01-07T12:00:00+00:00,0.453989,0.429245,20.0,-1.0901,,stop,0
XLMUSDT,F_002_marsdx,2025-01-10T20:00:00+00:00,2025-01-11T00:00:00+00:00,0.424651,0.426008,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-11T12:00:00+00:00,2025-01-11T16:00:00+00:00,0.425953,0.427314,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-11T20:00:00+00:00,2025-01-12T00:00:00+00:00,0.437368,0.458136,20.0,0.9497,,stop,1
XLMUSDT,F_002_marsdx,2025-01-12T04:00:00+00:00,2025-01-12T08:00:00+00:00,0.440071,0.441639,20.0,0.0712,,stop,1
XLMUSDT,F_002_marsdx,2025-01-14T20:00:00+00:00,2025-01-15T00:00:00+00:00,0.430158,0.432768,20.0,0.1213,,stop,1
XLMUSDT,F_002_marsdx,2025-01-15T04:00:00+00:00,2025-01-15T08:00:00+00:00,0.465104,0.480889,20.0,0.6788,,stop,1
XLMUSDT,F_002_marsdx,2025-01-15T12:00:00+00:00,2025-01-15T16:00:00+00:00,0.458595,0.489371,20.0,1.3422,,stop,1
XLMUSDT,F_002_marsdx,2025-01-15T20:00:00+00:00,2025-01-16T00:00:00+00:00,0.473515,0.49446,20.0,0.8847,,stop,1
XLMUSDT,F_002_marsdx,2025-01-16T08:00:00+00:00,2025-01-16T12:00:00+00:00,0.476519,0.489271,20.0,0.5352,,stop,1
XLMUSDT,F_002_marsdx,2025-01-16T16:00:00+00:00,2025-01-16T20:00:00+00:00,0.503454,0.51332,20.0,0.392,,stop,1
XLMUSDT,F_002_marsdx,2025-01-17T04:00:00+00:00,2025-01-17T08:00:00+00:00,0.491038,0.495059,20.0,0.1638,,stop,1
XLMUSDT,F_002_marsdx,2025-01-18T00:00:00+00:00,2025-01-19T00:00:00+00:00,0.488234,0.490976,20.0,0.1123,,stop,6
XLMUSDT,F_002_marsdx,2025-01-19T00:00:00+00:00,2025-01-19T04:00:00+00:00,0.491438,0.493766,20.0,0.0948,,stop,1
XLMUSDT,F_002_marsdx,2025-01-20T12:00:00+00:00,2025-01-20T16:00:00+00:00,0.475317,0.476835,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-24T08:00:00+00:00,2025-01-24T12:00:00+00:00,0.435365,0.439076,20.0,0.1705,,stop,1
XLMUSDT,F_002_marsdx,2025-01-24T16:00:00+00:00,2025-01-25T12:00:00+00:00,0.443976,0.418574,20.0,-1.1443,,stop,5
XLMUSDT,F_002_marsdx,2025-01-25T04:00:00+00:00,2025-01-25T12:00:00+00:00,0.435966,0.412201,20.0,-1.0902,,stop,2
XLMUSDT,F_002_marsdx,2025-01-28T16:00:00+00:00,2025-01-29T16:00:00+00:00,0.415139,0.385223,20.0,-1.4412,,stop,6
XLMUSDT,F_002_marsdx,2025-01-30T04:00:00+00:00,2025-01-30T08:00:00+00:00,0.403424,0.404712,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-30T12:00:00+00:00,2025-01-30T16:00:00+00:00,0.402122,0.438578,20.0,1.8132,,stop,1
XLMUSDT,F_002_marsdx,2025-01-30T20:00:00+00:00,2025-01-31T04:00:00+00:00,0.443976,0.417376,20.0,-1.1983,,stop,2
XLMUSDT,F_002_marsdx,2025-01-31T08:00:00+00:00,2025-01-31T12:00:00+00:00,0.42375,0.425104,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-31T16:00:00+00:00,2025-02-01T16:00:00+00:00,0.424251,0.397562,20.0,-1.2582,,stop,6
XLMUSDT,F_002_marsdx,2025-02-07T16:00:00+00:00,2025-02-07T20:00:00+00:00,0.340142,0.342068,20.0,0.1133,,stop,1
XLMUSDT,F_002_marsdx,2025-02-08T20:00:00+00:00,2025-02-09T00:00:00+00:00,0.332432,0.333493,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-02-09T04:00:00+00:00,2025-02-09T12:00:00+00:00,0.33874,0.318026,20.0,-1.223,,stop,2
XLMUSDT,F_002_marsdx,2025-02-11T08:00:00+00:00,2025-02-11T12:00:00+00:00,0.334634,0.33769,20.0,0.1826,,stop,1
XLMUSDT,F_002_marsdx,2025-02-11T16:00:00+00:00,2025-02-12T12:00:00+00:00,0.33123,0.310126,20.0,-1.2743,,stop,5
XLMUSDT,F_002_marsdx,2025-02-12T20:00:00+00:00,2025-02-13T00:00:00+00:00,0.326624,0.336193,20.0,0.5859,,stop,1
XLMUSDT,F_002_marsdx,2025-02-13T04:00:00+00:00,2025-02-13T20:00:00+00:00,0.332031,0.333092,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-02-13T16:00:00+00:00,2025-02-13T20:00:00+00:00,0.328026,0.333399,20.0,0.3276,,stop,1
XLMUSDT,F_002_marsdx,2025-02-14T00:00:00+00:00,2025-02-14T04:00:00+00:00,0.337538,0.341083,20.0,0.21,,stop,1
XLMUSDT,F_002_marsdx,2025-02-14T08:00:00+00:00,2025-02-14T12:00:00+00:00,0.340041,0.362138,20.0,1.2997,,stop,1
XLMUSDT,F_002_marsdx,2025-02-14T16:00:00+00:00,2025-02-14T20:00:00+00:00,0.351456,0.358546,20.0,0.4034,,stop,1
XLMUSDT,F_002_marsdx,2025-02-15T00:00:00+00:00,2025-02-15T04:00:00+00:00,0.351156,0.365531,20.0,0.8187,,stop,1
XLMUSDT,F_002_marsdx,2025-02-15T08:00:00+00:00,2025-02-15T12:00:00+00:00,0.35426,0.358346,20.0,0.2307,,stop,1
XLMUSDT,F_002_marsdx,2025-02-19T12:00:00+00:00,2025-02-20T00:00:00+00:00,0.33884,0.341981,20.0,0.1854,,stop,3
XLMUSDT,F_002_marsdx,2025-02-20T00:00:00+00:00,2025-02-20T08:00:00+00:00,0.342344,0.344062,20.0,0.1003,,stop,2
XLMUSDT,F_002_marsdx,2025-02-20T08:00:00+00:00,2025-02-20T12:00:00+00:00,0.339341,0.344575,20.0,0.3085,,stop,1
XLMUSDT,F_002_marsdx,2025-02-20T16:00:00+00:00,2025-02-20T20:00:00+00:00,0.342645,0.348966,20.0,0.369,,stop,1
XLMUSDT,F_002_marsdx,2025-02-21T00:00:00+00:00,2025-02-21T16:00:00+00:00,0.345048,0.34615,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-02-22T20:00:00+00:00,2025-02-24T00:00:00+00:00,0.33854,0.32359,20.0,-0.8832,,stop,7
XLMUSDT,F_002_marsdx,2025-02-28T20:00:00+00:00,2025-03-01T04:00:00+00:00,0.286272,0.295279,20.0,0.6293,,stop,2
XLMUSDT,F_002_marsdx,2025-03-01T04:00:00+00:00,2025-03-01T08:00:00+00:00,0.295183,0.302663,20.0,0.5068,,stop,1
XLMUSDT,F_002_marsdx,2025-03-01T12:00:00+00:00,2025-03-01T16:00:00+00:00,0.301592,0.306056,20.0,0.2961,,stop,1
XLMUSDT,F_002_marsdx,2025-03-01T20:00:00+00:00,2025-03-02T00:00:00+00:00,0.306097,0.318231,20.0,0.7928,,stop,1
XLMUSDT,F_002_marsdx,2025-03-02T04:00:00+00:00,2025-03-02T16:00:00+00:00,0.330129,0.342879,20.0,0.7724,,stop,3
XLMUSDT,F_002_marsdx,2025-03-02T12:00:00+00:00,2025-03-02T16:00:00+00:00,0.319815,0.342879,20.0,1.4423,,stop,1
XLMUSDT,F_002_marsdx,2025-03-02T20:00:00+00:00,2025-03-03T00:00:00+00:00,0.348753,0.353856,20.0,0.2926,,stop,1
XLMUSDT,F_002_marsdx,2025-03-03T04:00:00+00:00,2025-03-03T16:00:00+00:00,0.34625,0.315054,20.0,-1.8019,,stop,3
XLMUSDT,F_002_marsdx,2025-03-06T12:00:00+00:00,2025-03-06T20:00:00+00:00,0.305597,0.306586,20.0,0.0647,,stop,2
XLMUSDT,F_002_marsdx,2025-03-07T12:00:00+00:00,2025-03-08T00:00:00+00:00,0.299889,0.280011,20.0,-1.3257,,stop,3
XLMUSDT,F_002_marsdx,2025-03-12T20:00:00+00:00,2025-03-13T00:00:00+00:00,0.258135,0.259043,20.0,0.0703,,stop,1
XLMUSDT,F_002_marsdx,2025-03-13T04:00:00+00:00,2025-03-13T08:00:00+00:00,0.266346,0.267615,20.0,0.0953,,stop,1
XLMUSDT,F_002_marsdx,2025-03-13T12:00:00+00:00,2025-03-13T16:00:00+00:00,0.281465,0.294381,20.0,0.9177,,stop,1
XLMUSDT,F_002_marsdx,2025-03-14T00:00:00+00:00,2025-03-14T04:00:00+00:00,0.274256,0.275132,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-03-14T08:00:00+00:00,2025-03-14T12:00:00+00:00,0.273355,0.282805,20.0,0.6914,,stop,1
XLMUSDT,F_002_marsdx,2025-03-14T16:00:00+00:00,2025-03-15T04:00:00+00:00,0.278762,0.279652,20.0,0.0639,,stop,3
