symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
BTCUSDT,12,2.0,1.0,8,0.17611365160001247,1,100.0,inf
BTCUSDT,12,2.0,1.0,12,0.17611365160001247,1,100.0,inf
BTCUSDT,12,2.0,1.5,8,0.0,0,0.0,0.0
BTCUSDT,12,2.0,1.5,12,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.5,8,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.5,12,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.5,12,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.5,8,0.09433675932486685,1,100.0,inf
BTCUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
ETHUSDT,12,2.0,1.0,8,0.17029591049279705,1,100.0,inf
ETHUSDT,12,2.0,1.0,12,0.23773757826575387,2,100.0,inf
ETHUSDT,12,2.0,1.5,8,0.0,0,0.0,0.0
ETHUSDT,12,2.0,1.5,12,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.0,12,0.06744166777295683,1,100.0,inf
ETHUSDT,12,2.5,1.5,8,0.42583119621080046,1,100.0,inf
ETHUSDT,12,2.5,1.5,12,0.42583119621080046,1,100.0,inf
ETHUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.5,12,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.0,8,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.0,12,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.5,8,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.5,12,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.5,8,0.08383171289088603,1,100.0,inf
SOLUSDT,12,2.5,1.5,12,0.0,0,0.0,0.0
