symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
GRAMUSDT,20,5,2,-208.9213942592258,7073,49.77,0.5482513695348441
GRAMUSDT,20,5,7,-278.5245355319634,9173,49.34,0.5384625973674342
GRAMUSDT,20,5,14,-278.7378894187382,9176,49.32,0.5383840015168495
GRAMUSDT,20,7,2,-209.97044863205068,7132,49.8,0.548915327876294
GRAMUSDT,20,7,7,-288.130465766845,9629,49.53,0.5435351161150009
GRAMUSDT,20,7,14,-289.1424690396934,9655,49.52,0.5437986871108803
GRAMUSDT,20,9,2,-211.5272049324096,7160,49.78,0.5480011059767186
GRAMUSDT,20,9,7,-299.87541105060524,9987,49.56,0.5430826006346239
GRAMUSDT,20,9,14,-298.06546936047806,10027,49.62,0.5468233736105245
GRAMUSDT,50,5,2,-189.0218041938974,6137,49.0,0.5315391163025881
GRAMUSDT,50,5,7,-261.32050932073565,7971,48.15,0.5117484935543312
GRAMUSDT,50,5,14,-259.3139238634954,8016,48.3,0.5167032095009131
GRAMUSDT,50,7,2,-187.90231432447533,6104,49.03,0.5317649719895559
GRAMUSDT,50,7,7,-265.81709449551494,8253,48.38,0.5180547672876286
GRAMUSDT,50,7,14,-265.1426278897209,8317,48.53,0.5223388581038476
GRAMUSDT,50,9,2,-188.12677721815717,6084,49.0,0.530844869196125
GRAMUSDT,50,9,7,-274.47310603329663,8483,48.36,0.5175774739809718
GRAMUSDT,50,9,14,-274.01700709127783,8566,48.55,0.5220766546795912
GRAMUSDT,100,5,2,-181.5189241179971,5707,48.48,0.522740388253878
GRAMUSDT,100,5,7,-242.4934314756378,7321,47.88,0.5088872166075813
GRAMUSDT,100,5,14,-243.27439447147216,7414,48.06,0.5129192996086511
GRAMUSDT,100,7,2,-177.0096592328622,5615,48.6,0.5254114115504074
GRAMUSDT,100,7,7,-243.2652265904023,7507,48.18,0.5167915569755934
GRAMUSDT,100,7,14,-242.91284460262136,7586,48.38,0.5221612077246282
GRAMUSDT,100,9,2,-174.1268975281791,5544,48.67,0.5270895416240787
GRAMUSDT,100,9,7,-247.84367419578018,7663,48.26,0.517805259333222
GRAMUSDT,100,9,14,-249.0674304974357,7753,48.39,0.5214409746130795
