symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_002_marsdx,2025-01-01T01:15:00+00:00,2025-01-01T01:15:00+00:00,5.549205,5.525441,20.0,-0.0856,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-01T01:35:00+00:00,2025-01-01T03:05:00+00:00,5.547202,5.522442,20.0,-0.0893,,stop,18
GRAMUSDT,F_002_marsdx,2025-01-01T01:50:00+00:00,2025-01-01T01:50:00+00:00,5.554211,5.530298,20.0,-0.0861,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-01T02:05:00+00:00,2025-01-01T03:00:00+00:00,5.552209,5.526586,20.0,-0.0923,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-01T02:20:00+00:00,2025-01-01T02:50:00+00:00,5.557215,5.532727,20.0,-0.0881,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-01T13:05:00+00:00,2025-01-01T13:05:00+00:00,5.469101,5.442017,20.0,-0.099,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-01T15:00:00+00:00,2025-01-01T15:50:00+00:00,5.458086,5.47552,20.0,0.0639,,stop,10
GRAMUSDT,F_002_marsdx,2025-01-01T15:10:00+00:00,2025-01-01T15:15:00+00:00,5.463093,5.430025,20.0,-0.1211,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-01T15:25:00+00:00,2025-01-01T15:50:00+00:00,5.457085,5.474516,20.0,0.0639,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-01T15:50:00+00:00,2025-01-01T16:45:00+00:00,5.479114,5.447879,20.0,-0.114,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-01T16:10:00+00:00,2025-01-01T16:40:00+00:00,5.48412,5.45131,20.0,-0.1197,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-01T16:25:00+00:00,2025-01-01T16:40:00+00:00,5.491129,5.457311,20.0,-0.1232,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-01T17:25:00+00:00,2025-01-01T17:40:00+00:00,5.464094,5.481547,20.0,0.0639,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-01T17:35:00+00:00,2025-01-01T18:30:00+00:00,5.474107,5.491592,20.0,0.0639,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-01T17:45:00+00:00,2025-01-01T18:35:00+00:00,5.480115,5.497619,20.0,0.0639,,stop,10
GRAMUSDT,F_002_marsdx,2025-01-01T18:15:00+00:00,2025-01-01T18:40:00+00:00,5.478112,5.49561,20.0,0.0639,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-01T18:25:00+00:00,2025-01-01T18:35:00+00:00,5.488125,5.505655,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-01T18:35:00+00:00,2025-01-01T19:25:00+00:00,5.517163,5.489161,20.0,-0.1015,,stop,10
GRAMUSDT,F_002_marsdx,2025-01-01T18:55:00+00:00,2025-01-01T19:25:00+00:00,5.51516,5.485877,20.0,-0.1062,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-01T19:05:00+00:00,2025-01-01T19:15:00+00:00,5.526175,5.497733,20.0,-0.1029,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-01T19:20:00+00:00,2025-01-01T19:25:00+00:00,5.520167,5.491305,20.0,-0.1046,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-01T19:45:00+00:00,2025-01-01T19:55:00+00:00,5.519166,5.536795,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-01T20:00:00+00:00,2025-01-01T22:05:00+00:00,5.534185,5.503878,20.0,-0.1095,,stop,25
GRAMUSDT,F_002_marsdx,2025-01-01T20:10:00+00:00,2025-01-01T20:35:00+00:00,5.536188,5.50759,20.0,-0.1033,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-01T20:30:00+00:00,2025-01-01T22:05:00+00:00,5.533184,5.506017,20.0,-0.0982,,stop,19
GRAMUSDT,F_002_marsdx,2025-01-01T20:55:00+00:00,2025-01-01T21:05:00+00:00,5.533184,5.508442,20.0,-0.0894,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-01T21:05:00+00:00,2025-01-01T21:05:00+00:00,5.534185,5.51201,20.0,-0.0801,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-01T21:25:00+00:00,2025-01-01T22:05:00+00:00,5.536188,5.511299,20.0,-0.0899,,stop,8
GRAMUSDT,F_002_marsdx,2025-01-01T21:45:00+00:00,2025-01-01T22:05:00+00:00,5.534185,5.508871,20.0,-0.0915,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-01T22:35:00+00:00,2025-01-01T22:40:00+00:00,5.523171,5.496445,20.0,-0.0968,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-01T22:50:00+00:00,2025-01-02T00:05:00+00:00,5.523171,5.496017,20.0,-0.0983,,stop,15
GRAMUSDT,F_002_marsdx,2025-01-01T23:00:00+00:00,2025-01-01T23:10:00+00:00,5.536188,5.508731,20.0,-0.0992,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-01T23:10:00+00:00,2025-01-01T23:35:00+00:00,5.531181,5.502305,20.0,-0.1044,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-01T23:45:00+00:00,2025-01-02T00:05:00+00:00,5.523171,5.495161,20.0,-0.1014,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-02T00:10:00+00:00,2025-01-02T00:25:00+00:00,5.525173,5.542822,20.0,0.0639,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-02T00:25:00+00:00,2025-01-02T00:25:00+00:00,5.554211,5.522879,20.0,-0.1128,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T00:30:00+00:00,2025-01-02T00:45:00+00:00,5.554211,5.571952,20.0,0.0639,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-02T00:40:00+00:00,2025-01-02T01:15:00+00:00,5.570232,5.588024,20.0,0.0639,,stop,7
GRAMUSDT,F_002_marsdx,2025-01-02T00:50:00+00:00,2025-01-02T01:15:00+00:00,5.57624,5.594051,20.0,0.0639,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-02T01:05:00+00:00,2025-01-02T01:15:00+00:00,5.575238,5.593047,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-02T01:15:00+00:00,2025-01-02T01:30:00+00:00,5.59226,5.549893,20.0,-0.1515,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-02T02:10:00+00:00,2025-01-02T03:05:00+00:00,5.578242,5.59606,20.0,0.0639,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-02T02:30:00+00:00,2025-01-02T03:35:00+00:00,5.586253,5.604096,20.0,0.0639,,stop,13
GRAMUSDT,F_002_marsdx,2025-01-02T02:50:00+00:00,2025-01-02T03:30:00+00:00,5.58425,5.602087,20.0,0.0639,,stop,8
GRAMUSDT,F_002_marsdx,2025-01-02T03:00:00+00:00,2025-01-02T04:40:00+00:00,5.596266,5.614141,20.0,0.0639,,stop,20
GRAMUSDT,F_002_marsdx,2025-01-02T04:05:00+00:00,2025-01-02T04:50:00+00:00,5.60728,5.625389,20.0,0.0646,,stop,9
GRAMUSDT,F_002_marsdx,2025-01-02T04:35:00+00:00,2025-01-02T04:45:00+00:00,5.616292,5.634231,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-02T04:45:00+00:00,2025-01-02T05:00:00+00:00,5.644328,5.615875,20.0,-0.1008,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-02T04:55:00+00:00,2025-01-02T05:00:00+00:00,5.645329,5.615876,20.0,-0.1043,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-02T05:25:00+00:00,2025-01-02T05:45:00+00:00,5.627306,5.64528,20.0,0.0639,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-02T05:35:00+00:00,2025-01-02T06:30:00+00:00,5.633314,5.600452,20.0,-0.1167,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-02T05:45:00+00:00,2025-01-02T06:15:00+00:00,5.644328,5.611738,20.0,-0.1155,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-02T06:05:00+00:00,2025-01-02T06:15:00+00:00,5.645329,5.61445,20.0,-0.1094,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-02T06:15:00+00:00,2025-01-02T06:15:00+00:00,5.640323,5.61373,20.0,-0.0943,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T06:35:00+00:00,2025-01-02T07:10:00+00:00,5.635316,5.653316,20.0,0.0639,,stop,7
GRAMUSDT,F_002_marsdx,2025-01-02T06:45:00+00:00,2025-01-02T07:20:00+00:00,5.643327,5.661352,20.0,0.0639,,stop,7
GRAMUSDT,F_002_marsdx,2025-01-02T07:00:00+00:00,2025-01-02T08:05:00+00:00,5.650336,5.668384,20.0,0.0639,,stop,13
GRAMUSDT,F_002_marsdx,2025-01-02T07:10:00+00:00,2025-01-02T09:10:00+00:00,5.657345,5.675415,20.0,0.0639,,stop,24
GRAMUSDT,F_002_marsdx,2025-01-02T07:20:00+00:00,2025-01-02T07:45:00+00:00,5.665355,5.638302,20.0,-0.0955,,stop,5
GRAMUSDT,F_002_marsdx,2025-01-02T07:45:00+00:00,2025-01-02T07:45:00+00:00,5.667358,5.645295,20.0,-0.0779,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T08:05:00+00:00,2025-01-02T08:05:00+00:00,5.671363,5.647583,20.0,-0.0839,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T08:45:00+00:00,2025-01-02T09:25:00+00:00,5.66135,5.679433,20.0,0.0639,,stop,8
GRAMUSDT,F_002_marsdx,2025-01-02T08:55:00+00:00,2025-01-02T09:30:00+00:00,5.668359,5.686465,20.0,0.0639,,stop,7
GRAMUSDT,F_002_marsdx,2025-01-02T09:05:00+00:00,2025-01-02T09:35:00+00:00,5.677371,5.695505,20.0,0.0639,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-02T09:15:00+00:00,2025-01-02T09:35:00+00:00,5.679374,5.697514,20.0,0.0639,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-02T09:25:00+00:00,2025-01-02T09:35:00+00:00,5.681376,5.699523,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-02T09:35:00+00:00,2025-01-02T09:35:00+00:00,5.6994,5.672302,20.0,-0.0951,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T09:45:00+00:00,2025-01-02T11:20:00+00:00,5.694393,5.667159,20.0,-0.0957,,stop,19
GRAMUSDT,F_002_marsdx,2025-01-02T09:55:00+00:00,2025-01-02T11:05:00+00:00,5.6994,5.672444,20.0,-0.0946,,stop,14
GRAMUSDT,F_002_marsdx,2025-01-02T10:10:00+00:00,2025-01-02T11:05:00+00:00,5.6994,5.669876,20.0,-0.1036,,stop,11
GRAMUSDT,F_002_marsdx,2025-01-02T10:30:00+00:00,2025-01-02T11:05:00+00:00,5.6994,5.670162,20.0,-0.1026,,stop,7
GRAMUSDT,F_002_marsdx,2025-01-02T10:40:00+00:00,2025-01-02T11:00:00+00:00,5.704406,5.675019,20.0,-0.103,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-02T11:00:00+00:00,2025-01-02T11:00:00+00:00,5.708411,5.681302,20.0,-0.095,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T11:40:00+00:00,2025-01-02T11:50:00+00:00,5.688385,5.658448,20.0,-0.1053,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-02T12:05:00+00:00,2025-01-02T12:35:00+00:00,5.685381,5.655448,20.0,-0.1053,,stop,6
GRAMUSDT,F_002_marsdx,2025-01-02T12:15:00+00:00,2025-01-02T12:20:00+00:00,5.69239,5.664446,20.0,-0.0982,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-02T19:30:00+00:00,2025-01-02T19:30:00+00:00,5.652338,5.627727,20.0,-0.0871,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-02T20:20:00+00:00,2025-01-02T20:35:00+00:00,5.650336,5.626298,20.0,-0.0851,,stop,3
GRAMUSDT,F_002_marsdx,2025-01-02T23:05:00+00:00,2025-01-03T00:50:00+00:00,5.646331,5.664366,20.0,0.0639,,stop,21
GRAMUSDT,F_002_marsdx,2025-01-02T23:20:00+00:00,2025-01-03T01:15:00+00:00,5.648333,5.620303,20.0,-0.0993,,stop,23
GRAMUSDT,F_002_marsdx,2025-01-02T23:30:00+00:00,2025-01-03T00:20:00+00:00,5.649335,5.622872,20.0,-0.0937,,stop,10
GRAMUSDT,F_002_marsdx,2025-01-02T23:45:00+00:00,2025-01-02T23:45:00+00:00,5.650336,5.629722,20.0,-0.073,,stop,0
GRAMUSDT,F_002_marsdx,2025-01-03T00:00:00+00:00,2025-01-03T00:05:00+00:00,5.656344,5.635009,20.0,-0.0754,,stop,1
GRAMUSDT,F_002_marsdx,2025-01-03T00:30:00+00:00,2025-01-03T00:50:00+00:00,5.659348,5.637153,20.0,-0.0784,,stop,4
GRAMUSDT,F_002_marsdx,2025-01-03T00:40:00+00:00,2025-01-03T00:50:00+00:00,5.659348,5.636725,20.0,-0.0799,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-03T00:55:00+00:00,2025-01-03T01:05:00+00:00,5.664354,5.639442,20.0,-0.088,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-03T01:50:00+00:00,2025-01-03T02:00:00+00:00,5.649335,5.667379,20.0,0.0639,,stop,2
GRAMUSDT,F_002_marsdx,2025-01-03T02:00:00+00:00,2025-01-03T03:00:00+00:00,5.674367,5.644448,20.0,-0.1055,,stop,12
GRAMUSDT,F_002_marsdx,2025-01-03T02:20:00+00:00,2025-01-03T02:35:00+00:00,5.689387,5.659734,20.0,-0.1042,,stop,3
