symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_002_marsdx,2025-01-01T08:15:00+00:00,2025-01-01T08:25:00+00:00,190.84778,189.97763,20.0,-0.0912,,stop,2
SOLUSDT,F_002_marsdx,2025-01-01T10:20:00+00:00,2025-01-01T10:50:00+00:00,190.507338,191.115847,20.0,0.0639,,stop,6
SOLUSDT,F_002_marsdx,2025-01-01T10:45:00+00:00,2025-01-01T11:00:00+00:00,190.94791,189.740926,20.0,-0.1264,,stop,3
SOLUSDT,F_002_marsdx,2025-01-01T11:10:00+00:00,2025-01-01T11:35:00+00:00,190.867806,191.477466,20.0,0.0639,,stop,5
SOLUSDT,F_002_marsdx,2025-01-01T11:20:00+00:00,2025-01-01T11:45:00+00:00,191.007988,191.618096,20.0,0.0639,,stop,5
SOLUSDT,F_002_marsdx,2025-01-01T11:30:00+00:00,2025-01-01T12:50:00+00:00,191.488612,190.253817,20.0,-0.129,,stop,16
SOLUSDT,F_002_marsdx,2025-01-01T12:00:00+00:00,2025-01-01T12:45:00+00:00,191.598755,190.386644,20.0,-0.1265,,stop,9
SOLUSDT,F_002_marsdx,2025-01-01T12:25:00+00:00,2025-01-01T12:45:00+00:00,191.638807,190.420938,20.0,-0.1271,,stop,4
SOLUSDT,F_002_marsdx,2025-01-01T12:40:00+00:00,2025-01-01T12:45:00+00:00,191.799015,190.629446,20.0,-0.122,,stop,1
SOLUSDT,F_002_marsdx,2025-01-01T13:05:00+00:00,2025-01-01T13:05:00+00:00,191.498625,190.338006,20.0,-0.1212,,stop,0
SOLUSDT,F_002_marsdx,2025-01-01T13:50:00+00:00,2025-01-01T14:05:00+00:00,190.537377,191.145982,20.0,0.0639,,stop,3
SOLUSDT,F_002_marsdx,2025-01-01T14:05:00+00:00,2025-01-01T14:25:00+00:00,191.228274,189.995244,20.0,-0.129,,stop,4
