symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
XLMUSDT,20,5,2,-636.508045289034,20952,47.54,0.5420038033295251
XLMUSDT,20,5,7,-931.333994583806,29641,46.46,0.5257810419522679
XLMUSDT,20,5,14,-940.634718806572,29856,46.3,0.5250073554307766
XLMUSDT,20,7,2,-642.6863449846876,21094,47.56,0.5413649021518818
XLMUSDT,20,7,7,-978.7026118476165,31246,46.62,0.5268142452125013
XLMUSDT,20,7,14,-989.2552539844473,31566,46.52,0.5267974277612634
XLMUSDT,20,9,2,-644.9685907554006,21181,47.6,0.5418626180156997
XLMUSDT,20,9,7,-1023.7562328324971,32451,46.6,0.5245914928912851
XLMUSDT,20,9,14,-1042.7049634305656,32882,46.47,0.52300255532875
XLMUSDT,50,5,2,-556.9852120628782,18116,47.09,0.5394504546908635
XLMUSDT,50,5,7,-815.5546605363223,25778,45.96,0.5242143582750157
XLMUSDT,50,5,14,-824.360162828272,26143,45.95,0.5252855250261853
XLMUSDT,50,7,2,-559.4937241285238,18047,47.04,0.5370868826159555
XLMUSDT,50,7,7,-855.6896810244536,26794,46.04,0.5210898157633213
XLMUSDT,50,7,14,-867.7868230201549,27244,46.0,0.5220177186260013
XLMUSDT,50,9,2,-564.6501036622041,17982,46.89,0.5328302390605975
XLMUSDT,50,9,7,-884.3589913632786,27620,45.96,0.5200940409283665
XLMUSDT,50,9,14,-907.6059899787864,28178,45.84,0.5188087063821325
XLMUSDT,100,5,2,-514.1067738162725,16719,46.93,0.5412145961416345
XLMUSDT,100,5,7,-746.0893918656874,23532,45.73,0.5253555519390797
XLMUSDT,100,5,14,-758.5801294001583,24086,45.76,0.5271329755791472
XLMUSDT,100,7,2,-513.4953821173963,16515,46.87,0.5378960264758718
XLMUSDT,100,7,7,-778.634807328314,24257,45.76,0.5215867676300983
XLMUSDT,100,7,14,-791.2543715365035,24808,45.76,0.5235532017838234
XLMUSDT,100,9,2,-514.6951293284756,16333,46.65,0.5326624771311216
XLMUSDT,100,9,7,-801.5649846444005,24832,45.73,0.518779120317412
XLMUSDT,100,9,14,-820.7350426168872,25436,45.67,0.5194688175777311
