symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_002_marsdx,2025-01-01T01:45:00+00:00,2025-01-01T02:05:00+00:00,0.339841,0.340927,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-01-01T02:05:00+00:00,2025-01-01T02:15:00+00:00,0.341443,0.343563,20.0,0.1242,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T03:00:00+00:00,2025-01-01T05:10:00+00:00,0.340442,0.341529,20.0,0.0639,,stop,26
XLMUSDT,F_002_marsdx,2025-01-01T03:10:00+00:00,2025-01-01T05:10:00+00:00,0.340242,0.341329,20.0,0.0639,,stop,24
XLMUSDT,F_002_marsdx,2025-01-01T03:50:00+00:00,2025-01-01T04:15:00+00:00,0.340242,0.337716,20.0,-0.1484,,stop,5
XLMUSDT,F_002_marsdx,2025-01-01T04:25:00+00:00,2025-01-01T05:10:00+00:00,0.340342,0.341429,20.0,0.0639,,stop,9
XLMUSDT,F_002_marsdx,2025-01-01T04:50:00+00:00,2025-01-01T05:10:00+00:00,0.340742,0.341831,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-01-01T05:05:00+00:00,2025-01-01T05:10:00+00:00,0.340442,0.341529,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T05:15:00+00:00,2025-01-01T05:20:00+00:00,0.345749,0.348049,20.0,0.133,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T06:00:00+00:00,2025-01-01T06:05:00+00:00,0.354861,0.355994,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T06:20:00+00:00,2025-01-01T06:25:00+00:00,0.353359,0.354487,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T06:30:00+00:00,2025-01-01T07:10:00+00:00,0.356062,0.34985,20.0,-0.349,,stop,8
XLMUSDT,F_002_marsdx,2025-01-01T06:55:00+00:00,2025-01-01T07:10:00+00:00,0.356463,0.35102,20.0,-0.3054,,stop,3
XLMUSDT,F_002_marsdx,2025-01-01T08:15:00+00:00,2025-01-01T08:25:00+00:00,0.350355,0.347117,20.0,-0.1848,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T09:35:00+00:00,2025-01-01T09:40:00+00:00,0.345849,0.342218,20.0,-0.21,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T10:00:00+00:00,2025-01-01T10:05:00+00:00,0.347751,0.349643,20.0,0.1088,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T10:35:00+00:00,2025-01-01T11:05:00+00:00,0.347751,0.343176,20.0,-0.2631,,stop,6
XLMUSDT,F_002_marsdx,2025-01-01T11:20:00+00:00,2025-01-01T11:25:00+00:00,0.351556,0.356949,20.0,0.3068,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T11:35:00+00:00,2025-01-01T11:45:00+00:00,0.355161,0.360841,20.0,0.3198,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T11:45:00+00:00,2025-01-01T11:50:00+00:00,0.36197,0.364095,20.0,0.1174,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T11:55:00+00:00,2025-01-01T12:00:00+00:00,0.363272,0.364432,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T12:05:00+00:00,2025-01-01T12:15:00+00:00,0.363672,0.364834,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T12:15:00+00:00,2025-01-01T12:25:00+00:00,0.363772,0.371818,20.0,0.4423,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T12:25:00+00:00,2025-01-01T12:30:00+00:00,0.37008,0.371263,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T12:35:00+00:00,2025-01-01T12:45:00+00:00,0.36938,0.370559,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T12:50:00+00:00,2025-01-01T12:55:00+00:00,0.370581,0.372069,20.0,0.0803,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T13:00:00+00:00,2025-01-01T13:05:00+00:00,0.374286,0.375757,20.0,0.0786,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T13:10:00+00:00,2025-01-01T13:30:00+00:00,0.379393,0.371495,20.0,-0.4163,,stop,4
XLMUSDT,F_002_marsdx,2025-01-01T14:05:00+00:00,2025-01-01T14:15:00+00:00,0.375387,0.376586,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T14:15:00+00:00,2025-01-01T14:30:00+00:00,0.376289,0.368523,20.0,-0.4127,,stop,3
XLMUSDT,F_002_marsdx,2025-01-01T14:50:00+00:00,2025-01-01T15:20:00+00:00,0.373685,0.374879,20.0,0.0639,,stop,6
XLMUSDT,F_002_marsdx,2025-01-01T15:30:00+00:00,2025-01-01T15:35:00+00:00,0.375788,0.376988,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T15:40:00+00:00,2025-01-01T15:45:00+00:00,0.378291,0.379499,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T15:50:00+00:00,2025-01-01T15:55:00+00:00,0.384099,0.385326,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T16:55:00+00:00,2025-01-01T17:00:00+00:00,0.402923,0.40421,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T17:35:00+00:00,2025-01-01T17:45:00+00:00,0.397116,0.398384,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T17:45:00+00:00,2025-01-01T17:50:00+00:00,0.399318,0.400594,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T17:55:00+00:00,2025-01-01T18:15:00+00:00,0.402322,0.403607,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-01-01T18:15:00+00:00,2025-01-01T18:20:00+00:00,0.403824,0.405114,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T18:35:00+00:00,2025-01-01T18:50:00+00:00,0.416441,0.421713,20.0,0.2532,,stop,3
XLMUSDT,F_002_marsdx,2025-01-01T19:10:00+00:00,2025-01-01T19:15:00+00:00,0.422949,0.433189,20.0,0.4842,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T19:40:00+00:00,2025-01-01T19:45:00+00:00,0.421948,0.423296,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T19:50:00+00:00,2025-01-01T20:30:00+00:00,0.435365,0.436756,20.0,0.0639,,stop,8
XLMUSDT,F_002_marsdx,2025-01-01T20:05:00+00:00,2025-01-01T20:10:00+00:00,0.429858,0.43237,20.0,0.1169,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T20:30:00+00:00,2025-01-01T20:35:00+00:00,0.435866,0.437258,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T20:50:00+00:00,2025-01-01T21:10:00+00:00,0.432762,0.41953,20.0,-0.6115,,stop,4
XLMUSDT,F_002_marsdx,2025-01-01T21:40:00+00:00,2025-01-01T21:45:00+00:00,0.426954,0.428482,20.0,0.0716,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T21:50:00+00:00,2025-01-01T21:55:00+00:00,0.430158,0.431532,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T22:00:00+00:00,2025-01-01T22:05:00+00:00,0.43096,0.42308,20.0,-0.3657,,stop,1
XLMUSDT,F_002_marsdx,2025-01-01T22:25:00+00:00,2025-01-01T22:35:00+00:00,0.428256,0.429624,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T22:35:00+00:00,2025-01-01T22:50:00+00:00,0.430559,0.431934,20.0,0.0639,,stop,3
XLMUSDT,F_002_marsdx,2025-01-01T22:50:00+00:00,2025-01-01T23:00:00+00:00,0.429658,0.421481,20.0,-0.3806,,stop,2
XLMUSDT,F_002_marsdx,2025-01-01T23:30:00+00:00,2025-01-02T00:05:00+00:00,0.425953,0.432291,20.0,0.2976,,stop,7
XLMUSDT,F_002_marsdx,2025-01-02T00:00:00+00:00,2025-01-02T00:05:00+00:00,0.426354,0.432291,20.0,0.2785,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T00:10:00+00:00,2025-01-02T00:15:00+00:00,0.437768,0.443767,20.0,0.274,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T00:20:00+00:00,2025-01-02T00:25:00+00:00,0.449484,0.459533,20.0,0.4472,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T00:40:00+00:00,2025-01-02T00:50:00+00:00,0.45419,0.439632,20.0,-0.6411,,stop,2
XLMUSDT,F_002_marsdx,2025-01-02T02:10:00+00:00,2025-01-02T02:25:00+00:00,0.432261,0.433642,20.0,0.0639,,stop,3
XLMUSDT,F_002_marsdx,2025-01-02T02:40:00+00:00,2025-01-02T02:50:00+00:00,0.432261,0.433642,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-02T02:50:00+00:00,2025-01-02T02:55:00+00:00,0.433663,0.43718,20.0,0.1622,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T03:05:00+00:00,2025-01-02T04:15:00+00:00,0.435966,0.428708,20.0,-0.333,,stop,14
XLMUSDT,F_002_marsdx,2025-01-02T03:25:00+00:00,2025-01-02T04:00:00+00:00,0.435666,0.437057,20.0,0.0639,,stop,7
XLMUSDT,F_002_marsdx,2025-01-02T03:40:00+00:00,2025-01-02T04:05:00+00:00,0.436266,0.429764,20.0,-0.2981,,stop,5
XLMUSDT,F_002_marsdx,2025-01-02T03:55:00+00:00,2025-01-02T04:00:00+00:00,0.435265,0.436655,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T09:15:00+00:00,2025-01-02T10:25:00+00:00,0.43126,0.425463,20.0,-0.2688,,stop,14
XLMUSDT,F_002_marsdx,2025-01-02T10:35:00+00:00,2025-01-02T10:40:00+00:00,0.432261,0.434164,20.0,0.088,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T10:50:00+00:00,2025-01-02T10:55:00+00:00,0.432762,0.434144,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T11:00:00+00:00,2025-01-02T11:10:00+00:00,0.432662,0.434044,20.0,0.0639,,stop,2
XLMUSDT,F_002_marsdx,2025-01-02T11:15:00+00:00,2025-01-02T11:50:00+00:00,0.432261,0.433642,20.0,0.0639,,stop,7
XLMUSDT,F_002_marsdx,2025-01-02T11:45:00+00:00,2025-01-02T12:20:00+00:00,0.433263,0.427492,20.0,-0.2664,,stop,7
XLMUSDT,F_002_marsdx,2025-01-02T12:05:00+00:00,2025-01-02T12:20:00+00:00,0.433663,0.42852,20.0,-0.2372,,stop,3
XLMUSDT,F_002_marsdx,2025-01-02T12:45:00+00:00,2025-01-02T12:50:00+00:00,0.431761,0.43314,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T13:30:00+00:00,2025-01-02T13:45:00+00:00,0.43106,0.432437,20.0,0.0639,,stop,3
XLMUSDT,F_002_marsdx,2025-01-02T13:40:00+00:00,2025-01-02T14:00:00+00:00,0.432361,0.427048,20.0,-0.2458,,stop,4
XLMUSDT,F_002_marsdx,2025-01-02T14:35:00+00:00,2025-01-02T14:45:00+00:00,0.428556,0.430077,20.0,0.071,,stop,2
XLMUSDT,F_002_marsdx,2025-01-02T15:50:00+00:00,2025-01-02T16:10:00+00:00,0.429257,0.430628,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-01-02T16:15:00+00:00,2025-01-02T16:35:00+00:00,0.430158,0.431532,20.0,0.0639,,stop,4
XLMUSDT,F_002_marsdx,2025-01-02T16:30:00+00:00,2025-01-02T16:35:00+00:00,0.430058,0.431432,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T16:40:00+00:00,2025-01-02T16:45:00+00:00,0.431861,0.43324,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T17:00:00+00:00,2025-01-02T17:05:00+00:00,0.433863,0.438178,20.0,0.1989,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T17:10:00+00:00,2025-01-02T17:15:00+00:00,0.439971,0.441377,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T17:30:00+00:00,2025-01-02T17:40:00+00:00,0.444878,0.438264,20.0,-0.2973,,stop,2
XLMUSDT,F_002_marsdx,2025-01-02T17:55:00+00:00,2025-01-02T18:00:00+00:00,0.439971,0.441838,20.0,0.0849,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T18:20:00+00:00,2025-01-02T18:25:00+00:00,0.442174,0.445028,20.0,0.1291,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T18:40:00+00:00,2025-01-02T19:30:00+00:00,0.441373,0.43231,20.0,-0.4107,,stop,10
XLMUSDT,F_002_marsdx,2025-01-02T20:05:00+00:00,2025-01-02T20:10:00+00:00,0.433363,0.428904,20.0,-0.2058,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T22:10:00+00:00,2025-01-02T22:35:00+00:00,0.432461,0.434263,20.0,0.0833,,stop,5
XLMUSDT,F_002_marsdx,2025-01-02T22:40:00+00:00,2025-01-02T22:55:00+00:00,0.437668,0.439066,20.0,0.0639,,stop,3
XLMUSDT,F_002_marsdx,2025-01-02T22:50:00+00:00,2025-01-02T22:55:00+00:00,0.437868,0.439267,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-02T23:05:00+00:00,2025-01-02T23:55:00+00:00,0.438069,0.43282,20.0,-0.2396,,stop,10
XLMUSDT,F_002_marsdx,2025-01-02T23:45:00+00:00,2025-01-03T00:00:00+00:00,0.436467,0.43122,20.0,-0.2404,,stop,3
XLMUSDT,F_002_marsdx,2025-01-03T00:10:00+00:00,2025-01-03T00:15:00+00:00,0.442274,0.443687,20.0,0.0639,,stop,1
XLMUSDT,F_002_marsdx,2025-01-03T00:30:00+00:00,2025-01-03T00:40:00+00:00,0.441874,0.443632,20.0,0.0796,,stop,2
XLMUSDT,F_002_marsdx,2025-01-03T00:40:00+00:00,2025-01-03T01:10:00+00:00,0.443376,0.435109,20.0,-0.3729,,stop,6
XLMUSDT,F_002_marsdx,2025-01-03T01:25:00+00:00,2025-01-03T01:30:00+00:00,0.439971,0.441377,20.0,0.0639,,stop,1
