symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
BTCUSDT,20,5,2,-920.7789700648085,24946,28.91,0.350868231712938
BTCUSDT,20,5,7,-1243.5095311715274,33380,28.45,0.3460315267606416
BTCUSDT,20,5,14,-1246.255277199069,33478,28.48,0.34651066010508724
BTCUSDT,20,7,2,-932.8730961415937,25164,28.89,0.34928645613277304
BTCUSDT,20,7,7,-1313.6707522218412,35239,28.5,0.3455086877125682
BTCUSDT,20,7,14,-1321.7695961854563,35435,28.54,0.34579169417111005
BTCUSDT,20,9,2,-938.8037128476001,25327,28.92,0.3495457775979438
BTCUSDT,20,9,7,-1372.125436797702,36727,28.52,0.34477405704441905
BTCUSDT,20,9,14,-1384.4750088477037,37048,28.57,0.34535032387790116
BTCUSDT,50,5,2,-803.0718513347244,21985,28.43,0.3509905009969423
BTCUSDT,50,5,7,-1080.0921029887027,29338,28.07,0.34670896588747285
BTCUSDT,50,5,14,-1090.15492127734,29609,28.19,0.34796217061196993
BTCUSDT,50,7,2,-802.9456413231406,21881,28.4,0.34935779260315136
BTCUSDT,50,7,7,-1124.3048079657383,30498,28.16,0.34609526353752845
BTCUSDT,50,7,14,-1139.8593151157343,30862,28.28,0.34679782566039574
BTCUSDT,50,9,2,-799.6023378564939,21773,28.44,0.3492770756776679
BTCUSDT,50,9,7,-1162.403552072276,31490,28.23,0.34617812064073944
BTCUSDT,50,9,14,-1182.8908469605306,31977,28.35,0.347084906381037
BTCUSDT,100,5,2,-757.6999866715615,20686,28.24,0.3495727851467212
BTCUSDT,100,5,7,-1006.269196381648,27314,27.86,0.3461896859509649
BTCUSDT,100,5,14,-1019.7062182336291,27709,28.03,0.3479005814065008
BTCUSDT,100,7,2,-748.2924019218028,20343,28.24,0.3485729755187735
BTCUSDT,100,7,7,-1032.0052320147292,28093,28.04,0.34786475495164954
BTCUSDT,100,7,14,-1050.2417805438927,28521,28.18,0.34868593842269147
BTCUSDT,100,9,2,-736.7100395989906,20084,28.32,0.3497283722496208
BTCUSDT,100,9,7,-1058.9666569325727,28760,28.13,0.34762084956580647
BTCUSDT,100,9,14,-1081.41811754731,29281,28.26,0.3482202603660395
ETHUSDT,20,5,2,-805.3977674041155,23599,36.25,0.4267226741224525
ETHUSDT,20,5,7,-1087.7277097804324,31446,35.85,0.4220143018734939
ETHUSDT,20,5,14,-1085.4711925275012,31446,35.89,0.4230130568493604
ETHUSDT,20,7,2,-812.9322861082197,23839,36.25,0.4268423453815649
ETHUSDT,20,7,7,-1142.1757002438144,33182,35.95,0.42390828513225715
ETHUSDT,20,7,14,-1145.882898013792,33283,35.99,0.4242125641993774
ETHUSDT,20,9,2,-820.3860241041941,24001,36.2,0.4258638571751787
ETHUSDT,20,9,7,-1187.3032485924496,34583,36.04,0.42482006051728044
ETHUSDT,20,9,14,-1190.0535350869216,34807,36.15,0.4267922525430683
ETHUSDT,50,5,2,-708.2510747704963,20496,35.41,0.4196616090118119
ETHUSDT,50,5,7,-941.3223115423327,27284,35.2,0.4206697974891305
ETHUSDT,50,5,14,-951.2005233349117,27558,35.36,0.42133462799889404
ETHUSDT,50,7,2,-702.6060105111046,20386,35.5,0.4204958318395694
ETHUSDT,50,7,7,-975.8490419722009,28318,35.35,0.4213588861309347
ETHUSDT,50,7,14,-988.9132847586199,28685,35.52,0.4223742917587618
ETHUSDT,50,9,2,-701.3510070717925,20288,35.46,0.4191542680930349
ETHUSDT,50,9,7,-1007.2115689176919,29211,35.48,0.4213683482457649
ETHUSDT,50,9,14,-1019.6111844270524,29693,35.73,0.42384660910293587
ETHUSDT,100,5,2,-643.0531859915668,18907,35.63,0.4255662945978221
ETHUSDT,100,5,7,-834.7099818421682,24874,35.6,0.4311556308484258
ETHUSDT,100,5,14,-848.5438626685832,25304,35.84,0.43237331197829215
ETHUSDT,100,7,2,-630.6372289593436,18611,35.72,0.42705028409140583
ETHUSDT,100,7,7,-860.6249549151594,25596,35.78,0.4304208151396568
ETHUSDT,100,7,14,-873.5170853674383,26047,36.01,0.4326958302840664
ETHUSDT,100,9,2,-621.1257041434096,18333,35.73,0.42710987223218244
ETHUSDT,100,9,7,-879.0639626672931,26175,35.91,0.43104472529709986
ETHUSDT,100,9,14,-892.6052299173522,26710,36.2,0.43410654942689053
SOLUSDT,20,5,2,-529.7853872931709,22227,56.89,0.6460358860674351
SOLUSDT,20,5,7,-709.2158046946199,29072,56.83,0.6398396813007151
SOLUSDT,20,5,14,-711.4886289076497,29117,56.79,0.6399921025816193
SOLUSDT,20,7,2,-538.5076051594656,22457,56.91,0.6445152031504141
SOLUSDT,20,7,7,-751.6085439242479,30672,56.78,0.6385855618330257
SOLUSDT,20,7,14,-750.8730528539323,30807,56.85,0.6402898627138233
SOLUSDT,20,9,2,-541.9918863308715,22611,56.91,0.644701882982309
SOLUSDT,20,9,7,-781.1115948056009,31997,56.87,0.6397202546272461
SOLUSDT,20,9,14,-795.0850006443067,32226,56.82,0.6370126440297009
SOLUSDT,50,5,2,-471.4893584109408,19390,56.45,0.640096874019306
SOLUSDT,50,5,7,-620.0873883179188,25341,56.38,0.6388701813779988
SOLUSDT,50,5,14,-623.4438318950746,25535,56.44,0.6401861392381302
SOLUSDT,50,7,2,-461.0151533798669,19329,56.58,0.6450827053358179
SOLUSDT,50,7,7,-642.3947266040153,26324,56.45,0.6393036952350079
SOLUSDT,50,7,14,-647.0834761607164,26598,56.55,0.6408628459705926
SOLUSDT,50,9,2,-466.38758176333465,19262,56.43,0.6414021585853613
SOLUSDT,50,9,7,-664.6378472161165,27231,56.48,0.6394956556362889
SOLUSDT,50,9,14,-681.6226172722745,27584,56.5,0.6368531997216944
SOLUSDT,100,5,2,-438.4889793730886,17981,56.35,0.6392755578516827
SOLUSDT,100,5,7,-571.2428479267534,23256,56.3,0.6383110872664577
SOLUSDT,100,5,14,-580.7180110595219,23577,56.34,0.6386865548866199
SOLUSDT,100,7,2,-418.9013765971535,17697,56.53,0.6474735507663059
SOLUSDT,100,7,7,-578.2003259503911,23913,56.52,0.6420954939729913
SOLUSDT,100,7,14,-583.3898524493566,24247,56.6,0.6444130133524527
SOLUSDT,100,9,2,-417.72752000306866,17475,56.45,0.6452109977878981
SOLUSDT,100,9,7,-601.9157228383084,24548,56.44,0.6391660588536342
SOLUSDT,100,9,14,-616.4301022667453,24925,56.51,0.6374885876236505
XLMUSDT,20,5,2,-636.508045289034,20952,47.54,0.5420038033295251
XLMUSDT,20,5,7,-931.333994583806,29641,46.46,0.5257810419522679
XLMUSDT,20,5,14,-940.634718806572,29856,46.3,0.5250073554307766
XLMUSDT,20,7,2,-642.6863449846876,21094,47.56,0.5413649021518818
XLMUSDT,20,7,7,-978.7026118476165,31246,46.62,0.5268142452125013
XLMUSDT,20,7,14,-989.2552539844473,31566,46.52,0.5267974277612634
XLMUSDT,20,9,2,-644.9685907554006,21181,47.6,0.5418626180156997
XLMUSDT,20,9,7,-1023.7562328324971,32451,46.6,0.5245914928912851
XLMUSDT,20,9,14,-1042.7049634305656,32882,46.47,0.52300255532875
XLMUSDT,50,5,2,-556.9852120628782,18116,47.09,0.5394504546908635
XLMUSDT,50,5,7,-815.5546605363223,25778,45.96,0.5242143582750157
XLMUSDT,50,5,14,-824.360162828272,26143,45.95,0.5252855250261853
XLMUSDT,50,7,2,-559.4937241285238,18047,47.04,0.5370868826159555
XLMUSDT,50,7,7,-855.6896810244536,26794,46.04,0.5210898157633213
XLMUSDT,50,7,14,-867.7868230201549,27244,46.0,0.5220177186260013
XLMUSDT,50,9,2,-564.6501036622041,17982,46.89,0.5328302390605975
XLMUSDT,50,9,7,-884.3589913632786,27620,45.96,0.5200940409283665
XLMUSDT,50,9,14,-907.6059899787864,28178,45.84,0.5188087063821325
XLMUSDT,100,5,2,-514.1067738162725,16719,46.93,0.5412145961416345
XLMUSDT,100,5,7,-746.0893918656874,23532,45.73,0.5253555519390797
XLMUSDT,100,5,14,-758.5801294001583,24086,45.76,0.5271329755791472
XLMUSDT,100,7,2,-513.4953821173963,16515,46.87,0.5378960264758718
XLMUSDT,100,7,7,-778.634807328314,24257,45.76,0.5215867676300983
XLMUSDT,100,7,14,-791.2543715365035,24808,45.76,0.5235532017838234
XLMUSDT,100,9,2,-514.6951293284756,16333,46.65,0.5326624771311216
XLMUSDT,100,9,7,-801.5649846444005,24832,45.73,0.518779120317412
XLMUSDT,100,9,14,-820.7350426168872,25436,45.67,0.5194688175777311
LINKUSDT,20,5,2,-592.4541269700201,22060,55.18,0.599886728734096
LINKUSDT,20,5,7,-790.7633689104989,28874,54.83,0.5935268988471125
LINKUSDT,20,5,14,-789.9160335376858,28902,54.83,0.5942502188067066
LINKUSDT,20,7,2,-594.0177114170428,22223,55.29,0.601123726206574
LINKUSDT,20,7,7,-825.0443548192809,30351,54.93,0.5955135925017142
LINKUSDT,20,7,14,-822.7849932819323,30475,55.0,0.5977896909271969
LINKUSDT,20,9,2,-598.7465311199724,22360,55.25,0.6007835012301267
LINKUSDT,20,9,7,-858.3123097256047,31619,55.0,0.5963810405131563
LINKUSDT,20,9,14,-858.3887685273622,31847,55.09,0.5985507372781831
LINKUSDT,50,5,2,-498.9625895636791,19028,55.01,0.6066898438984596
LINKUSDT,50,5,7,-674.4736166484561,24889,54.63,0.5964078103096844
LINKUSDT,50,5,14,-674.3319759360727,25089,54.74,0.5993032800143621
LINKUSDT,50,7,2,-499.4510291797661,18942,55.03,0.6055281808900144
LINKUSDT,50,7,7,-696.5928722292604,25827,54.76,0.5978623482847131
LINKUSDT,50,7,14,-701.3229225878598,26103,54.88,0.5996059301852984
LINKUSDT,50,9,2,-491.096715634043,18860,55.16,0.6091927827633928
LINKUSDT,50,9,7,-726.1213734167433,26667,54.72,0.5954242964371983
LINKUSDT,50,9,14,-733.9912169004301,27051,54.86,0.596952115521825
LINKUSDT,100,5,2,-443.617905055131,17644,55.62,0.6195379375565546
LINKUSDT,100,5,7,-595.4741716568673,22907,55.21,0.6099947804244086
LINKUSDT,100,5,14,-601.8621533409674,23235,55.32,0.6114669894048889
LINKUSDT,100,7,2,-443.35050805302365,17399,55.56,0.6164528581532298
LINKUSDT,100,7,7,-610.9956468758744,23554,55.31,0.6105014380055032
LINKUSDT,100,7,14,-619.9010399222345,23897,55.4,0.6113756414588046
