symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_003_vwap_bounce,2025-01-01T14:35:00+00:00,2025-01-01T14:50:00+00:00,93911.436363,94211.403577,20.0,0.0639,,stop,3
BTCUSDT,F_003_vwap_bounce,2025-01-03T04:05:00+00:00,2025-01-03T04:05:00+00:00,97130.1052,96844.112546,20.0,-0.0589,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-01-03T13:10:00+00:00,2025-01-03T13:10:00+00:00,96893.39788,96570.395806,20.0,-0.0667,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-01-03T14:40:00+00:00,2025-01-03T14:45:00+00:00,97440.798577,96933.479594,20.0,-0.1041,,stop,1
BTCUSDT,F_003_vwap_bounce,2025-01-19T04:25:00+00:00,2025-01-19T05:00:00+00:00,105232.604774,104664.792002,20.0,-0.1079,,stop,7
BTCUSDT,F_003_vwap_bounce,2025-01-23T15:10:00+00:00,2025-01-23T15:25:00+00:00,103615.555339,104120.048725,20.0,0.0974,,stop,3
BTCUSDT,F_003_vwap_bounce,2025-01-23T15:25:00+00:00,2025-01-23T15:35:00+00:00,104280.849098,104613.937772,20.0,0.0639,,stop,2
BTCUSDT,F_003_vwap_bounce,2025-01-28T18:15:00+00:00,2025-01-28T18:40:00+00:00,103164.349533,102486.236855,20.0,-0.1315,,stop,5
BTCUSDT,F_003_vwap_bounce,2025-02-01T02:05:00+00:00,2025-02-01T02:50:00+00:00,102703.761546,102360.977631,20.0,-0.0668,,stop,9
BTCUSDT,F_003_vwap_bounce,2025-02-03T14:35:00+00:00,2025-02-03T14:40:00+00:00,96214.676688,96522.000798,20.0,0.0639,,stop,1
BTCUSDT,F_003_vwap_bounce,2025-02-04T19:50:00+00:00,2025-02-04T19:50:00+00:00,99715.712125,98789.632716,20.0,-0.1857,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-02-05T13:05:00+00:00,2025-02-05T13:30:00+00:00,98195.618569,98509.270104,20.0,0.0639,,stop,5
BTCUSDT,F_003_vwap_bounce,2025-02-12T01:35:00+00:00,2025-02-12T02:45:00+00:00,96053.877921,95670.699832,20.0,-0.0798,,stop,14
BTCUSDT,F_003_vwap_bounce,2025-02-12T06:40:00+00:00,2025-02-12T06:45:00+00:00,95949.222045,95640.263574,20.0,-0.0644,,stop,1
BTCUSDT,F_003_vwap_bounce,2025-02-15T12:40:00+00:00,2025-02-15T12:40:00+00:00,97868.854327,97583.332293,20.0,-0.0583,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-02-18T14:45:00+00:00,2025-02-18T14:45:00+00:00,96066.043716,95563.599324,20.0,-0.1046,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-02-20T02:40:00+00:00,2025-02-20T03:00:00+00:00,96997.9336,97307.75955,20.0,0.0639,,stop,4
BTCUSDT,F_003_vwap_bounce,2025-03-02T08:05:00+00:00,2025-03-02T08:05:00+00:00,86188.729879,85836.415857,20.0,-0.0818,,stop,0
BTCUSDT,F_003_vwap_bounce,2025-03-07T00:05:00+00:00,2025-03-07T00:15:00+00:00,90245.26653,91091.420592,20.0,0.1875,,stop,2
BTCUSDT,F_003_vwap_bounce,2025-03-08T23:10:00+00:00,2025-03-08T23:35:00+00:00,86462.124831,86099.658149,20.0,-0.0838,,stop,5
