symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_003_vwap_bounce,2025-01-01T19:40:00+00:00,2025-01-01T19:50:00+00:00,3353.724181,3364.436479,20.0,0.0639,,stop,2
ETHUSDT,F_003_vwap_bounce,2025-01-02T04:00:00+00:00,2025-01-02T04:50:00+00:00,3392.945102,3420.345731,20.0,0.1615,,stop,10
ETHUSDT,F_003_vwap_bounce,2025-01-05T00:10:00+00:00,2025-01-05T00:20:00+00:00,3661.533814,3673.229302,20.0,0.0639,,stop,2
ETHUSDT,F_003_vwap_bounce,2025-01-07T00:20:00+00:00,2025-01-07T00:40:00+00:00,3688.709096,3674.886953,20.0,-0.0749,,stop,4
ETHUSDT,F_003_vwap_bounce,2025-01-08T14:35:00+00:00,2025-01-08T14:35:00+00:00,3382.561621,3357.693794,20.0,-0.147,,stop,0
ETHUSDT,F_003_vwap_bounce,2025-01-08T14:50:00+00:00,2025-01-08T15:05:00+00:00,3366.400639,3377.153428,20.0,0.0639,,stop,3
ETHUSDT,F_003_vwap_bounce,2025-01-15T00:25:00+00:00,2025-01-15T00:30:00+00:00,3241.989114,3224.070937,20.0,-0.1105,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-01-20T17:05:00+00:00,2025-01-20T17:10:00+00:00,3317.457095,3334.787493,20.0,0.1045,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-01-23T15:25:00+00:00,2025-01-23T15:40:00+00:00,3243.891584,3254.25306,20.0,0.0639,,stop,3
ETHUSDT,F_003_vwap_bounce,2025-01-28T03:05:00+00:00,2025-01-28T03:25:00+00:00,3186.146613,3196.323643,20.0,0.0639,,stop,4
ETHUSDT,F_003_vwap_bounce,2025-02-11T12:05:00+00:00,2025-02-11T12:10:00+00:00,2704.901807,2691.378461,20.0,-0.1,,stop,1
ETHUSDT,F_003_vwap_bounce,2025-02-14T01:50:00+00:00,2025-02-14T01:55:00+00:00,2679.57893,2688.137907,20.0,0.0639,,stop,1
