symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_003_vwap_bounce,2025-01-01T02:40:00+00:00,2025-01-01T03:00:00+00:00,5.002495,4.970311,20.0,-0.1287,,stop,4
FILUSDT,F_003_vwap_bounce,2025-01-05T00:20:00+00:00,2025-01-05T00:40:00+00:00,5.659348,5.625026,20.0,-0.1213,,stop,4
FILUSDT,F_003_vwap_bounce,2025-01-07T14:45:00+00:00,2025-01-07T14:55:00+00:00,6.025823,5.971479,20.0,-0.1804,,stop,2
FILUSDT,F_003_vwap_bounce,2025-01-12T03:10:00+00:00,2025-01-12T03:20:00+00:00,5.225785,5.19331,20.0,-0.1243,,stop,2
FILUSDT,F_003_vwap_bounce,2025-01-20T17:10:00+00:00,2025-01-20T17:15:00+00:00,5.217774,5.234441,20.0,0.0639,,stop,1
FILUSDT,F_003_vwap_bounce,2025-01-22T01:20:00+00:00,2025-01-22T01:40:00+00:00,5.280856,5.231047,20.0,-0.1886,,stop,4
FILUSDT,F_003_vwap_bounce,2025-01-23T15:25:00+00:00,2025-01-23T15:35:00+00:00,5.004497,5.020483,20.0,0.0639,,stop,2
FILUSDT,F_003_vwap_bounce,2025-01-25T12:15:00+00:00,2025-01-25T12:30:00+00:00,5.020518,4.992163,20.0,-0.113,,stop,3
FILUSDT,F_003_vwap_bounce,2025-01-25T14:10:00+00:00,2025-01-25T14:10:00+00:00,5.01451,4.982739,20.0,-0.1267,,stop,0
FILUSDT,F_003_vwap_bounce,2025-02-05T09:05:00+00:00,2025-02-05T09:30:00+00:00,3.353354,3.324455,20.0,-0.1724,,stop,5
FILUSDT,F_003_vwap_bounce,2025-02-07T01:35:00+00:00,2025-02-07T01:40:00+00:00,3.156098,3.166179,20.0,0.0639,,stop,1
FILUSDT,F_003_vwap_bounce,2025-02-11T12:10:00+00:00,2025-02-11T12:15:00+00:00,3.48152,3.460016,20.0,-0.1235,,stop,1
FILUSDT,F_003_vwap_bounce,2025-02-12T00:05:00+00:00,2025-02-12T00:15:00+00:00,3.347346,3.321166,20.0,-0.1564,,stop,2
FILUSDT,F_003_vwap_bounce,2025-02-13T00:10:00+00:00,2025-02-13T00:45:00+00:00,3.476514,3.453019,20.0,-0.1352,,stop,7
FILUSDT,F_003_vwap_bounce,2025-02-15T01:40:00+00:00,2025-02-15T02:05:00+00:00,3.530584,3.541861,20.0,0.0639,,stop,5
FILUSDT,F_003_vwap_bounce,2025-02-16T06:45:00+00:00,2025-02-16T07:00:00+00:00,3.398412,3.379156,20.0,-0.1133,,stop,3
FILUSDT,F_003_vwap_bounce,2025-02-21T00:10:00+00:00,2025-02-21T00:20:00+00:00,3.506553,3.517753,20.0,0.0639,,stop,2
