symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_003_vwap_bounce,2025-01-02T02:20:00+00:00,2025-01-02T03:00:00+00:00,5.573236,5.591038,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-01-03T04:45:00+00:00,2025-01-03T05:00:00+00:00,5.67637,5.651585,20.0,-0.0873,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-01-05T22:20:00+00:00,2025-01-05T23:00:00+00:00,5.69239,5.710573,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-01-07T14:35:00+00:00,2025-01-07T14:45:00+00:00,5.716422,5.734681,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-01-11T03:20:00+00:00,2025-01-11T04:20:00+00:00,5.381988,5.399178,20.0,0.0639,,stop,12
GRAMUSDT,F_003_vwap_bounce,2025-01-16T03:35:00+00:00,2025-01-16T03:35:00+00:00,5.485121,5.455734,20.0,-0.1072,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-01-16T11:10:00+00:00,2025-01-16T11:15:00+00:00,5.517163,5.534786,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-01-16T11:30:00+00:00,2025-01-16T11:45:00+00:00,5.509153,5.52675,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-01-17T05:15:00+00:00,2025-01-17T05:40:00+00:00,5.526175,5.501014,20.0,-0.0911,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-01-21T00:35:00+00:00,2025-01-21T00:45:00+00:00,5.064575,5.080752,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-01-22T13:55:00+00:00,2025-01-22T14:10:00+00:00,5.232794,5.249508,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-02-01T02:05:00+00:00,2025-02-01T02:45:00+00:00,4.869322,4.884875,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-02-01T03:35:00+00:00,2025-02-01T03:55:00+00:00,4.882339,4.860155,20.0,-0.0909,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-02-01T13:50:00+00:00,2025-02-01T13:50:00+00:00,4.876331,4.85387,20.0,-0.0921,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-02-01T13:55:00+00:00,2025-02-01T13:55:00+00:00,4.880336,4.855872,20.0,-0.1003,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-02-02T09:25:00+00:00,2025-02-02T09:40:00+00:00,4.598971,4.613661,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-02-05T08:35:00+00:00,2025-02-05T09:00:00+00:00,3.815954,3.828143,20.0,0.0639,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-02-06T02:05:00+00:00,2025-02-06T02:20:00+00:00,3.814953,3.827139,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-02-08T11:00:00+00:00,2025-02-08T12:30:00+00:00,3.721832,3.697448,20.0,-0.131,,stop,18
GRAMUSDT,F_003_vwap_bounce,2025-02-09T03:05:00+00:00,2025-02-09T03:35:00+00:00,3.760883,3.772896,20.0,0.0639,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-02-10T17:25:00+00:00,2025-02-10T19:10:00+00:00,3.81996,3.832161,20.0,0.0639,,stop,21
GRAMUSDT,F_003_vwap_bounce,2025-02-12T09:10:00+00:00,2025-02-12T09:45:00+00:00,3.731845,3.743765,20.0,0.0639,,stop,7
GRAMUSDT,F_003_vwap_bounce,2025-02-14T00:50:00+00:00,2025-02-14T01:30:00+00:00,3.745863,3.720877,20.0,-0.1334,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-02-18T13:35:00+00:00,2025-02-18T14:05:00+00:00,3.687788,3.699567,20.0,0.0639,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-02-18T14:40:00+00:00,2025-02-18T14:45:00+00:00,3.686787,3.659452,20.0,-0.1483,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-02-21T05:15:00+00:00,2025-02-21T07:10:00+00:00,3.588659,3.600122,20.0,0.0639,,stop,23
GRAMUSDT,F_003_vwap_bounce,2025-02-23T07:15:00+00:00,2025-02-23T07:45:00+00:00,3.766891,3.778923,20.0,0.0639,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-02-26T07:40:00+00:00,2025-02-26T07:40:00+00:00,3.591663,3.566592,20.0,-0.1396,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-02-26T08:00:00+00:00,2025-02-26T08:10:00+00:00,3.587658,3.555458,20.0,-0.1795,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-03-01T04:15:00+00:00,2025-03-01T04:45:00+00:00,3.325317,3.335939,20.0,0.0639,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-03-04T14:55:00+00:00,2025-03-04T15:00:00+00:00,3.081,3.090841,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-06T03:55:00+00:00,2025-03-06T04:35:00+00:00,3.035942,3.045639,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-03-06T04:25:00+00:00,2025-03-06T04:35:00+00:00,3.038946,3.048652,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-03-10T04:05:00+00:00,2025-03-10T06:20:00+00:00,2.686488,2.695069,20.0,0.0639,,stop,27
GRAMUSDT,F_003_vwap_bounce,2025-03-10T06:45:00+00:00,2025-03-10T07:05:00+00:00,2.686488,2.695069,20.0,0.0639,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-03-12T02:10:00+00:00,2025-03-12T02:15:00+00:00,2.662457,2.670961,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-14T14:05:00+00:00,2025-03-14T14:05:00+00:00,2.839687,2.816735,20.0,-0.1617,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-03-15T03:35:00+00:00,2025-03-15T03:50:00+00:00,2.933809,2.94318,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-03-18T05:45:00+00:00,2025-03-18T06:15:00+00:00,3.482521,3.451029,20.0,-0.1809,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-03-19T08:55:00+00:00,2025-03-19T10:25:00+00:00,3.606683,3.564043,20.0,-0.2364,,stop,18
GRAMUSDT,F_003_vwap_bounce,2025-03-20T01:10:00+00:00,2025-03-20T01:20:00+00:00,3.671767,3.683495,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-03-25T07:00:00+00:00,2025-03-25T07:25:00+00:00,3.668763,3.680482,20.0,0.0639,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-03-27T08:40:00+00:00,2025-03-27T08:45:00+00:00,3.824966,3.842289,20.0,0.0906,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-30T02:05:00+00:00,2025-03-30T02:20:00+00:00,3.683783,3.716183,20.0,0.1759,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-03-30T16:55:00+00:00,2025-03-30T17:00:00+00:00,3.802937,3.815085,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-03-31T02:00:00+00:00,2025-03-31T03:00:00+00:00,3.909075,3.921561,20.0,0.0639,,stop,12
GRAMUSDT,F_003_vwap_bounce,2025-03-31T03:30:00+00:00,2025-03-31T03:45:00+00:00,3.925096,3.89417,20.0,-0.1576,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-03-31T03:55:00+00:00,2025-03-31T04:05:00+00:00,3.907073,3.872032,20.0,-0.1794,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-04-08T13:40:00+00:00,2025-04-08T14:20:00+00:00,3.134069,3.145593,20.0,0.0735,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-04-11T03:20:00+00:00,2025-04-11T04:00:00+00:00,2.937814,2.916446,20.0,-0.1455,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-04-11T08:05:00+00:00,2025-04-11T08:10:00+00:00,2.929804,2.939162,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-04-14T18:30:00+00:00,2025-04-14T19:20:00+00:00,2.841689,2.850766,20.0,0.0639,,stop,10
GRAMUSDT,F_003_vwap_bounce,2025-04-15T05:35:00+00:00,2025-04-15T06:05:00+00:00,2.927801,2.937153,20.0,0.0639,,stop,6
GRAMUSDT,F_003_vwap_bounce,2025-04-17T02:35:00+00:00,2025-04-17T02:40:00+00:00,2.945825,2.920166,20.0,-0.1742,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-04-20T00:45:00+00:00,2025-04-20T00:50:00+00:00,2.979869,2.965437,20.0,-0.0969,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-04-21T05:30:00+00:00,2025-04-21T05:55:00+00:00,3.02693,3.036598,20.0,0.0639,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-04-26T03:25:00+00:00,2025-04-26T03:30:00+00:00,3.253224,3.234014,20.0,-0.1181,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-01T13:45:00+00:00,2025-05-01T14:40:00+00:00,3.188139,3.198323,20.0,0.0639,,stop,11
GRAMUSDT,F_003_vwap_bounce,2025-05-03T03:35:00+00:00,2025-05-03T03:50:00+00:00,3.182131,3.192296,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-05-04T04:40:00+00:00,2025-05-04T05:05:00+00:00,3.088009,3.097873,20.0,0.0639,,stop,5
GRAMUSDT,F_003_vwap_bounce,2025-05-07T10:30:00+00:00,2025-05-07T12:10:00+00:00,3.017918,3.004579,20.0,-0.0884,,stop,20
GRAMUSDT,F_003_vwap_bounce,2025-05-09T03:40:00+00:00,2025-05-09T03:55:00+00:00,3.208165,3.179455,20.0,-0.179,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-05-12T05:25:00+00:00,2025-05-12T05:30:00+00:00,3.451481,3.418317,20.0,-0.1922,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-12T07:50:00+00:00,2025-05-12T07:55:00+00:00,3.476514,3.487618,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-17T12:10:00+00:00,2025-05-17T13:00:00+00:00,3.064979,3.044302,20.0,-0.1349,,stop,10
GRAMUSDT,F_003_vwap_bounce,2025-05-17T18:15:00+00:00,2025-05-17T18:20:00+00:00,3.070987,3.080796,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-19T18:35:00+00:00,2025-05-19T18:40:00+00:00,2.999895,3.009477,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-05-21T05:50:00+00:00,2025-05-21T06:05:00+00:00,3.082001,3.091846,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-05-24T19:05:00+00:00,2025-05-24T19:45:00+00:00,3.020922,3.030571,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-05-26T21:55:00+00:00,2025-05-26T22:15:00+00:00,2.989882,2.999432,20.0,0.0639,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-05-29T13:50:00+00:00,2025-05-29T13:55:00+00:00,3.342339,3.353015,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-02T00:10:00+00:00,2025-06-02T00:15:00+00:00,3.199154,3.180157,20.0,-0.1188,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-03T09:35:00+00:00,2025-06-03T09:50:00+00:00,3.217177,3.227453,20.0,0.0639,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-06-04T04:20:00+00:00,2025-06-04T04:25:00+00:00,3.210168,3.191442,20.0,-0.1167,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-06T04:15:00+00:00,2025-06-06T05:30:00+00:00,3.074992,3.05045,20.0,-0.1596,,stop,15
GRAMUSDT,F_003_vwap_bounce,2025-06-10T01:40:00+00:00,2025-06-10T02:40:00+00:00,3.324316,3.334934,20.0,0.0639,,stop,12
GRAMUSDT,F_003_vwap_bounce,2025-06-11T15:20:00+00:00,2025-06-11T15:40:00+00:00,3.285265,3.295759,20.0,0.0639,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-06-11T16:20:00+00:00,2025-06-11T16:30:00+00:00,3.286267,3.296763,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-06-12T05:45:00+00:00,2025-06-12T07:50:00+00:00,3.21918,3.229462,20.0,0.0639,,stop,25
GRAMUSDT,F_003_vwap_bounce,2025-06-15T00:15:00+00:00,2025-06-15T01:05:00+00:00,2.954836,2.964274,20.0,0.0639,,stop,10
GRAMUSDT,F_003_vwap_bounce,2025-06-15T06:25:00+00:00,2025-06-15T07:00:00+00:00,2.967853,2.954864,20.0,-0.0875,,stop,7
GRAMUSDT,F_003_vwap_bounce,2025-06-18T04:35:00+00:00,2025-06-18T05:30:00+00:00,2.98087,2.990391,20.0,0.0639,,stop,11
GRAMUSDT,F_003_vwap_bounce,2025-06-18T19:15:00+00:00,2025-06-18T20:50:00+00:00,2.9268,2.950793,20.0,0.164,,stop,19
GRAMUSDT,F_003_vwap_bounce,2025-06-19T14:10:00+00:00,2025-06-19T14:30:00+00:00,2.940818,2.950212,20.0,0.0639,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-06-24T14:10:00+00:00,2025-06-24T14:20:00+00:00,2.910779,2.920077,20.0,0.0639,,stop,2
GRAMUSDT,F_003_vwap_bounce,2025-06-26T01:30:00+00:00,2025-06-26T01:35:00+00:00,2.851702,2.860811,20.0,0.0639,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-27T01:15:00+00:00,2025-06-27T02:15:00+00:00,2.833679,2.84273,20.0,0.0639,,stop,12
GRAMUSDT,F_003_vwap_bounce,2025-06-27T07:30:00+00:00,2025-06-27T07:35:00+00:00,2.837684,2.825435,20.0,-0.0863,,stop,1
GRAMUSDT,F_003_vwap_bounce,2025-06-27T12:55:00+00:00,2025-06-27T13:40:00+00:00,2.840688,2.849762,20.0,0.0639,,stop,9
GRAMUSDT,F_003_vwap_bounce,2025-06-28T20:55:00+00:00,2025-06-28T21:35:00+00:00,2.847697,2.856793,20.0,0.0639,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-06-29T06:15:00+00:00,2025-06-29T06:15:00+00:00,2.851702,2.839863,20.0,-0.083,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-06-29T06:35:00+00:00,2025-06-29T09:35:00+00:00,2.851702,2.860811,20.0,0.0639,,stop,36
GRAMUSDT,F_003_vwap_bounce,2025-06-30T00:25:00+00:00,2025-06-30T00:40:00+00:00,2.916787,2.901724,20.0,-0.1033,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-07-04T03:35:00+00:00,2025-07-04T04:35:00+00:00,2.83468,2.821151,20.0,-0.0955,,stop,12
GRAMUSDT,F_003_vwap_bounce,2025-07-07T02:25:00+00:00,2025-07-07T03:05:00+00:00,2.844693,2.827156,20.0,-0.1233,,stop,8
GRAMUSDT,F_003_vwap_bounce,2025-07-08T00:55:00+00:00,2025-07-08T01:10:00+00:00,2.742561,2.726583,20.0,-0.1165,,stop,3
GRAMUSDT,F_003_vwap_bounce,2025-07-09T20:15:00+00:00,2025-07-09T20:35:00+00:00,2.827671,2.836703,20.0,0.0639,,stop,4
GRAMUSDT,F_003_vwap_bounce,2025-07-11T06:10:00+00:00,2025-07-11T06:10:00+00:00,2.994888,2.968596,20.0,-0.1756,,stop,0
GRAMUSDT,F_003_vwap_bounce,2025-07-13T02:05:00+00:00,2025-07-13T02:05:00+00:00,3.01191,2.995012,20.0,-0.1122,,stop,0
