symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
RENDERUSDT,8,20,1.0,-2.4344900176059174,137,68.61,0.7439900127844669
RENDERUSDT,8,20,1.2,-3.2278914994635337,113,65.49,0.6295344113468255
RENDERUSDT,8,20,1.5,-1.2975774489833483,84,70.24,0.7692832887390506
RENDERUSDT,8,21,1.0,-1.033149079146117,132,71.97,0.8735729305481155
RENDERUSDT,8,21,1.2,-2.086423351237907,109,68.81,0.7267463418099375
RENDERUSDT,8,21,1.5,-0.6555997955314151,80,72.5,0.8667007289936938
RENDERUSDT,9,20,1.0,-2.8395115793963077,140,67.14,0.713596576001721
RENDERUSDT,9,20,1.2,-3.482884302403701,115,64.35,0.6116345815715398
RENDERUSDT,9,20,1.5,-1.6803362519235132,84,67.86,0.7141851886051102
RENDERUSDT,9,21,1.0,-1.428646766498571,135,70.37,0.834141079479274
RENDERUSDT,9,21,1.2,-2.2680092797401357,112,67.86,0.7138946279679536
RENDERUSDT,9,21,1.5,-0.9725801167522293,84,70.24,0.8180511538253464
