symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_003_vwap_bounce,2025-01-01T13:20:00+00:00,2025-01-01T13:40:00+00:00,6.774796,6.796436,20.0,0.0639,,stop,4
RENDERUSDT,F_003_vwap_bounce,2025-01-01T14:35:00+00:00,2025-01-01T14:40:00+00:00,6.779802,6.801458,20.0,0.0639,,stop,1
RENDERUSDT,F_003_vwap_bounce,2025-01-03T03:10:00+00:00,2025-01-03T03:55:00+00:00,7.649932,7.674367,20.0,0.0639,,stop,9
RENDERUSDT,F_003_vwap_bounce,2025-01-03T10:05:00+00:00,2025-01-03T10:10:00+00:00,7.621896,7.646241,20.0,0.0639,,stop,1
RENDERUSDT,F_003_vwap_bounce,2025-01-04T03:25:00+00:00,2025-01-04T03:40:00+00:00,8.012403,8.037995,20.0,0.0639,,stop,3
RENDERUSDT,F_003_vwap_bounce,2025-01-04T15:30:00+00:00,2025-01-04T15:30:00+00:00,8.14157,8.054372,20.0,-0.2142,,stop,0
RENDERUSDT,F_003_vwap_bounce,2025-01-04T19:10:00+00:00,2025-01-04T19:20:00+00:00,8.099516,8.125387,20.0,0.0639,,stop,2
RENDERUSDT,F_003_vwap_bounce,2025-01-04T23:00:00+00:00,2025-01-04T23:05:00+00:00,8.088501,8.036469,20.0,-0.1287,,stop,1
RENDERUSDT,F_003_vwap_bounce,2025-01-26T01:20:00+00:00,2025-01-26T01:45:00+00:00,7.015108,6.96975,20.0,-0.1293,,stop,5
RENDERUSDT,F_003_vwap_bounce,2025-01-26T05:15:00+00:00,2025-01-26T07:05:00+00:00,7.046148,7.068655,20.0,0.0639,,stop,22
RENDERUSDT,F_003_vwap_bounce,2025-01-26T14:20:00+00:00,2025-01-26T14:20:00+00:00,7.066174,7.019323,20.0,-0.1326,,stop,0
RENDERUSDT,F_003_vwap_bounce,2025-01-31T02:20:00+00:00,2025-01-31T02:40:00+00:00,5.913678,5.861334,20.0,-0.177,,stop,4
RENDERUSDT,F_003_vwap_bounce,2025-02-01T06:15:00+00:00,2025-02-01T06:30:00+00:00,5.972755,5.929607,20.0,-0.1445,,stop,3
RENDERUSDT,F_003_vwap_bounce,2025-02-04T16:15:00+00:00,2025-02-04T16:40:00+00:00,4.848295,4.734418,20.0,-0.4698,,stop,5
RENDERUSDT,F_003_vwap_bounce,2025-02-04T19:05:00+00:00,2025-02-04T19:15:00+00:00,4.792222,4.835828,20.0,0.182,,stop,2
RENDERUSDT,F_003_vwap_bounce,2025-02-05T09:05:00+00:00,2025-02-05T09:20:00+00:00,4.679075,4.620774,20.0,-0.2492,,stop,3
RENDERUSDT,F_003_vwap_bounce,2025-02-06T05:35:00+00:00,2025-02-06T05:40:00+00:00,4.581949,4.596584,20.0,0.0639,,stop,1
