symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
XLMUSDT,8,20,1.0,-17.46583792087699,570,46.67,0.5114629636998917
XLMUSDT,8,20,1.2,-14.18595522544754,459,46.62,0.5053401530587974
XLMUSDT,8,20,1.5,-11.00144417300063,326,44.48,0.4708763434890788
XLMUSDT,8,21,1.0,-18.210343647002304,558,45.7,0.489052943771472
XLMUSDT,8,21,1.2,-14.322919919973248,442,45.93,0.48773033056565684
XLMUSDT,8,21,1.5,-11.107739311677934,315,43.81,0.4553656780516013
XLMUSDT,9,20,1.0,-17.861610670294947,592,47.13,0.5167333334099423
XLMUSDT,9,20,1.2,-14.15571911606868,475,47.37,0.517417696341411
XLMUSDT,9,20,1.5,-11.132545557818961,339,45.13,0.48019034815054257
XLMUSDT,9,21,1.0,-18.185134249285028,579,46.63,0.5029197736071379
XLMUSDT,9,21,1.2,-14.346164369262238,457,46.61,0.49895163313744106
XLMUSDT,9,21,1.5,-11.426528365948846,327,44.04,0.45937095550616236
