symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_004_orb_retest,2025-01-01T12:40:00+00:00,2025-01-01T13:05:00+00:00,4.985473,5.001397,20.0,0.0639,,stop,5
FILUSDT,F_004_orb_retest,2025-01-01T13:15:00+00:00,2025-01-01T14:05:00+00:00,4.985473,5.004444,20.0,0.0761,,stop,10
FILUSDT,F_004_orb_retest,2025-01-01T14:00:00+00:00,2025-01-01T14:05:00+00:00,4.993483,5.009433,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-01T15:20:00+00:00,2025-01-01T15:45:00+00:00,4.994484,5.010438,20.0,0.0639,,stop,5
FILUSDT,F_004_orb_retest,2025-01-01T15:40:00+00:00,2025-01-01T15:45:00+00:00,4.989478,5.005415,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-02T00:20:00+00:00,2025-01-02T00:25:00+00:00,5.159699,5.203056,20.0,0.1681,,stop,1
FILUSDT,F_004_orb_retest,2025-01-03T00:30:00+00:00,2025-01-03T00:30:00+00:00,5.334926,5.303309,20.0,-0.1185,,stop,0
FILUSDT,F_004_orb_retest,2025-01-03T01:55:00+00:00,2025-01-03T02:00:00+00:00,5.330921,5.291462,20.0,-0.148,,stop,1
FILUSDT,F_004_orb_retest,2025-01-03T02:10:00+00:00,2025-01-03T02:15:00+00:00,5.333925,5.350962,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-03T09:10:00+00:00,2025-01-03T09:20:00+00:00,5.336929,5.353976,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,5.696396,5.714591,20.0,0.0639,,stop,12
FILUSDT,F_004_orb_retest,2025-01-04T13:20:00+00:00,2025-01-04T14:00:00+00:00,5.693392,5.711577,20.0,0.0639,,stop,8
FILUSDT,F_004_orb_retest,2025-01-04T13:30:00+00:00,2025-01-04T14:00:00+00:00,5.694393,5.712582,20.0,0.0639,,stop,6
FILUSDT,F_004_orb_retest,2025-01-04T14:25:00+00:00,2025-01-04T14:35:00+00:00,5.698398,5.7166,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-05T00:20:00+00:00,2025-01-05T00:40:00+00:00,5.659348,5.625026,20.0,-0.1213,,stop,4
FILUSDT,F_004_orb_retest,2025-01-05T00:35:00+00:00,2025-01-05T00:40:00+00:00,5.655342,5.621454,20.0,-0.1198,,stop,1
FILUSDT,F_004_orb_retest,2025-01-05T04:45:00+00:00,2025-01-05T05:15:00+00:00,5.647332,5.614024,20.0,-0.118,,stop,6
FILUSDT,F_004_orb_retest,2025-01-05T06:45:00+00:00,2025-01-05T07:05:00+00:00,5.650336,5.668384,20.0,0.0639,,stop,4
FILUSDT,F_004_orb_retest,2025-01-05T07:35:00+00:00,2025-01-05T08:00:00+00:00,5.651337,5.617882,20.0,-0.1184,,stop,5
FILUSDT,F_004_orb_retest,2025-01-05T09:00:00+00:00,2025-01-05T09:25:00+00:00,5.655342,5.608613,20.0,-0.1653,,stop,5
FILUSDT,F_004_orb_retest,2025-01-05T16:10:00+00:00,2025-01-05T16:15:00+00:00,5.656344,5.607473,20.0,-0.1728,,stop,1
FILUSDT,F_004_orb_retest,2025-01-05T17:15:00+00:00,2025-01-05T17:30:00+00:00,5.652338,5.670393,20.0,0.0639,,stop,3
FILUSDT,F_004_orb_retest,2025-01-05T18:20:00+00:00,2025-01-05T18:30:00+00:00,5.664354,5.682447,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-06T01:50:00+00:00,2025-01-06T01:55:00+00:00,6.005797,6.043008,20.0,0.1239,,stop,1
FILUSDT,F_004_orb_retest,2025-01-07T06:15:00+00:00,2025-01-07T06:25:00+00:00,6.002794,6.021967,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-07T14:40:00+00:00,2025-01-07T14:55:00+00:00,6.01581,5.96205,20.0,-0.1787,,stop,3
FILUSDT,F_004_orb_retest,2025-01-08T00:20:00+00:00,2025-01-08T00:40:00+00:00,5.437059,5.454426,20.0,0.0639,,stop,4
FILUSDT,F_004_orb_retest,2025-01-08T00:30:00+00:00,2025-01-08T00:35:00+00:00,5.421038,5.438354,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-09T01:05:00+00:00,2025-01-09T01:10:00+00:00,5.157696,5.174171,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-09T01:15:00+00:00,2025-01-09T01:25:00+00:00,5.151688,5.170893,20.0,0.0746,,stop,2
FILUSDT,F_004_orb_retest,2025-01-09T02:05:00+00:00,2025-01-09T02:05:00+00:00,5.157696,5.113897,20.0,-0.1698,,stop,0
FILUSDT,F_004_orb_retest,2025-01-09T02:45:00+00:00,2025-01-09T03:30:00+00:00,5.164705,5.100637,20.0,-0.2481,,stop,9
FILUSDT,F_004_orb_retest,2025-01-09T02:55:00+00:00,2025-01-09T03:05:00+00:00,5.15269,5.169148,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-09T15:35:00+00:00,2025-01-09T15:50:00+00:00,5.149686,5.166135,20.0,0.0639,,stop,3
FILUSDT,F_004_orb_retest,2025-01-09T15:50:00+00:00,2025-01-09T15:55:00+00:00,5.167709,5.184216,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-09T16:20:00+00:00,2025-01-09T16:55:00+00:00,5.154692,5.171157,20.0,0.0639,,stop,7
FILUSDT,F_004_orb_retest,2025-01-09T17:05:00+00:00,2025-01-09T17:45:00+00:00,5.155694,5.095347,20.0,-0.2341,,stop,8
FILUSDT,F_004_orb_retest,2025-01-09T17:30:00+00:00,2025-01-09T17:45:00+00:00,5.168711,5.113198,20.0,-0.2148,,stop,3
FILUSDT,F_004_orb_retest,2025-01-10T02:05:00+00:00,2025-01-10T02:15:00+00:00,5.094614,5.046617,20.0,-0.1884,,stop,2
FILUSDT,F_004_orb_retest,2025-01-10T02:30:00+00:00,2025-01-10T03:20:00+00:00,5.096617,5.049187,20.0,-0.1861,,stop,10
FILUSDT,F_004_orb_retest,2025-01-10T04:10:00+00:00,2025-01-10T04:30:00+00:00,5.095616,5.059173,20.0,-0.143,,stop,4
FILUSDT,F_004_orb_retest,2025-01-10T05:40:00+00:00,2025-01-10T05:45:00+00:00,5.134666,5.091895,20.0,-0.1666,,stop,1
FILUSDT,F_004_orb_retest,2025-01-10T06:05:00+00:00,2025-01-10T06:10:00+00:00,5.091611,5.107874,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-10T06:35:00+00:00,2025-01-10T06:45:00+00:00,5.102625,5.118923,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-11T20:50:00+00:00,2025-01-11T20:55:00+00:00,5.236799,5.253526,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-11T22:55:00+00:00,2025-01-11T23:05:00+00:00,5.227787,5.244486,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-11T23:10:00+00:00,2025-01-11T23:55:00+00:00,5.236799,5.194038,20.0,-0.1633,,stop,9
FILUSDT,F_004_orb_retest,2025-01-11T23:25:00+00:00,2025-01-11T23:50:00+00:00,5.239803,5.198893,20.0,-0.1562,,stop,5
FILUSDT,F_004_orb_retest,2025-01-12T00:45:00+00:00,2025-01-12T00:55:00+00:00,5.228789,5.193885,20.0,-0.1335,,stop,2
FILUSDT,F_004_orb_retest,2025-01-12T01:35:00+00:00,2025-01-12T03:25:00+00:00,5.223782,5.186031,20.0,-0.1445,,stop,22
FILUSDT,F_004_orb_retest,2025-01-12T01:45:00+00:00,2025-01-12T03:20:00+00:00,5.226786,5.190173,20.0,-0.1401,,stop,19
FILUSDT,F_004_orb_retest,2025-01-12T02:35:00+00:00,2025-01-12T03:20:00+00:00,5.22979,5.196312,20.0,-0.128,,stop,9
FILUSDT,F_004_orb_retest,2025-01-12T03:10:00+00:00,2025-01-12T03:20:00+00:00,5.225785,5.19331,20.0,-0.1243,,stop,2
FILUSDT,F_004_orb_retest,2025-01-13T00:25:00+00:00,2025-01-13T00:30:00+00:00,5.126656,5.170125,20.0,0.1696,,stop,1
FILUSDT,F_004_orb_retest,2025-01-14T01:05:00+00:00,2025-01-14T01:10:00+00:00,4.949426,4.965235,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-14T01:40:00+00:00,2025-01-14T02:20:00+00:00,4.946422,4.962222,20.0,0.0639,,stop,8
FILUSDT,F_004_orb_retest,2025-01-15T01:35:00+00:00,2025-01-15T02:05:00+00:00,5.231792,5.248504,20.0,0.0639,,stop,6
FILUSDT,F_004_orb_retest,2025-01-15T02:05:00+00:00,2025-01-15T02:30:00+00:00,5.248815,5.196051,20.0,-0.201,,stop,5
FILUSDT,F_004_orb_retest,2025-01-15T02:50:00+00:00,2025-01-15T04:45:00+00:00,5.234796,5.183478,20.0,-0.1961,,stop,23
FILUSDT,F_004_orb_retest,2025-01-15T04:00:00+00:00,2025-01-15T04:15:00+00:00,5.233795,5.192607,20.0,-0.1574,,stop,3
FILUSDT,F_004_orb_retest,2025-01-15T07:10:00+00:00,2025-01-15T07:20:00+00:00,5.235798,5.252522,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-15T13:35:00+00:00,2025-01-15T13:35:00+00:00,5.319907,5.259632,20.0,-0.2266,,stop,0
FILUSDT,F_004_orb_retest,2025-01-16T17:20:00+00:00,2025-01-16T17:30:00+00:00,5.728437,5.746735,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-16T18:50:00+00:00,2025-01-16T19:30:00+00:00,5.705407,5.723631,20.0,0.0639,,stop,8
FILUSDT,F_004_orb_retest,2025-01-16T19:15:00+00:00,2025-01-16T19:30:00+00:00,5.701402,5.719613,20.0,0.0639,,stop,3
FILUSDT,F_004_orb_retest,2025-01-16T21:20:00+00:00,2025-01-16T21:35:00+00:00,5.694393,5.712582,20.0,0.0639,,stop,3
FILUSDT,F_004_orb_retest,2025-01-16T21:35:00+00:00,2025-01-16T22:00:00+00:00,5.702404,5.643771,20.0,-0.2056,,stop,5
FILUSDT,F_004_orb_retest,2025-01-17T00:20:00+00:00,2025-01-17T00:35:00+00:00,5.657345,5.675415,20.0,0.0639,,stop,3
FILUSDT,F_004_orb_retest,2025-01-19T00:20:00+00:00,2025-01-19T00:30:00+00:00,5.489127,5.50666,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-19T15:10:00+00:00,2025-01-19T16:00:00+00:00,5.485121,5.382972,20.0,-0.3725,,stop,10
FILUSDT,F_004_orb_retest,2025-01-19T20:05:00+00:00,2025-01-19T20:15:00+00:00,5.481116,5.431475,20.0,-0.1811,,stop,2
FILUSDT,F_004_orb_retest,2025-01-20T02:20:00+00:00,2025-01-20T02:25:00+00:00,5.019517,5.065346,20.0,0.1826,,stop,1
FILUSDT,F_004_orb_retest,2025-01-20T03:05:00+00:00,2025-01-20T03:15:00+00:00,5.023522,5.039568,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-20T03:15:00+00:00,2025-01-20T03:25:00+00:00,5.046552,5.062671,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-20T03:30:00+00:00,2025-01-20T03:35:00+00:00,5.010505,5.02651,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-20T03:50:00+00:00,2025-01-20T04:00:00+00:00,5.013509,5.029523,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-20T04:40:00+00:00,2025-01-20T04:45:00+00:00,5.020518,5.036554,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-21T11:45:00+00:00,2025-01-21T11:55:00+00:00,5.138672,5.155085,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-21T11:55:00+00:00,2025-01-21T12:20:00+00:00,5.159699,5.187837,20.0,0.1091,,stop,5
FILUSDT,F_004_orb_retest,2025-01-21T12:10:00+00:00,2025-01-21T12:15:00+00:00,5.138672,5.155085,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-21T13:20:00+00:00,2025-01-21T13:30:00+00:00,5.161702,5.103915,20.0,-0.2239,,stop,2
FILUSDT,F_004_orb_retest,2025-01-21T13:45:00+00:00,2025-01-21T13:50:00+00:00,5.138672,5.155085,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-21T13:55:00+00:00,2025-01-21T14:25:00+00:00,5.144679,5.161112,20.0,0.0639,,stop,6
FILUSDT,F_004_orb_retest,2025-01-21T14:15:00+00:00,2025-01-21T14:25:00+00:00,5.143678,5.160108,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-21T14:45:00+00:00,2025-01-21T14:50:00+00:00,5.138672,5.155085,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-21T15:30:00+00:00,2025-01-21T16:10:00+00:00,5.139673,5.170893,20.0,0.1215,,stop,8
FILUSDT,F_004_orb_retest,2025-01-21T16:00:00+00:00,2025-01-21T16:10:00+00:00,5.141676,5.170893,20.0,0.1137,,stop,2
FILUSDT,F_004_orb_retest,2025-01-22T01:00:00+00:00,2025-01-22T01:10:00+00:00,5.303886,5.25205,20.0,-0.1955,,stop,2
FILUSDT,F_004_orb_retest,2025-01-23T00:25:00+00:00,2025-01-23T00:50:00+00:00,5.017514,4.977606,20.0,-0.1591,,stop,5
FILUSDT,F_004_orb_retest,2025-01-23T00:40:00+00:00,2025-01-23T00:50:00+00:00,5.018516,4.978606,20.0,-0.159,,stop,2
FILUSDT,F_004_orb_retest,2025-01-23T01:30:00+00:00,2025-01-23T01:40:00+00:00,5.019517,4.978465,20.0,-0.1636,,stop,2
FILUSDT,F_004_orb_retest,2025-01-23T14:35:00+00:00,2025-01-23T14:40:00+00:00,5.019517,5.03555,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-23T15:35:00+00:00,2025-01-23T15:40:00+00:00,5.02152,5.037559,20.0,0.0639,,stop,1
FILUSDT,F_004_orb_retest,2025-01-23T18:50:00+00:00,2025-01-23T19:00:00+00:00,5.020518,4.975042,20.0,-0.1812,,stop,2
FILUSDT,F_004_orb_retest,2025-01-23T20:20:00+00:00,2025-01-23T20:25:00+00:00,5.017514,5.071333,20.0,0.2145,,stop,1
FILUSDT,F_004_orb_retest,2025-01-23T21:00:00+00:00,2025-01-23T21:15:00+00:00,5.027527,4.935103,20.0,-0.3677,,stop,3
FILUSDT,F_004_orb_retest,2025-01-23T22:25:00+00:00,2025-01-23T22:35:00+00:00,5.046552,5.062671,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-24T05:15:00+00:00,2025-01-24T05:40:00+00:00,5.095616,5.111892,20.0,0.0639,,stop,5
FILUSDT,F_004_orb_retest,2025-01-24T08:20:00+00:00,2025-01-24T08:30:00+00:00,5.09862,5.114905,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-24T17:10:00+00:00,2025-01-24T17:20:00+00:00,5.099621,5.11591,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T01:35:00+00:00,2025-01-25T02:05:00+00:00,5.027527,4.980187,20.0,-0.1883,,stop,6
FILUSDT,F_004_orb_retest,2025-01-25T02:40:00+00:00,2025-01-25T03:25:00+00:00,5.028529,5.04459,20.0,0.0639,,stop,9
FILUSDT,F_004_orb_retest,2025-01-25T03:10:00+00:00,2025-01-25T03:20:00+00:00,5.023522,5.039568,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T05:15:00+00:00,2025-01-25T05:25:00+00:00,5.025525,5.041577,20.0,0.0639,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T08:10:00+00:00,2025-01-25T08:20:00+00:00,5.034536,5.000028,20.0,-0.1371,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T11:50:00+00:00,2025-01-25T12:00:00+00:00,5.02953,5.000592,20.0,-0.1151,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T12:20:00+00:00,2025-01-25T12:30:00+00:00,5.02152,4.99302,20.0,-0.1135,,stop,2
FILUSDT,F_004_orb_retest,2025-01-25T13:00:00+00:00,2025-01-25T13:35:00+00:00,5.022521,5.038563,20.0,0.0639,,stop,7
