symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_004_orb_retest,2025-01-01T19:50:00+00:00,2025-01-01T22:05:00+00:00,5.537189,5.506307,20.0,-0.1115,,stop,27
GRAMUSDT,F_004_orb_retest,2025-01-01T20:20:00+00:00,2025-01-01T22:10:00+00:00,5.527176,5.498875,20.0,-0.1024,,stop,22
GRAMUSDT,F_004_orb_retest,2025-01-01T20:30:00+00:00,2025-01-01T22:05:00+00:00,5.533184,5.506017,20.0,-0.0982,,stop,19
GRAMUSDT,F_004_orb_retest,2025-01-01T20:50:00+00:00,2025-01-01T22:05:00+00:00,5.528177,5.503299,20.0,-0.09,,stop,15
GRAMUSDT,F_004_orb_retest,2025-01-01T21:20:00+00:00,2025-01-01T22:05:00+00:00,5.529179,5.505155,20.0,-0.0869,,stop,9
GRAMUSDT,F_004_orb_retest,2025-01-01T23:00:00+00:00,2025-01-01T23:10:00+00:00,5.536188,5.508731,20.0,-0.0992,,stop,2
GRAMUSDT,F_004_orb_retest,2025-01-01T23:30:00+00:00,2025-01-01T23:35:00+00:00,5.528177,5.500589,20.0,-0.0998,,stop,1
GRAMUSDT,F_004_orb_retest,2025-01-02T00:15:00+00:00,2025-01-02T00:30:00+00:00,5.533184,5.550858,20.0,0.0639,,stop,3
GRAMUSDT,F_004_orb_retest,2025-01-03T00:30:00+00:00,2025-01-03T00:50:00+00:00,5.659348,5.637153,20.0,-0.0784,,stop,4
GRAMUSDT,F_004_orb_retest,2025-01-03T00:55:00+00:00,2025-01-03T01:05:00+00:00,5.664354,5.639442,20.0,-0.088,,stop,2
GRAMUSDT,F_004_orb_retest,2025-01-03T01:55:00+00:00,2025-01-03T02:20:00+00:00,5.664354,5.682447,20.0,0.0639,,stop,5
GRAMUSDT,F_004_orb_retest,2025-01-03T03:25:00+00:00,2025-01-03T05:20:00+00:00,5.671363,5.644872,20.0,-0.0934,,stop,23
GRAMUSDT,F_004_orb_retest,2025-01-03T09:15:00+00:00,2025-01-03T10:15:00+00:00,5.662352,5.633732,20.0,-0.1011,,stop,12
