symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
LINKUSDT,F_004_orb_retest,2025-01-01T01:10:00+00:00,2025-01-01T02:10:00+00:00,20.116117,20.180371,20.0,0.0639,,stop,12
LINKUSDT,F_004_orb_retest,2025-01-01T02:40:00+00:00,2025-01-01T03:25:00+00:00,20.116117,20.180371,20.0,0.0639,,stop,9
LINKUSDT,F_004_orb_retest,2025-01-01T03:15:00+00:00,2025-01-01T04:00:00+00:00,20.156169,20.012975,20.0,-0.1421,,stop,9
LINKUSDT,F_004_orb_retest,2025-01-01T05:45:00+00:00,2025-01-01T06:05:00+00:00,20.116117,19.977256,20.0,-0.1381,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-01T11:50:00+00:00,2025-01-01T12:25:00+00:00,20.106104,20.170326,20.0,0.0639,,stop,7
LINKUSDT,F_004_orb_retest,2025-01-01T14:40:00+00:00,2025-01-01T15:00:00+00:00,20.216247,20.280821,20.0,0.0639,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-02T00:15:00+00:00,2025-01-02T00:25:00+00:00,22.008574,22.203298,20.0,0.177,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-03T00:30:00+00:00,2025-01-03T00:45:00+00:00,22.168782,22.028679,20.0,-0.1264,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-03T01:55:00+00:00,2025-01-03T02:10:00+00:00,22.168782,22.239592,20.0,0.0639,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-03T02:05:00+00:00,2025-01-03T02:10:00+00:00,22.158769,22.229547,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-03T03:55:00+00:00,2025-01-03T04:15:00+00:00,22.238873,22.071571,20.0,-0.1505,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-03T04:20:00+00:00,2025-01-03T05:00:00+00:00,22.178795,22.011571,20.0,-0.1508,,stop,8
LINKUSDT,F_004_orb_retest,2025-01-03T06:10:00+00:00,2025-01-03T06:45:00+00:00,22.188808,22.017291,20.0,-0.1546,,stop,7
LINKUSDT,F_004_orb_retest,2025-01-03T09:25:00+00:00,2025-01-03T09:45:00+00:00,22.178795,22.249637,20.0,0.0639,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-03T10:20:00+00:00,2025-01-03T10:40:00+00:00,22.188808,22.28627,20.0,0.0878,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-04T13:15:00+00:00,2025-01-04T13:20:00+00:00,23.63068,23.70616,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-04T13:30:00+00:00,2025-01-04T14:00:00+00:00,23.570602,23.66172,20.0,0.0773,,stop,6
LINKUSDT,F_004_orb_retest,2025-01-04T15:30:00+00:00,2025-01-04T15:30:00+00:00,23.63068,23.377393,20.0,-0.2144,,stop,0
LINKUSDT,F_004_orb_retest,2025-01-04T18:15:00+00:00,2025-01-04T18:30:00+00:00,23.560589,23.371595,20.0,-0.1604,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-04T18:25:00+00:00,2025-01-04T18:30:00+00:00,23.570602,23.380168,20.0,-0.1616,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-04T18:45:00+00:00,2025-01-04T18:45:00+00:00,23.600641,23.413022,20.0,-0.159,,stop,0
LINKUSDT,F_004_orb_retest,2025-01-04T19:05:00+00:00,2025-01-04T19:20:00+00:00,23.600641,23.676025,20.0,0.0639,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-04T19:15:00+00:00,2025-01-04T19:20:00+00:00,23.63068,23.70616,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-05T00:15:00+00:00,2025-01-05T00:25:00+00:00,23.73081,23.564422,20.0,-0.1402,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-05T04:50:00+00:00,2025-01-05T05:10:00+00:00,23.700771,23.515875,20.0,-0.156,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-05T07:05:00+00:00,2025-01-05T07:10:00+00:00,23.700771,23.776475,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-05T07:40:00+00:00,2025-01-05T07:45:00+00:00,23.690758,23.485901,20.0,-0.1729,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-05T23:10:00+00:00,2025-01-05T23:20:00+00:00,23.670732,23.507276,20.0,-0.1381,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-05T23:40:00+00:00,2025-01-05T23:55:00+00:00,23.720797,23.550142,20.0,-0.1439,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-05T23:50:00+00:00,2025-01-06T00:00:00+00:00,23.710784,23.534435,20.0,-0.1487,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-06T01:55:00+00:00,2025-01-06T02:05:00+00:00,23.690758,23.76643,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-06T03:05:00+00:00,2025-01-06T03:10:00+00:00,23.690758,23.76643,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-06T13:25:00+00:00,2025-01-06T13:35:00+00:00,23.891018,23.967329,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-06T14:50:00+00:00,2025-01-06T14:55:00+00:00,24.001161,24.120203,20.0,0.0992,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-08T00:10:00+00:00,2025-01-08T00:20:00+00:00,21.517937,21.586669,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-08T00:35:00+00:00,2025-01-08T00:45:00+00:00,21.618067,21.687118,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-09T00:10:00+00:00,2025-01-09T01:00:00+00:00,20.52665,20.592215,20.0,0.0639,,stop,10
LINKUSDT,F_004_orb_retest,2025-01-09T00:50:00+00:00,2025-01-09T01:00:00+00:00,20.536663,20.60226,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-09T02:45:00+00:00,2025-01-09T03:05:00+00:00,20.546676,20.295971,20.0,-0.244,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-10T00:45:00+00:00,2025-01-10T01:45:00+00:00,19.795701,19.858931,20.0,0.0639,,stop,12
LINKUSDT,F_004_orb_retest,2025-01-10T01:05:00+00:00,2025-01-10T02:00:00+00:00,19.835753,19.899111,20.0,0.0639,,stop,11
LINKUSDT,F_004_orb_retest,2025-01-10T01:45:00+00:00,2025-01-10T02:05:00+00:00,19.865792,19.929246,20.0,0.0639,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-11T20:55:00+00:00,2025-01-11T21:05:00+00:00,20.416507,20.48172,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-11T22:35:00+00:00,2025-01-11T22:50:00+00:00,20.356429,20.17588,20.0,-0.1774,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-12T02:00:00+00:00,2025-01-12T02:15:00+00:00,20.296351,20.148695,20.0,-0.1455,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-12T03:10:00+00:00,2025-01-12T03:15:00+00:00,20.296351,20.165816,20.0,-0.1286,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-12T04:00:00+00:00,2025-01-12T05:35:00+00:00,20.286338,20.155816,20.0,-0.1287,,stop,19
LINKUSDT,F_004_orb_retest,2025-01-12T04:35:00+00:00,2025-01-12T05:35:00+00:00,20.286338,20.162949,20.0,-0.1216,,stop,12
LINKUSDT,F_004_orb_retest,2025-01-12T05:30:00+00:00,2025-01-12T05:35:00+00:00,20.276325,20.151522,20.0,-0.1231,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-13T00:25:00+00:00,2025-01-13T00:30:00+00:00,19.965922,20.137643,20.0,0.172,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-14T01:10:00+00:00,2025-01-14T01:40:00+00:00,19.575415,19.370201,20.0,-0.2097,,stop,6
LINKUSDT,F_004_orb_retest,2025-01-14T02:20:00+00:00,2025-01-14T02:25:00+00:00,19.515337,19.577672,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-14T02:40:00+00:00,2025-01-14T03:25:00+00:00,19.475285,19.537492,20.0,0.0639,,stop,9
LINKUSDT,F_004_orb_retest,2025-01-14T03:15:00+00:00,2025-01-14T03:25:00+00:00,19.485298,19.547537,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-15T00:25:00+00:00,2025-01-15T00:35:00+00:00,20.476585,20.314428,20.0,-0.1584,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-15T01:35:00+00:00,2025-01-15T01:40:00+00:00,20.516637,20.58217,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-15T02:50:00+00:00,2025-01-15T04:05:00+00:00,20.506624,20.572125,20.0,0.0639,,stop,15
LINKUSDT,F_004_orb_retest,2025-01-15T13:35:00+00:00,2025-01-15T13:35:00+00:00,21.197521,20.898889,20.0,-0.2818,,stop,0
LINKUSDT,F_004_orb_retest,2025-01-16T11:50:00+00:00,2025-01-16T12:00:00+00:00,22.22886,22.462752,20.0,0.2104,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-17T00:20:00+00:00,2025-01-17T00:25:00+00:00,23.370342,23.153061,20.0,-0.1859,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-17T00:30:00+00:00,2025-01-17T00:35:00+00:00,23.33029,23.40481,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-18T00:10:00+00:00,2025-01-18T00:15:00+00:00,25.292838,25.373627,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-18T00:25:00+00:00,2025-01-18T00:30:00+00:00,25.302851,25.383672,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-19T01:15:00+00:00,2025-01-19T01:20:00+00:00,24.161369,24.238544,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-19T14:15:00+00:00,2025-01-19T14:20:00+00:00,24.301551,24.39928,20.0,0.0804,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-19T14:25:00+00:00,2025-01-19T14:30:00+00:00,24.281525,24.648156,20.0,0.302,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-19T23:00:00+00:00,2025-01-19T23:25:00+00:00,24.792188,23.756978,20.0,-0.8351,,stop,5
LINKUSDT,F_004_orb_retest,2025-01-20T02:25:00+00:00,2025-01-20T02:35:00+00:00,24.501811,24.698051,20.0,0.1602,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-20T03:20:00+00:00,2025-01-20T03:25:00+00:00,24.451746,24.529849,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-20T03:35:00+00:00,2025-01-20T03:40:00+00:00,24.521837,24.600163,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-20T03:45:00+00:00,2025-01-20T04:50:00+00:00,24.481785,24.59862,20.0,0.0954,,stop,13
LINKUSDT,F_004_orb_retest,2025-01-20T05:05:00+00:00,2025-01-20T05:10:00+00:00,24.521837,24.757925,20.0,0.1926,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-20T05:45:00+00:00,2025-01-20T06:05:00+00:00,24.451746,24.588653,20.0,0.112,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-20T06:10:00+00:00,2025-01-20T06:15:00+00:00,24.491798,24.570028,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-21T10:25:00+00:00,2025-01-21T10:30:00+00:00,25.43302,25.555455,20.0,0.0963,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-23T14:40:00+00:00,2025-01-23T14:45:00+00:00,25.372942,25.455784,20.0,0.0653,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-23T15:15:00+00:00,2025-01-23T15:40:00+00:00,25.43302,25.514257,20.0,0.0639,,stop,5
LINKUSDT,F_004_orb_retest,2025-01-23T15:35:00+00:00,2025-01-23T15:40:00+00:00,25.423007,25.504212,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-23T18:15:00+00:00,2025-01-23T18:35:00+00:00,25.372942,25.453987,20.0,0.0639,,stop,4
LINKUSDT,F_004_orb_retest,2025-01-23T18:25:00+00:00,2025-01-23T18:35:00+00:00,25.412994,25.494167,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-23T20:25:00+00:00,2025-01-23T20:30:00+00:00,25.583215,25.664932,20.0,0.0639,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-23T20:35:00+00:00,2025-01-23T20:50:00+00:00,25.683345,25.191981,20.0,-0.3826,,stop,3
LINKUSDT,F_004_orb_retest,2025-01-23T22:15:00+00:00,2025-01-23T22:25:00+00:00,25.493098,25.574527,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-24T00:10:00+00:00,2025-01-24T00:15:00+00:00,25.843553,25.561708,20.0,-0.2181,,stop,1
LINKUSDT,F_004_orb_retest,2025-01-24T05:25:00+00:00,2025-01-24T05:35:00+00:00,25.853566,25.936146,20.0,0.0639,,stop,2
LINKUSDT,F_004_orb_retest,2025-01-24T15:50:00+00:00,2025-01-24T15:55:00+00:00,26.013774,26.096866,20.0,0.0639,,stop,1
