symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_004_orb_retest,2025-01-01T15:40:00+00:00,2025-01-01T15:50:00+00:00,6.856902,6.880238,20.0,0.0681,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-02T00:40:00+00:00,2025-01-02T01:10:00+00:00,7.322507,7.345896,20.0,0.0639,,stop,6
RENDERUSDT,F_004_orb_retest,2025-01-02T00:50:00+00:00,2025-01-02T01:30:00+00:00,7.334523,7.242809,20.0,-0.2501,,stop,8
RENDERUSDT,F_004_orb_retest,2025-01-02T01:05:00+00:00,2025-01-02T01:30:00+00:00,7.33252,7.229823,20.0,-0.2801,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-02T02:30:00+00:00,2025-01-02T03:00:00+00:00,7.316499,7.339869,20.0,0.0639,,stop,6
RENDERUSDT,F_004_orb_retest,2025-01-02T02:45:00+00:00,2025-01-02T03:00:00+00:00,7.314497,7.33786,20.0,0.0639,,stop,3
RENDERUSDT,F_004_orb_retest,2025-01-02T03:20:00+00:00,2025-01-02T03:30:00+00:00,7.310491,7.333842,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-03T02:25:00+00:00,2025-01-03T03:00:00+00:00,7.711011,7.641208,20.0,-0.181,,stop,7
RENDERUSDT,F_004_orb_retest,2025-01-03T11:20:00+00:00,2025-01-03T11:25:00+00:00,7.728033,7.757336,20.0,0.0758,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T08:00:00+00:00,2025-01-04T08:05:00+00:00,8.099516,8.040335,20.0,-0.1461,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T12:30:00+00:00,2025-01-04T12:35:00+00:00,8.142572,8.16858,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T15:30:00+00:00,2025-01-04T15:30:00+00:00,8.14157,8.054372,20.0,-0.2142,,stop,0
RENDERUSDT,F_004_orb_retest,2025-01-04T18:20:00+00:00,2025-01-04T18:25:00+00:00,8.106525,8.132418,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T18:35:00+00:00,2025-01-04T18:45:00+00:00,8.108527,8.134427,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-04T18:50:00+00:00,2025-01-04T19:20:00+00:00,8.101518,8.127396,20.0,0.0639,,stop,6
RENDERUSDT,F_004_orb_retest,2025-01-04T19:15:00+00:00,2025-01-04T19:20:00+00:00,8.121544,8.147486,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T19:55:00+00:00,2025-01-04T20:05:00+00:00,8.115537,8.141459,20.0,0.0639,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-04T20:45:00+00:00,2025-01-04T21:05:00+00:00,8.10252,8.1284,20.0,0.0639,,stop,4
RENDERUSDT,F_004_orb_retest,2025-01-04T21:00:00+00:00,2025-01-04T21:05:00+00:00,8.100517,8.126391,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-04T21:20:00+00:00,2025-01-04T21:45:00+00:00,8.113534,8.053479,20.0,-0.148,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-04T21:40:00+00:00,2025-01-04T21:50:00+00:00,8.107526,8.044769,20.0,-0.1548,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-04T22:55:00+00:00,2025-01-04T22:55:00+00:00,8.10252,8.05318,20.0,-0.1218,,stop,0
RENDERUSDT,F_004_orb_retest,2025-01-05T03:50:00+00:00,2025-01-05T05:15:00+00:00,8.097513,8.05089,20.0,-0.1152,,stop,17
RENDERUSDT,F_004_orb_retest,2025-01-05T04:25:00+00:00,2025-01-05T05:15:00+00:00,8.097513,8.04661,20.0,-0.1257,,stop,10
RENDERUSDT,F_004_orb_retest,2025-01-05T04:50:00+00:00,2025-01-05T05:15:00+00:00,8.107526,8.056325,20.0,-0.1263,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-05T06:45:00+00:00,2025-01-05T07:10:00+00:00,8.100517,8.126391,20.0,0.0639,,stop,5
RENDERUSDT,F_004_orb_retest,2025-01-05T07:25:00+00:00,2025-01-05T07:30:00+00:00,8.105524,8.061459,20.0,-0.1087,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-05T07:40:00+00:00,2025-01-05T07:45:00+00:00,8.132559,8.158535,20.0,0.0639,,stop,1
RENDERUSDT,F_004_orb_retest,2025-01-05T13:35:00+00:00,2025-01-05T13:45:00+00:00,8.100517,8.04533,20.0,-0.1363,,stop,2
RENDERUSDT,F_004_orb_retest,2025-01-05T15:55:00+00:00,2025-01-05T16:10:00+00:00,8.105524,8.131414,20.0,0.0639,,stop,3
RENDERUSDT,F_004_orb_retest,2025-01-05T19:15:00+00:00,2025-01-05T19:20:00+00:00,8.10252,8.043335,20.0,-0.1461,,stop,1
