symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_004_orb_retest,2025-01-01T10:35:00+00:00,2025-01-01T11:35:00+00:00,190.84778,191.457376,20.0,0.0639,,stop,12
SOLUSDT,F_004_orb_retest,2025-01-01T10:45:00+00:00,2025-01-01T11:00:00+00:00,190.94791,189.740926,20.0,-0.1264,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-01T11:10:00+00:00,2025-01-01T11:35:00+00:00,190.867806,191.477466,20.0,0.0639,,stop,5
SOLUSDT,F_004_orb_retest,2025-01-01T12:55:00+00:00,2025-01-01T13:10:00+00:00,191.088092,189.919447,20.0,-0.1223,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-01T14:05:00+00:00,2025-01-01T14:25:00+00:00,191.228274,189.995244,20.0,-0.129,,stop,4
SOLUSDT,F_004_orb_retest,2025-01-01T14:50:00+00:00,2025-01-01T15:45:00+00:00,190.897845,191.507601,20.0,0.0639,,stop,11
SOLUSDT,F_004_orb_retest,2025-01-01T15:20:00+00:00,2025-01-01T15:45:00+00:00,190.827754,191.437286,20.0,0.0639,,stop,5
SOLUSDT,F_004_orb_retest,2025-01-01T15:35:00+00:00,2025-01-01T15:45:00+00:00,190.907858,191.517646,20.0,0.0639,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-01T16:45:00+00:00,2025-01-01T17:05:00+00:00,190.797715,189.461095,20.0,-0.1401,,stop,4
SOLUSDT,F_004_orb_retest,2025-01-01T18:00:00+00:00,2025-01-01T18:35:00+00:00,190.877819,191.487511,20.0,0.0639,,stop,7
SOLUSDT,F_004_orb_retest,2025-01-01T18:25:00+00:00,2025-01-01T18:35:00+00:00,190.907858,191.517646,20.0,0.0639,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-02T00:25:00+00:00,2025-01-02T00:30:00+00:00,195.323591,195.947484,20.0,0.0639,,stop,1
SOLUSDT,F_004_orb_retest,2025-01-02T00:35:00+00:00,2025-01-02T00:45:00+00:00,196.044527,196.670723,20.0,0.0639,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-03T05:15:00+00:00,2025-01-03T05:45:00+00:00,208.781063,209.447941,20.0,0.0639,,stop,6
SOLUSDT,F_004_orb_retest,2025-01-03T05:30:00+00:00,2025-01-03T05:45:00+00:00,208.751024,209.417806,20.0,0.0639,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-03T05:40:00+00:00,2025-01-03T06:10:00+00:00,209.051414,209.719156,20.0,0.0639,,stop,6
SOLUSDT,F_004_orb_retest,2025-01-03T06:50:00+00:00,2025-01-03T07:05:00+00:00,208.741011,207.145657,20.0,-0.1529,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-03T07:50:00+00:00,2025-01-03T08:20:00+00:00,208.741011,209.407761,20.0,0.0639,,stop,6
SOLUSDT,F_004_orb_retest,2025-01-05T00:20:00+00:00,2025-01-05T00:20:00+00:00,217.58249,216.71896,20.0,-0.0794,,stop,0
SOLUSDT,F_004_orb_retest,2025-01-05T00:35:00+00:00,2025-01-05T00:45:00+00:00,217.842828,216.870529,20.0,-0.0893,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-05T00:55:00+00:00,2025-01-05T01:05:00+00:00,217.542438,216.463526,20.0,-0.0992,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-05T03:30:00+00:00,2025-01-05T03:40:00+00:00,217.832815,218.528606,20.0,0.0639,,stop,2
SOLUSDT,F_004_orb_retest,2025-01-06T01:55:00+00:00,2025-01-06T02:10:00+00:00,215.429695,216.11781,20.0,0.0639,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-07T00:20:00+00:00,2025-01-07T00:40:00+00:00,218.824102,217.91473,20.0,-0.0831,,stop,4
SOLUSDT,F_004_orb_retest,2025-01-07T01:45:00+00:00,2025-01-07T02:00:00+00:00,218.754011,217.523719,20.0,-0.1125,,stop,3
SOLUSDT,F_004_orb_retest,2025-01-08T00:20:00+00:00,2025-01-08T00:20:00+00:00,203.424108,202.166664,20.0,-0.1236,,stop,0
SOLUSDT,F_004_orb_retest,2025-01-08T00:25:00+00:00,2025-01-08T00:30:00+00:00,203.293939,201.961048,20.0,-0.1311,,stop,1
