symbol,NOVA_ORB_MIN,NOVA_RETEST_WINDOW,net,trades,win_pct,pf
BTCUSDT,5,3,-85.9367795227518,2234,27.93,0.32648546249304106
BTCUSDT,5,6,-85.9367795227518,2234,27.93,0.32648546249304106
BTCUSDT,5,12,-85.9367795227518,2234,27.93,0.32648546249304106
BTCUSDT,15,3,-85.30391430320378,2248,27.31,0.32881268451476814
BTCUSDT,15,6,-85.30391430320378,2248,27.31,0.32881268451476814
BTCUSDT,15,12,-85.30391430320378,2248,27.31,0.32881268451476814
BTCUSDT,30,3,-85.671828454509,2269,27.41,0.33313208105224706
BTCUSDT,30,6,-85.671828454509,2269,27.41,0.33313208105224706
BTCUSDT,30,12,-85.671828454509,2269,27.41,0.33313208105224706
ETHUSDT,5,3,-55.15843238584783,2011,38.59,0.49918450775376805
ETHUSDT,5,6,-55.15843238584783,2011,38.59,0.49918450775376805
ETHUSDT,5,12,-55.15843238584783,2011,38.59,0.49918450775376805
ETHUSDT,15,3,-60.344223553882934,2094,38.35,0.4867048742114853
ETHUSDT,15,6,-60.344223553882934,2094,38.35,0.4867048742114853
ETHUSDT,15,12,-60.344223553882934,2094,38.35,0.4867048742114853
ETHUSDT,30,3,-66.78050048893266,2148,36.82,0.45824867200170855
ETHUSDT,30,6,-66.78050048893266,2148,36.82,0.45824867200170855
ETHUSDT,30,12,-66.78050048893266,2148,36.82,0.45824867200170855
SOLUSDT,5,3,-39.03510210061036,2086,59.4,0.7054102796207086
SOLUSDT,5,6,-39.03510210061036,2086,59.4,0.7054102796207086
SOLUSDT,5,12,-39.03510210061036,2086,59.4,0.7054102796207086
SOLUSDT,15,3,-36.97013817442976,2140,59.77,0.7252560331274454
SOLUSDT,15,6,-36.97013817442976,2140,59.77,0.7252560331274454
SOLUSDT,15,12,-36.97013817442976,2140,59.77,0.7252560331274454
SOLUSDT,30,3,-47.89720513890332,2167,57.31,0.6638426867647224
SOLUSDT,30,6,-47.89720513890332,2167,57.31,0.6638426867647224
SOLUSDT,30,12,-47.89720513890332,2167,57.31,0.6638426867647224
XLMUSDT,5,3,-84.06057106016233,2452,44.25,0.4957070398493511
XLMUSDT,5,6,-84.06057106016233,2452,44.25,0.4957070398493511
XLMUSDT,5,12,-84.06057106016233,2452,44.25,0.4957070398493511
XLMUSDT,15,3,-74.03284816488808,2422,45.58,0.5325870445028373
XLMUSDT,15,6,-74.03284816488808,2422,45.58,0.5325870445028373
XLMUSDT,15,12,-74.03284816488808,2422,45.58,0.5325870445028373
XLMUSDT,30,3,-73.72583776473382,2370,45.11,0.523159950357515
XLMUSDT,30,6,-73.72583776473382,2370,45.11,0.523159950357515
XLMUSDT,30,12,-73.72583776473382,2370,45.11,0.523159950357515
LINKUSDT,5,3,-39.84570933222254,2163,58.67,0.6996745995403894
LINKUSDT,5,6,-39.84570933222254,2163,58.67,0.6996745995403894
LINKUSDT,5,12,-39.84570933222254,2163,58.67,0.6996745995403894
LINKUSDT,15,3,-50.42760345477783,2243,57.24,0.6513756934534738
LINKUSDT,15,6,-50.42760345477783,2243,57.24,0.6513756934534738
LINKUSDT,15,12,-50.42760345477783,2243,57.24,0.6513756934534738
LINKUSDT,30,3,-54.575047547701196,2239,56.32,0.6283178764487907
LINKUSDT,30,6,-54.575047547701196,2239,56.32,0.6283178764487907
LINKUSDT,30,12,-54.575047547701196,2239,56.32,0.6283178764487907
GRAMUSDT,5,3,-16.429808073976055,686,50.44,0.6159293811407606
GRAMUSDT,5,6,-16.429808073976055,686,50.44,0.6159293811407606
GRAMUSDT,5,12,-16.429808073976055,686,50.44,0.6159293811407606
GRAMUSDT,15,3,-20.583779244021837,734,49.73,0.5608468982175694
GRAMUSDT,15,6,-20.583779244021837,734,49.73,0.5608468982175694
GRAMUSDT,15,12,-20.583779244021837,734,49.73,0.5608468982175694
GRAMUSDT,30,3,-17.34165065410863,675,51.11,0.5885606023835623
GRAMUSDT,30,6,-17.34165065410863,675,51.11,0.5885606023835623
GRAMUSDT,30,12,-17.34165065410863,675,51.11,0.5885606023835623
RENDERUSDT,5,3,-11.158659054687801,684,65.06,0.7709923669485479
RENDERUSDT,5,6,-11.158659054687801,684,65.06,0.7709923669485479
RENDERUSDT,5,12,-11.158659054687801,684,65.06,0.7709923669485479
RENDERUSDT,15,3,-12.64318158509505,690,65.07,0.7392413796880369
RENDERUSDT,15,6,-12.64318158509505,690,65.07,0.7392413796880369
RENDERUSDT,15,12,-12.64318158509505,690,65.07,0.7392413796880369
RENDERUSDT,30,3,-10.346584971083264,663,66.06,0.7727695773356587
RENDERUSDT,30,6,-10.346584971083264,663,66.06,0.7727695773356587
RENDERUSDT,30,12,-10.346584971083264,663,66.06,0.7727695773356587
FILUSDT,5,3,-50.84652283584928,2085,55.06,0.6236711465074009
FILUSDT,5,6,-50.84652283584928,2085,55.06,0.6236711465074009
FILUSDT,5,12,-50.84652283584928,2085,55.06,0.6236711465074009
FILUSDT,15,3,-39.409419091173135,2092,57.07,0.6954208147424813
FILUSDT,15,6,-39.409419091173135,2092,57.07,0.6954208147424813
FILUSDT,15,12,-39.409419091173135,2092,57.07,0.6954208147424813
FILUSDT,30,3,-52.5365996040321,2131,54.72,0.624638472877765
FILUSDT,30,6,-52.5365996040321,2131,54.72,0.624638472877765
FILUSDT,30,12,-52.5365996040321,2131,54.72,0.624638472877765
