symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
LINKUSDT,F_006_bb_squeeze,2025-01-05T20:20:00+00:00,2025-01-05T20:30:00+00:00,23.540563,23.371569,20.0,-0.1436,,stop,2
LINKUSDT,F_006_bb_squeeze,2025-01-25T03:25:00+00:00,2025-01-25T03:35:00+00:00,25.192708,25.273177,20.0,0.0639,,stop,2
LINKUSDT,F_006_bb_squeeze,2025-02-06T00:05:00+00:00,2025-02-06T00:45:00+00:00,19.375155,19.165921,20.0,-0.216,,stop,8
LINKUSDT,F_006_bb_squeeze,2025-02-12T22:20:00+00:00,2025-02-12T22:25:00+00:00,18.994661,19.1597,20.0,0.1738,,stop,1
LINKUSDT,F_006_bb_squeeze,2025-02-14T07:15:00+00:00,2025-02-14T08:00:00+00:00,18.854479,18.732952,20.0,-0.1289,,stop,9
LINKUSDT,F_006_bb_squeeze,2025-02-18T12:35:00+00:00,2025-02-18T12:40:00+00:00,18.243686,18.301959,20.0,0.0639,,stop,1
LINKUSDT,F_006_bb_squeeze,2025-02-18T19:50:00+00:00,2025-02-18T20:00:00+00:00,17.682958,17.503032,20.0,-0.2035,,stop,2
LINKUSDT,F_006_bb_squeeze,2025-02-19T10:05:00+00:00,2025-02-19T10:30:00+00:00,18.143556,17.975871,20.0,-0.1848,,stop,5
LINKUSDT,F_006_bb_squeeze,2025-02-20T00:45:00+00:00,2025-02-20T00:55:00+00:00,18.103504,18.161329,20.0,0.0639,,stop,2
LINKUSDT,F_006_bb_squeeze,2025-04-09T06:15:00+00:00,2025-04-09T06:30:00+00:00,11.21456,11.272706,20.0,0.1037,,stop,3
LINKUSDT,F_006_bb_squeeze,2025-04-14T02:25:00+00:00,2025-04-14T02:35:00+00:00,12.886731,13.132378,20.0,0.3812,,stop,2
LINKUSDT,F_006_bb_squeeze,2025-04-24T10:55:00+00:00,2025-04-24T11:10:00+00:00,14.458772,14.344386,20.0,-0.1582,,stop,3
