symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_006_bb_squeeze,2025-01-02T11:30:00+00:00,2025-01-02T11:50:00+00:00,208.190296,208.855287,20.0,0.0639,,stop,4
SOLUSDT,F_006_bb_squeeze,2025-01-15T22:50:00+00:00,2025-01-15T23:40:00+00:00,204.805902,205.460083,20.0,0.0639,,stop,10
SOLUSDT,F_006_bb_squeeze,2025-01-17T20:25:00+00:00,2025-01-17T20:35:00+00:00,218.743998,219.442699,20.0,0.0639,,stop,2
SOLUSDT,F_006_bb_squeeze,2025-01-19T09:10:00+00:00,2025-01-19T09:15:00+00:00,277.970893,278.858774,20.0,0.0639,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-02-04T23:55:00+00:00,2025-02-05T00:50:00+00:00,207.689646,208.353038,20.0,0.0639,,stop,11
SOLUSDT,F_006_bb_squeeze,2025-03-02T23:05:00+00:00,2025-03-02T23:10:00+00:00,177.860919,178.429033,20.0,0.0639,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-03-05T06:50:00+00:00,2025-03-05T07:00:00+00:00,143.396173,143.854202,20.0,0.0639,,stop,2
SOLUSDT,F_006_bb_squeeze,2025-03-18T16:20:00+00:00,2025-03-18T16:30:00+00:00,123.610485,124.005315,20.0,0.0639,,stop,2
SOLUSDT,F_006_bb_squeeze,2025-03-19T22:45:00+00:00,2025-03-19T23:25:00+00:00,134.734928,135.165292,20.0,0.0639,,stop,8
SOLUSDT,F_006_bb_squeeze,2025-04-01T13:50:00+00:00,2025-04-01T13:55:00+00:00,128.426738,127.398048,20.0,-0.1602,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-04-02T20:00:00+00:00,2025-04-02T20:05:00+00:00,131.590846,130.714981,20.0,-0.1331,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-04-24T06:30:00+00:00,2025-04-24T06:50:00+00:00,149.143635,148.256365,20.0,-0.119,,stop,4
SOLUSDT,F_006_bb_squeeze,2025-05-08T07:30:00+00:00,2025-05-08T08:05:00+00:00,151.666911,152.151358,20.0,0.0639,,stop,7
SOLUSDT,F_006_bb_squeeze,2025-05-31T19:05:00+00:00,2025-05-31T19:30:00+00:00,157.344282,157.846863,20.0,0.0639,,stop,5
SOLUSDT,F_006_bb_squeeze,2025-06-06T21:45:00+00:00,2025-06-06T21:50:00+00:00,149.964701,149.234729,20.0,-0.0974,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-06-23T04:30:00+00:00,2025-06-23T04:35:00+00:00,133.693576,132.88774,20.0,-0.1205,,stop,1
SOLUSDT,F_006_bb_squeeze,2025-06-24T23:35:00+00:00,2025-06-25T00:15:00+00:00,145.68915,146.154503,20.0,0.0639,,stop,8
SOLUSDT,F_006_bb_squeeze,2025-07-02T22:35:00+00:00,2025-07-02T22:40:00+00:00,154.450525,153.626265,20.0,-0.1067,,stop,1
