symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_006_bb_squeeze,2025-01-01T11:20:00+00:00,2025-01-01T11:25:00+00:00,0.351556,0.356949,20.0,0.3068,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-01-02T22:40:00+00:00,2025-01-02T22:55:00+00:00,0.437668,0.439066,20.0,0.0639,,stop,3
XLMUSDT,F_006_bb_squeeze,2025-01-03T16:40:00+00:00,2025-01-03T16:55:00+00:00,0.451286,0.446119,20.0,-0.229,,stop,3
XLMUSDT,F_006_bb_squeeze,2025-01-03T23:30:00+00:00,2025-01-03T23:35:00+00:00,0.452888,0.449346,20.0,-0.1564,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-01-05T13:35:00+00:00,2025-01-05T13:45:00+00:00,0.441373,0.442783,20.0,0.0639,,stop,2
XLMUSDT,F_006_bb_squeeze,2025-01-09T22:40:00+00:00,2025-01-09T23:25:00+00:00,0.397015,0.392191,20.0,-0.2431,,stop,9
XLMUSDT,F_006_bb_squeeze,2025-01-14T01:25:00+00:00,2025-01-14T01:55:00+00:00,0.427555,0.422805,20.0,-0.2222,,stop,6
XLMUSDT,F_006_bb_squeeze,2025-01-16T07:00:00+00:00,2025-01-16T07:05:00+00:00,0.481025,0.482561,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-01-24T03:35:00+00:00,2025-01-24T04:40:00+00:00,0.43116,0.432537,20.0,0.0639,,stop,13
XLMUSDT,F_006_bb_squeeze,2025-01-30T06:35:00+00:00,2025-01-30T06:50:00+00:00,0.405927,0.403944,20.0,-0.0977,,stop,3
XLMUSDT,F_006_bb_squeeze,2025-01-31T11:15:00+00:00,2025-01-31T11:25:00+00:00,0.42335,0.424702,20.0,0.0639,,stop,2
XLMUSDT,F_006_bb_squeeze,2025-02-05T01:05:00+00:00,2025-02-05T01:30:00+00:00,0.34635,0.341748,20.0,-0.2657,,stop,5
XLMUSDT,F_006_bb_squeeze,2025-02-06T06:40:00+00:00,2025-02-06T07:10:00+00:00,0.340542,0.337631,20.0,-0.171,,stop,6
XLMUSDT,F_006_bb_squeeze,2025-02-14T03:40:00+00:00,2025-02-14T03:45:00+00:00,0.339941,0.341027,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-02-21T22:30:00+00:00,2025-02-21T23:05:00+00:00,0.326524,0.324016,20.0,-0.1536,,stop,7
XLMUSDT,F_006_bb_squeeze,2025-02-25T19:50:00+00:00,2025-02-25T20:00:00+00:00,0.286572,0.289192,20.0,0.1828,,stop,2
XLMUSDT,F_006_bb_squeeze,2025-02-26T02:55:00+00:00,2025-02-26T03:00:00+00:00,0.297586,0.298537,20.0,0.0639,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-03-01T06:45:00+00:00,2025-03-01T07:00:00+00:00,0.302693,0.29956,20.0,-0.207,,stop,3
XLMUSDT,F_006_bb_squeeze,2025-03-05T22:15:00+00:00,2025-03-05T22:25:00+00:00,0.303394,0.300931,20.0,-0.1624,,stop,2
XLMUSDT,F_006_bb_squeeze,2025-03-09T05:05:00+00:00,2025-03-09T05:10:00+00:00,0.27716,0.275216,20.0,-0.1403,,stop,1
XLMUSDT,F_006_bb_squeeze,2025-03-12T07:55:00+00:00,2025-03-12T08:15:00+00:00,0.255131,0.256252,20.0,0.0879,,stop,4
