symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
SOLUSDT,12,2.0,1.0,8,-0.0007611593917323106,5,60.0,0.996594257681532
SOLUSDT,12,2.0,1.0,12,0.08656883050795393,5,80.0,1.4342203303155903
SOLUSDT,12,2.0,1.5,8,0.34552489014471094,5,80.0,3.289865649099436
SOLUSDT,12,2.0,1.5,12,0.10528880735523767,5,80.0,1.697770927866967
SOLUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.0,12,0.15751907746311133,2,100.0,inf
SOLUSDT,12,2.5,1.5,8,0.4287809311779404,8,75.0,2.8073219279741615
SOLUSDT,12,2.5,1.5,12,0.04777242954581748,10,70.0,1.1111473870779407
SOLUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.0,1.0,12,0.06453289153273073,1,100.0,inf
SOLUSDT,20,2.0,1.5,8,-0.17514483649037924,3,33.33,0.2672617588728846
SOLUSDT,20,2.0,1.5,12,0.1427367548909078,4,75.0,2.4429475683926483
SOLUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.5,8,-0.021584495719787142,3,66.67,0.8554775756467197
SOLUSDT,20,2.5,1.5,12,-0.14961657204340228,5,60.0,0.5624164801482048
