symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
BTCUSDT,12,2.0,1.0,8,-0.24829412236127635,3,0.0,0.0
BTCUSDT,12,2.0,1.0,12,-0.12679364989493444,2,0.0,0.0
BTCUSDT,12,2.0,1.5,8,-0.2582104572191669,10,40.0,0.5171866823257888
BTCUSDT,12,2.0,1.5,12,0.27963016322277234,7,71.43,2.5223466523012887
BTCUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
BTCUSDT,12,2.5,1.5,8,-0.2531977635904766,5,20.0,0.31203883252197795
BTCUSDT,12,2.5,1.5,12,0.18462005723045372,3,66.67,3.7979827946844615
BTCUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
BTCUSDT,20,2.0,1.5,8,0.20014207173157006,3,100.0,inf
BTCUSDT,20,2.0,1.5,12,0.1867203283146077,1,100.0,inf
BTCUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
BTCUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
ETHUSDT,12,2.0,1.0,8,-0.4333923304706948,4,0.0,0.0
ETHUSDT,12,2.0,1.0,12,-0.29672460826939895,3,0.0,0.0
ETHUSDT,12,2.0,1.5,8,0.05185410361041564,17,52.94,1.0654803427023738
ETHUSDT,12,2.0,1.5,12,0.149867766081344,9,66.67,1.3935265233431333
ETHUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
ETHUSDT,12,2.5,1.5,8,-0.3147067652292016,7,28.57,0.557550704069637
ETHUSDT,12,2.5,1.5,12,-0.5719498914396011,6,16.67,0.10047136733578058
ETHUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.0,1.5,8,-0.3731610274114534,7,42.86,0.3393158596676002
ETHUSDT,20,2.0,1.5,12,-0.2802514853565703,4,50.0,0.3131385408356746
ETHUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
ETHUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
SOLUSDT,12,2.0,1.0,8,-0.0007611593917323106,5,60.0,0.996594257681532
SOLUSDT,12,2.0,1.0,12,0.08656883050795393,5,80.0,1.4342203303155903
SOLUSDT,12,2.0,1.5,8,0.34552489014471094,5,80.0,3.289865649099436
SOLUSDT,12,2.0,1.5,12,0.10528880735523767,5,80.0,1.697770927866967
SOLUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,12,2.5,1.0,12,0.15751907746311133,2,100.0,inf
SOLUSDT,12,2.5,1.5,8,0.4287809311779404,8,75.0,2.8073219279741615
SOLUSDT,12,2.5,1.5,12,0.04777242954581748,10,70.0,1.1111473870779407
SOLUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.0,1.0,12,0.06453289153273073,1,100.0,inf
SOLUSDT,20,2.0,1.5,8,-0.17514483649037924,3,33.33,0.2672617588728846
SOLUSDT,20,2.0,1.5,12,0.1427367548909078,4,75.0,2.4429475683926483
SOLUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
SOLUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
