symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,driver
ATOMUSDT,F_213_breakers,2025-03-24T16:00:00+00:00,2025-03-24T20:00:00+00:00,4.925395,4.941127,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-03-25T12:00:00+00:00,2025-03-25T16:00:00+00:00,4.905369,4.921037,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-03-25T20:00:00+00:00,2025-03-26T00:00:00+00:00,4.845291,4.860767,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-03-26T08:00:00+00:00,2025-03-26T12:00:00+00:00,4.908373,4.932681,20.0,0.099,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-03-27T16:00:00+00:00,2025-03-27T20:00:00+00:00,4.8523,4.867799,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-04T20:00:00+00:00,2025-04-05T00:00:00+00:00,5.010505,5.059358,20.0,0.195,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-05T08:00:00+00:00,2025-04-05T12:00:00+00:00,4.922391,4.945638,20.0,0.0945,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-07T08:00:00+00:00,2025-04-07T12:00:00+00:00,4.057268,4.275008,20.0,1.0733,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-07T16:00:00+00:00,2025-04-09T00:00:00+00:00,4.454784,4.082184,20.0,-1.6728,,stop,8,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-09T04:00:00+00:00,2025-04-09T08:00:00+00:00,4.183431,4.318916,20.0,0.6477,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-09T16:00:00+00:00,2025-04-09T20:00:00+00:00,4.288568,4.575376,20.0,1.3375,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-10T00:00:00+00:00,2025-04-10T12:00:00+00:00,4.541897,4.2341,20.0,-1.3554,,stop,3,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-11T04:00:00+00:00,2025-04-13T00:00:00+00:00,4.369673,4.383631,20.0,0.0639,,stop,11,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-12T00:00:00+00:00,2025-04-12T16:00:00+00:00,4.250518,4.346857,20.0,0.4533,,stop,4,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-12T20:00:00+00:00,2025-04-13T00:00:00+00:00,4.295577,4.387771,20.0,0.4293,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-13T12:00:00+00:00,2025-04-13T16:00:00+00:00,4.255525,4.269118,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-14T00:00:00+00:00,2025-04-14T04:00:00+00:00,4.153392,4.269021,20.0,0.5568,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-14T12:00:00+00:00,2025-04-14T16:00:00+00:00,4.214472,4.227933,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-14T20:00:00+00:00,2025-04-15T00:00:00+00:00,4.18243,4.195789,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-15T04:00:00+00:00,2025-04-15T12:00:00+00:00,4.170415,4.183735,20.0,0.0639,,stop,2,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-16T04:00:00+00:00,2025-04-16T08:00:00+00:00,4.032235,4.045115,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-16T12:00:00+00:00,2025-04-16T16:00:00+00:00,4.023223,4.087403,20.0,0.319,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-16T20:00:00+00:00,2025-04-17T00:00:00+00:00,4.058269,4.078507,20.0,0.0997,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-17T04:00:00+00:00,2025-04-17T08:00:00+00:00,4.017216,4.130312,20.0,0.5631,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-17T12:00:00+00:00,2025-04-17T16:00:00+00:00,4.091312,4.10438,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-04-17T20:00:00+00:00,2025-04-18T00:00:00+00:00,4.166409,4.193128,20.0,0.1283,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-11T00:00:00+00:00,2025-05-11T04:00:00+00:00,5.389998,5.407214,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-13T12:00:00+00:00,2025-05-13T16:00:00+00:00,5.120648,5.177111,20.0,0.2205,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-14T00:00:00+00:00,2025-05-14T04:00:00+00:00,5.268841,5.337773,20.0,0.2617,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-14T20:00:00+00:00,2025-05-15T12:00:00+00:00,5.118646,4.811811,20.0,-1.1989,,stop,4,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-15T16:00:00+00:00,2025-05-15T20:00:00+00:00,4.910375,4.990503,20.0,0.3264,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-16T04:00:00+00:00,2025-05-16T08:00:00+00:00,4.950427,4.968562,20.0,0.0733,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-17T08:00:00+00:00,2025-05-17T12:00:00+00:00,4.757176,4.784172,20.0,0.1135,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-18T00:00:00+00:00,2025-05-18T04:00:00+00:00,4.725135,4.740318,20.0,0.0643,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-18T08:00:00+00:00,2025-05-18T12:00:00+00:00,4.80624,4.852793,20.0,0.1937,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-18T16:00:00+00:00,2025-05-18T16:00:00+00:00,5.111637,4.876717,20.0,-0.9192,,stop,0,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-19T00:00:00+00:00,2025-05-19T04:00:00+00:00,4.969452,4.9875,20.0,0.0726,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-19T16:00:00+00:00,2025-05-19T20:00:00+00:00,4.745161,4.847803,20.0,0.4326,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-20T00:00:00+00:00,2025-05-20T04:00:00+00:00,4.785213,4.874747,20.0,0.3742,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-21T00:00:00+00:00,2025-05-21T04:00:00+00:00,4.855304,4.899694,20.0,0.1829,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-22T12:00:00+00:00,2025-05-22T16:00:00+00:00,5.12165,5.208046,20.0,0.3374,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-22T20:00:00+00:00,2025-05-23T00:00:00+00:00,5.187735,5.204781,20.0,0.0657,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-24T04:00:00+00:00,2025-05-25T12:00:00+00:00,4.857306,4.572925,20.0,-1.1709,,stop,8,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-25T20:00:00+00:00,2025-05-26T00:00:00+00:00,4.727137,4.808885,20.0,0.3459,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-05-26T04:00:00+00:00,2025-05-26T08:00:00+00:00,4.816253,4.907677,20.0,0.3796,,stop,1,F_213_breakers
