symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,F_213_breakers,2025-01-03T08:00:00+00:00,2025-01-03T12:00:00+00:00,6.71672,7.01724,20.0,0.8948,,stop,1
ATOMUSDT,F_213_breakers,2025-01-03T16:00:00+00:00,2025-01-03T20:00:00+00:00,7.308489,7.385466,20.0,0.2107,,stop,1
ATOMUSDT,F_213_breakers,2025-01-06T04:00:00+00:00,2025-01-06T08:00:00+00:00,7.520764,7.62596,20.0,0.2797,,stop,1
ATOMUSDT,F_213_breakers,2025-01-06T16:00:00+00:00,2025-01-06T20:00:00+00:00,7.565823,7.593877,20.0,0.0742,,stop,1
ATOMUSDT,F_213_breakers,2025-01-07T08:00:00+00:00,2025-01-07T12:00:00+00:00,7.579841,7.711779,20.0,0.3481,,stop,1
ATOMUSDT,F_213_breakers,2025-01-08T12:00:00+00:00,2025-01-08T16:00:00+00:00,6.559516,6.63704,20.0,0.2364,,stop,1
ATOMUSDT,F_213_breakers,2025-01-09T00:00:00+00:00,2025-01-09T04:00:00+00:00,6.469399,6.588143,20.0,0.3671,,stop,1
ATOMUSDT,F_213_breakers,2025-01-10T08:00:00+00:00,2025-01-10T16:00:00+00:00,6.604575,6.631062,20.0,0.0802,,stop,2
ATOMUSDT,F_213_breakers,2025-01-10T20:00:00+00:00,2025-01-12T00:00:00+00:00,6.675667,6.718772,20.0,0.1291,,stop,7
ATOMUSDT,F_213_breakers,2025-01-12T00:00:00+00:00,2025-01-12T04:00:00+00:00,6.628606,6.669934,20.0,0.1247,,stop,1
ATOMUSDT,F_213_breakers,2025-01-12T16:00:00+00:00,2025-01-13T04:00:00+00:00,6.56252,6.690926,20.0,0.3913,,stop,3
ATOMUSDT,F_213_breakers,2025-01-13T16:00:00+00:00,2025-01-13T20:00:00+00:00,6.201051,6.220858,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-14T00:00:00+00:00,2025-01-14T04:00:00+00:00,6.294172,6.314276,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-15T00:00:00+00:00,2025-01-15T04:00:00+00:00,6.280154,6.308131,20.0,0.0891,,stop,1
ATOMUSDT,F_213_breakers,2025-01-15T16:00:00+00:00,2025-01-15T20:00:00+00:00,6.591558,6.646021,20.0,0.1653,,stop,1
ATOMUSDT,F_213_breakers,2025-01-16T20:00:00+00:00,2025-01-17T04:00:00+00:00,6.758775,6.816662,20.0,0.1713,,stop,2
ATOMUSDT,F_213_breakers,2025-01-17T12:00:00+00:00,2025-01-17T16:00:00+00:00,6.902962,6.925011,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-18T12:00:00+00:00,2025-01-18T16:00:00+00:00,6.694692,6.724752,20.0,0.0898,,stop,1
ATOMUSDT,F_213_breakers,2025-01-19T00:00:00+00:00,2025-01-19T04:00:00+00:00,6.602572,6.757786,20.0,0.4702,,stop,1
ATOMUSDT,F_213_breakers,2025-01-19T16:00:00+00:00,2025-01-19T20:00:00+00:00,6.464393,6.498501,20.0,0.1055,,stop,1
ATOMUSDT,F_213_breakers,2025-01-20T04:00:00+00:00,2025-01-20T08:00:00+00:00,6.000791,6.522281,20.0,1.7381,,stop,1
ATOMUSDT,F_213_breakers,2025-01-20T12:00:00+00:00,2025-01-24T16:00:00+00:00,6.356252,6.39285,20.0,0.1152,,stop,25
ATOMUSDT,F_213_breakers,2025-01-21T16:00:00+00:00,2025-01-21T20:00:00+00:00,6.136968,6.341661,20.0,0.6671,,stop,1
ATOMUSDT,F_213_breakers,2025-01-22T12:00:00+00:00,2025-01-22T16:00:00+00:00,6.30819,6.328339,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-23T16:00:00+00:00,2025-01-23T20:00:00+00:00,6.07689,6.162039,20.0,0.2802,,stop,1
ATOMUSDT,F_213_breakers,2025-01-24T00:00:00+00:00,2025-01-24T04:00:00+00:00,6.127956,6.14753,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-24T08:00:00+00:00,2025-01-24T12:00:00+00:00,6.156994,6.268814,20.0,0.3632,,stop,1
ATOMUSDT,F_213_breakers,2025-01-25T16:00:00+00:00,2025-01-25T20:00:00+00:00,6.242104,6.262042,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-26T12:00:00+00:00,2025-01-26T16:00:00+00:00,6.186031,6.214441,20.0,0.0918,,stop,1
ATOMUSDT,F_213_breakers,2025-01-26T20:00:00+00:00,2025-01-26T20:00:00+00:00,6.381285,6.118321,20.0,-0.8242,,stop,0
ATOMUSDT,F_213_breakers,2025-01-27T16:00:00+00:00,2025-01-27T20:00:00+00:00,5.846591,5.865266,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-28T04:00:00+00:00,2025-01-28T08:00:00+00:00,6.018814,6.046995,20.0,0.0936,,stop,1
ATOMUSDT,F_213_breakers,2025-01-29T12:00:00+00:00,2025-01-29T16:00:00+00:00,5.877631,5.896405,20.0,0.0639,,stop,1
ATOMUSDT,F_213_breakers,2025-01-29T20:00:00+00:00,2025-01-30T00:00:00+00:00,5.860609,5.968446,20.0,0.368,,stop,1
