الرمز,الاسم,القرار$,صفقات_القرار,PF_القرار,بوابة,الحكم$,صفقات_الحكم
F-046,المشي على الحد العلوي (ركوب الزخم),-120.22,971,0.0,✗,,
F-007,إطلاق TTM Squeeze مع انعكاس الزخم,-1.0,12,0.0,✗,,
F-054,دايفرجنس RSI الصاعد الميكانيكي,-27.48,141,0.0,✗,,
F-032,انقلاب SAR مفلتر بـ EMA200 و ADX,-56.85,577,0.0,✗,,
F-009,ترند ADX قوي مع شراء ملامسة EMA21,-176.45,1665,0.0,✗,,
F-074,قاع مزدوج ميكانيكي + كسر العنق,-5.66,77,0.0,✗,,
F-069,نجمة الصباح ثلاثية الشموع,-13.61,129,0.0,✗,,
F-013,إيشيموكو محاذاة كاملة مع ADX,-52.75,493,0.0,✗,,
F-067,ابتلاع صاعد على متوسط متحرك رئيسي,-28.35,222,0.0,✗,,
F-130,فجوة القيمة العادلة الصاعدة الصالحة,-1561.1,13047,0.0,✗,,
