الترتيب_بالقرار,الرمز,الاسم,صافي_القرار$,صفقات_القرار,PF_القرار,ربح_صفقة_القرار$,أقصى_هبوط_القرار$,بوابة_القبول,صافي_الحكم$,صفقات_الحكم,PF_الحكم,ربح_صفقة_الحكم$,أقصى_هبوط_الحكم$
1,F-130,فجوة القيمة العادلة الصاعدة الصالحة,1876.63,8113,4.7863,0.23131,17.16,✓,2556.9,12320.0,4.8026,0.20754,17.15
2,F-009,ترند ADX قوي مع شراء ملامسة EMA21,346.62,1308,6.968,0.265,5.74,✓,348.95,1641.0,3.7189,0.21264,9.94
3,F-046,المشي على الحد العلوي (ركوب الزخم),232.63,646,5.6031,0.36011,6.49,✓,311.35,877.0,8.252,0.35502,6.62
4,F-032,انقلاب SAR مفلتر بـ EMA200 و ADX,184.11,575,8.6985,0.32019,2.34,✓,180.52,778.0,5.2785,0.23203,5.33
5,F-013,إيشيموكو محاذاة كاملة مع ADX,104.15,352,6.4469,0.29588,3.1,✓,120.8,453.0,7.4132,0.26667,8.77
6,F-067,ابتلاع صاعد على متوسط متحرك رئيسي,47.82,220,4.1265,0.21736,3.13,✓,74.22,290.0,8.7772,0.25593,2.05
7,F-074,قاع مزدوج ميكانيكي + كسر العنق,41.3,77,16.0669,0.53636,1.51,✓,33.7,103.0,8.5587,0.32718,0.97
8,F-069,نجمة الصباح ثلاثية الشموع,36.44,129,7.0002,0.28248,3.03,✓,50.54,261.0,4.5654,0.19364,2.96
9,F-054,دايفرجنس RSI الصاعد الميكانيكي,27.65,139,2.4047,0.19892,8.31,✓,31.06,160.0,3.2403,0.19412,5.44
10,F-007,إطلاق TTM Squeeze مع انعكاس الزخم,5.77,12,14.3144,0.48083,0.43,✗,,,,,
