symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,random_510048,2024-01-03T12:00:00+00:00,2024-01-03T12:00:00+00:00,10.9211791,10.2881442457,20.0,-1.1593,,stop,0
ATOMUSDT,random_510048,2024-01-03T20:00:00+00:00,2024-01-08T00:00:00+00:00,9.9749506,9.26337051429,20.0,-1.4267,,stop,25
ATOMUSDT,random_510048,2024-01-08T16:00:00+00:00,2024-01-12T20:00:00+00:00,9.6214917,9.87928307143,20.0,0.5359,,stop,25
ATOMUSDT,random_510048,2024-01-13T20:00:00+00:00,2024-01-19T00:00:00+00:00,10.2953666,9.42434899842,20.0,-1.6921,,stop,31
ATOMUSDT,random_510048,2024-01-19T08:00:00+00:00,2024-01-22T16:00:00+00:00,9.6675515,9.16972248662,20.0,-1.0299,,stop,20
ATOMUSDT,random_510048,2024-01-23T00:00:00+00:00,2024-01-23T08:00:00+00:00,9.1899314,8.72072256061,20.0,-1.0211,,stop,2
ATOMUSDT,random_510048,2024-01-24T00:00:00+00:00,2024-02-21T12:00:00+00:00,9.2379938,9.75501625714,20.0,1.1193,,stop,171
ATOMUSDT,random_510048,2024-02-21T20:00:00+00:00,2024-02-28T16:00:00+00:00,9.8758219,10.6571277,20.0,1.5823,,stop,41
ATOMUSDT,random_510048,2024-02-29T00:00:00+00:00,2024-03-05T16:00:00+00:00,11.4118161,11.4169957286,20.0,0.0091,,stop,34
ATOMUSDT,random_510048,2024-03-06T00:00:00+00:00,2024-03-15T08:00:00+00:00,12.0156,12.3112602429,20.0,0.4921,,stop,56
ATOMUSDT,random_510048,2024-03-15T12:00:00+00:00,2024-03-19T04:00:00+00:00,12.4141174,10.9150878867,20.0,-2.415,,stop,22
ATOMUSDT,random_510048,2024-03-19T16:00:00+00:00,2024-04-02T00:00:00+00:00,11.4408538,11.3403811714,20.0,-0.1756,,stop,80
ATOMUSDT,random_510048,2024-04-03T00:00:00+00:00,2024-04-12T16:00:00+00:00,10.9822584,10.2253766784,20.0,-1.3784,,stop,58
ATOMUSDT,random_510048,2024-04-13T00:00:00+00:00,2024-04-13T16:00:00+00:00,9.3831823,8.58896639515,20.0,-1.6928,,stop,4
